MID_WU_C_1_IN_#001	Ah, qué nervios...\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	Hora de levantarse.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	¡Qué rapidez!\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	Muy bien. Así puedo marcharme antes\nde este sitio tan lujoso.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	Quizá si entrecierro los ojos,\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	toda esta sofisticada decoración\nme intimide un poco menos...\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	Espera... ¡No funcionará!\n¡Ahora me da miedo romper algo!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Buenos días, Divinidad.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	Esta habitación siempre me incomoda.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	Tengo que acostumbrarme...\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	¡He perdido la noción del tiempo\nrecolectando boniatos!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	¡Oh! ¡Estáis despiert\x0E\x0A\x00\x08\x02o\x02a!\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	Prepararé un festín de boniatos\npara disculparme por llegar tarde, ¿vale?\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	En realidad no es culpa de los boniatos.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	¡Han sido esas hierbas comestibles!\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	¡No podía parar de recogerlas!\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	¡Lo siento, Divinidad! Llego un poco tarde.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	¡¿Eh?! ¿E-esta hierba?\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	Es, esto... ¡para fabricar cosas!\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	Soy yo, Divinidad.\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	Esta vez no estoy nerviosa.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	¡Buenos días! Me alegra\nque os levantéis rápido...\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	Aunque despertaros es divertido.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	Debo seguir intentándolo, por vuestro bien.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	Llevo el Anillo del Pacto.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	Cuando trabajo se ensucia...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	y me da miedo perderlo en la batalla...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	Nunca sé cuándo llevarlo, pero...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	Si no lo llevo aquí, con vos,\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	¿cuándo lo haría?\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Buenos días. Podríamos, eh...\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	¿Podríamos quedarnos aquí un poco más?\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	Aprecio mucho estos momentos de calma...\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	Son tan escasos.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	¡Vuestra compañera de más confianza está aquí!\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	¿Habéis oído eso?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	¡Solo era para ver qué tal sonaba!\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	Pero ahora que lo he dicho en voz alta,\nme da un poco de vergüenza...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	¡He traído unos minerales!\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	¿Qué color os gusta?\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	Creo que a mí me gusta\neste de color melocotón.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Puedo incrustarle una piedra...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	¡y hacer un nuevo anillo para vos!\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	Quiero que sea mi mejor trabajo y que refleje\ncompletamente cómo me siento.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	¡Estáis despiert\x0E\x0A\x00\x08\x02o\x02a!\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	¿Veis qué bonitos?\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	Uno no era suficiente. Los necesitaba todos...\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	para mostraros lo mucho que significáis para mí.\x0E\x04\x00\x00
