MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nHola, Rosado. Si tienes un momento,\nme gustaría preguntarte una cosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ジェーデ\nMmm, de acuerdo.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ジェーデ\n¡Holis! ¡Holita!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ロサード\n¡Perfecto! ¡Muy bien! Eres preciosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ジェーデ\n¿Sí? ¿Ha funcionado?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ロサード\n¡Sí! Ahora, preséntate.\nDime quién eres realmente.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ジェーデ\nHolis. Soy Jade, ¡una vasallita!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ロサード\nJade, esto no se lo digo a cualquiera...\n¡Tienes un talento natural! ¡Eres superadorable!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ジェーデ\nJe.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08ロサード\n¿Estás bien? ¿Algo va mal?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ジェーデ\nEstoy bien. Me estaba riendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ジェーデ\nEs imposible que esto me ayude\na pasar la noche sin dormir. Es ridículo.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ロサード\nPues es una pena.\n¿Vas a dejar de ser adorable?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ジェーデ\nTampoco es eso, me lo estoy pasando bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ジェーデ\nQuiero ver adónde me lleva todo esto...\nVoy a sacar muchas bromas para mis libros.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ロサード\n¡Bien! Yo estaré a tu lado\npara acompañarte en este viaje.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nSaludines, Rosado.\nHoy hace un día estupendito, ¿a que sí?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ロサード\nJade, ¡eres increíble! Cada saludo\nes más mono que el anterior.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nReconozco que esto es adictivo.\nEs divertido cambiar de registro de sopetón.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ロサード\nParece que he creado un maravilloso\nmonstruo. ¡Me alegro por ti!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ジェーデ\nGracias. Aunque no lo parezca, me gusta\nrelajarme y hacer el tonto de vez en cuando...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ロサード\nYa, tu rostro parece esculpido en mármol:\nelegante, majestuoso y misteriosamente bello.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ジェーデ\nA veces creo que debería hacer un esfuerzo\npor intentar expresarme mejor...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ロサード\nEsa aura de misterio es lo que te hace especial.\nNi se te ocurra ocultarla.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ジェーデ\nOy, gracias. Eres un amorcito.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ロサード\n¡Eso es! Eres monísima.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ジェーデ\nMe alegra que este experimento nos haya\npermitido conocernos mejor, Rosado.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\nNo he descubierto un método mágico\nque me ayude a pasar las noches escribiendo...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ジェーデ\nPero tus lecciones de cómo ser adorable\nme ayudarán a crear personajes muy originales.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ジェーデ\nPensar en qué te hace ser mono ha sido\nun ejercicio muy creativo e interesante.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ジェーデ\nGracias por compartir conmigo una parte de ti.\nNunca olvidaré estos momentos.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ロサード\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ロサード\nEres... el encanto personificado.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ロサード\nTus sentimientos son como\nrayos de sol: puros y radiantes.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ジェーデ\nNo soy la más adorable ni de lejos.\nEse honorcito es solo para mi queridito Rosado.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ロサード\n¡Qué halago! Muchas gracias.\x0E\x04\x00\x00
