MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nSaludos, Pandreo.\n¿Acaso tendrías un momento libre?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パネトネ\nY, ya que estaba... también por la salud\nde nuestros padres, dondequiera que estén.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08パンドロ\nBien hecho, Panette.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パネトネ\n¿Qué crees que estarán haciendo\nen este momento?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08パンドロ\nNi idea. A decir verdad, tengo la sensación\nde que han muerto.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パンドロ\nPero ¿quién sabe? Quizá los volvamos a ver,\nigual que ocurrió con nosotros.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パネトネ\nAhora que somos adultos, hemos marcado\nciertas distancias con todo lo que ocurrió.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パネトネ\nQuiero pensar que ahora podríamos\nsentarnos con ellos y hablar civilizadamente.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パンドロ\nEso estaría bien.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\nCreo que estarían orgullosos de nosotros.\nSobre todo de ti.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パネトネ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08パンドロ\nPanette, escucha. Necesito que sobrevivas\na la guerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08パンドロ\nMe hundiría si perdiera a otro miembro\nde mi familia.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パネトネ\nCalla. No pienso morirme.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08パネトネ\nEs más, voy a hacer todo lo posible\npor salvar tu pellejo eclesiástico.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08パンドロ\nEso me tranquiliza. Con la temible Panette\na mi lado, no tengo nada que temer.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パネトネ\n¡Así se habla! Juntos sobreviviremos todo esto.\x0E\x04\x00\x00
