MID_WU_C_1_IN_#001	Es de día, Divinidad.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	Me disteis el Anillo del Pacto...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	pero también les disteis anillos Emblema\na otros compañeros.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	Me siento ridícula diciendo esto\nen voz alta, pero...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	Desearía ser la única entregada a vos.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	Sé que es horriblemente egoísta.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Estáis despiert\x0E\x0A\x00\x08\x02o\x02a. Buenos días.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	¿Puedo acercarme?\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	Gracias.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	Aprecio cada momento que paso a vuestro lado.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	Cada segundo que estamos a solas...\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	Divinidad...\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	Dormisteis así durante un milenio...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	Me alegra que estéis despiert\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	No podemos permitir que durmáis\notros mil años.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	A veces pienso en ese momento.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	Cuando despertasteis después de tanto tiempo...\nOjalá hubiera estado allí.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	Sabéis...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	Os debo tanto.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	Ahora tengo fuerzas suficientes\npara superar las más duras batallas.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Y las peores pesadillas.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	Es todo gracias a vos.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	Os amo, y jamás me cansaré de decirlo.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	Una frase tan simple no parece suficiente...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#008	pero no hay palabras que basten\npara expresar mis sentimientos.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	Buenos días. ¿Habéis escuchado todo eso?\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	Bien. Quiero que sepáis cómo me siento.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	Y, si alguna vez lo olvidáis,\nestaré encantada de recordaros...\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	cuánto os adoro.\x0E\x04\x00\x00
