MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x06\x04グリ\nEn las tinieblas de la soledad, ¿no desearías\nque la luz obedeciera tus designios?\x0E\x04\x02\x00
MID_OP2_#021	\x0E\x03\x02\x18\x16E003_セレスティア\nSomos un grupo de caballeros fundado\ntras la guerra para proteger a lady Nel y lord Nil.\x0E\x04\x02\x00
MID_OP2_#022	Como el nombre indica, el escuadrón\nestá compuesto por cuatro miembros.\x0E\x04\x02\x00
MID_OP2_#023	Gregory es uno de ellos.\x0E\x04\x00\x00
MID_OP2_#024	\x0E\x03\x02\x10\x0EE003_エル\nLe encargué que obtuviese información útil\npara nuestra misión, al igual que a Zelestia.\x0E\x04\x02\x00
MID_OP2_#025	Gracias por mostrarte tan diligente, Gregory.\nPero habíamos planeado reunirnos en otro sitio.\x0E\x04\x00\x00
MID_OP2_#026	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x06\x000\x14E003_グレゴリー\x18MPID_Gregory\n\x0E\x03\x02\x16\x14E003_グレゴリー\nSí, es cierto... Tuve que desviarme y pensé\nque no daría con el punto de encuentro.\x0E\x04\x02\x00
MID_OP2_#027	Como no sabía qué hacer, decidí regresar\na la frontera. Menos mal que os he encontrado...\x0E\x04\x00\x00
MID_OP2_#028	\x0E\x03\x02\x10\x0EE003_エル\nAntes de que nos entregues el informe\ncompleto, hay algo que convendría aclarar.\x0E\x04\x02\x00
MID_OP2_#029	La persona que ves ante ti...\x0E\x04\x00\x00
MID_OP2_#030	\x0E\x03\x02\x16\x14E003_グレゴリー\nNo es el Dragón Divino, ¿verdad?\x0E\x04\x00\x00
MID_OP2_#031	\x0E\x03\x02\x10\x0EE003_エル\nEn efecto.\x0E\x04\x00\x00
MID_OP2_#032	\x0E\x03\x02\x16\x14E003_グレゴリー\nDe modo que el ritual funcionó...\n\x0E\x0A\x00\x0C\x04Lo\x04La habéis invocado desde otro mundo.\x0E\x04\x00\x00
MID_OP2_#033	\x0E\x03\x02\x10\x0EE003_エル\nAsí es. Veo que no hacen falta\ndemasiadas explicaciones.\x0E\x04\x00\x00
MID_OP2_#034	\x0E\x03\x02\x10\x0EE003_イル\n¡Magnífico, Gregory!\n¿Cómo has deducido todo eso por tu cuenta?\x0E\x04\x00\x00
MID_OP2_#035	\x0E\x03\x02\x16\x14E003_グレゴリー\nNo estoy seguro. Hay algo en \x0E\x0A\x00\x10\x04él\x08ella que...\nme inquieta, debo decir.\x0E\x04\x00\x00
MID_OP2_#036	\x0E\x03\x02\x0A\x08リュール\nQuizá se deba a que estuve a punto de atacarte.\nLo siento mucho.\x0E\x04\x00\x00
MID_OP2_#037	\x0E\x03\x02\x16\x14E003_グレゴリー\nNo, no se trata de eso. Simplemente,\nsois diferente al Dragón Divino que conocí.\x0E\x04\x02\x00
MID_OP2_#038	Y no me refiero al aspecto. Algo en vuestra\nesencia no encaja... ¿Serán imaginaciones mías?\x0E\x04\x00\x00
MID_OP2_#039	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nGregory tiene un instinto de supervivencia muy\nagudizado. Nota cosas que otros no perciben.\x0E\x04\x00\x00
MID_OP2_#040	\x0E\x03\x02\x0A\x08リュール\nComprendo...\x0E\x04\x00\x00
MID_OP2_#041	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nNo pasa nada. Con tal de que no supongáis\nuna amenaza para mí, me acostumbraré.\x0E\x04\x02\x00
MID_OP2_#042	Y perdonad si no os trato de un modo decoroso.\nLa etiqueta no es mi fuerte.\x0E\x04\x00\x00
MID_OP2_#043	\x0E\x03\x02\x0A\x08リュール\nTranquilo, puedes hablar con total libertad.\x0E\x04\x00\x00
MID_OP2_#044	\x0E\x03\x02\x10\x0EE003_イル\nNo te preocupes, Gregory. El Dragón Divino\nnos ha demostrado tener un buen corazón.\x0E\x04\x02\x00
MID_OP2_#045	Lo digo sin ambages, Divinidad:\nme caes muy bien.\x0E\x04\x00\x00
MID_OP2_#046	\x0E\x03\x02\x0A\x08リュール\nGracias, Nil. El sentimiento es mutuo.\x0E\x04\x00\x00
MID_OP2_#047	\x0E\x03\x02\x10\x0EE003_エル\n(...)\x0E\x04\x00\x00
MID_OP2_#048	\x0E\x03\x02\x0A\x08リュール\nDecíais que los Cuatro Vientos son cuatro\ncaballeros. ¿Dónde están los otros dos?\x0E\x04\x00\x00
MID_OP2_#049	\x0E\x03\x02\x10\x0EE003_エル\nInfiltrados en las otras naciones,\ndonde llevan a cabo labores de información.\x0E\x04\x02\x00
MID_OP2_#050	Zelestia fue a Firene; Gregory, a Brodia,\ny tenemos dos agentes más en Elusia y Solm.\x0E\x04\x00\x00
MID_OP2_#051	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nYo soy la líder de nuestro pequeño grupo.\x0E\x04\x02\x00
MID_OP2_#052	El nombre de Zelestia, general de los Cuatro\nVientos, es conocido por doquier, lo admito.\x0E\x04\x00\x00
MID_OP2_#053	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nEn parte porque te dedicas a cacarearlo\na los cuatro vientos, y nunca mejor dicho...\x0E\x04\x00\x00
MID_OP2_#054	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\n¡¿Cómo has dicho?!\x0E\x04\x00\x00
MID_OP2_#055	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\n¡Era broma! ¡No me pegues, por favor!\x0E\x04\x00\x00
MID_OP2_#056	\x0E\x03\x02\x0A\x08リュール\n¡¿Qué ha sido eso?!\x0E\x04\x00\x00
MID_OP2_#057	\x0E\x03\x02\x10\x0EE003_イル\n¡¿Nos atacan?!\x0E\x04\x00\x00
MID_OP2_#058	\x0E\x03\x02\x16\x14E003_グレゴリー\nMis perseguidores me han encontrado, me temo.\nPerdón, pensé que les había dado esquinazo...\x0E\x04\x00\x00
MID_OP2_#059	\x0E\x03\x02\x10\x0EE003_エル\nExplícate, Gregory.\x0E\x04\x00\x00
MID_OP2_#060	\x0E\x03\x02\x16\x14E003_グレゴリー\nDetectaron mi presencia mientras espiaba...\nHui enseguida, pero me siguieron el rastro.\x0E\x04\x00\x00
MID_OP2_#061	\x0E\x03\x02\x10\x0EE003_イル\nUno, dos, tres... No tiene sentido contar.\nNos superan en número sobradamente.\x0E\x04\x02\x00
MID_OP2_#062	Debemos escapar.\x0E\x04\x00\x00
MID_OP2_#063	\x0E\x03\x02\x0A\x08リュール\nUn momento.\n¿Por qué no nos enfrentamos a ellos?\x0E\x04\x00\x00
MID_OP2_#064	\x0E\x03\x02\x10\x0EE003_エル\nSi nos persiguen, son caballeros o la guardia\nfronteriza. No dispondrán de un brazalete.\x0E\x04\x02\x00
MID_OP2_#065	Luchar solo nos serviría para gastar fuerzas\nsin obtener nada a cambio.\x0E\x04\x00\x00
MID_OP2_#066	\x0E\x03\x02\x16\x14E003_グレゴリー\n¿Planeáis huir? ¡Esa es mi especialidad!\nPor aquí, si me hacéis el favor. ¡Seguidme!\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE003_イル\x022\n\x0E\x03\x00\x14\x0EE003_エル\x023\n\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nAquí estaremos a salvo.\nOcultémonos por el momento.\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x02\x10\x0EE003_イル\nA colación de esto, Divinidad...\x0E\x04\x02\x00
MID_OP3_#003	Habrás notado que, aunque no rehuimos\nla batalla, solemos luchar a la defensiva.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x0A\x08リュール\nSí, me he dado cuenta.\nElegís con cuidado cuándo luchar.\x0E\x04\x00\x00
MID_OP3_#005	\x0E\x03\x02\x16\x14E003_グレゴリー\nFaltaría más. ¿Cómo si no nos las habríamos\napañado para sobrevivir hasta ahora?\x0E\x04\x02\x00
MID_OP3_#006	Desde luego, no ha sido atizando a cualquiera\nque nos persiguiera, sino huyendo.\x0E\x04\x00\x00
MID_OP3_#007	\x0E\x03\x02\x10\x0EE003_エル\nAl margen de misiones para poner Emblemas\nen letargo, no nos podemos permitir atacar.\x0E\x04\x00\x00
MID_OP3_#008	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nSi los Cuatro Vientos estuviéramos a la altura\nde otras órdenes de caballería, todo cambiaría...\x0E\x04\x02\x00
MID_OP3_#009	Pero me temo que, hasta ahora,\nnuestro nivel ha sido decepcionante.\x0E\x04\x00\x00
MID_OP3_#010	\x0E\x03\x02\x10\x0EE003_イル\nPamplinas. Los Cuatro Vientos nos habéis\nsalvado la vida en más de una ocasión.\x0E\x04\x02\x00
MID_OP3_#011	Mi hermana y yo estamos muy orgullosos\nde vosotros.\x0E\x04\x00\x00
MID_OP3_#012	\x0E\x03\x02\x18\x16E003_セレスティア\nSois muy amable, lord Nil. Gracias.\x0E\x04\x00\x00
MID_OP3_#013	\x0E\x03\x02\x10\x0EE003_エル\nEl enemigo parece haber perdido nuestro rastro.\nGregory, infórmanos, por favor.\x0E\x04\x00\x00
MID_OP3_#014	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nAlgo ha sucedido en Brodia. Están enviando\nsoldados a las fronteras del país.\x0E\x04\x00\x00
MID_OP3_#015	\x0E\x03\x02\x10\x0EE003_エル\nNo imaginaba que planearan una invasión...\n¿Adónde se dirigen?\x0E\x04\x00\x00
MID_OP3_#016	\x0E\x03\x02\x16\x14E003_グレゴリー\nLo desconozco. Se han esforzado mucho\npor mantenerlo todo en el más absoluto secreto.\x0E\x04\x02\x00
MID_OP3_#017	Pero, a juzgar por los datos de que dispongo,\npretenden apoderarse de los siete brazaletes.\x0E\x04\x00\x00
MID_OP3_#018	\x0E\x03\x02\x0A\x08リュール\nInteresante. Quizá Brodia se proponga lo mismo\nque nosotros: alejarlos de un rival desconocido.\x0E\x04\x00\x00
MID_OP3_#019	\x0E\x03\x02\x16\x14E003_グレゴリー\nDudo que ese sea su objetivo. Creo que quieren\nel poder de los brazaletes para ellos mismos.\x0E\x04\x00\x00
MID_OP3_#020	\x0E\x03\x02\x0A\x08リュール\n¿Y para qué desearía tanto poder\nuna nación pacífica?\x0E\x04\x00\x00
MID_OP3_#021	\x0E\x03\x02\x10\x0EE003_イル\nLas ventajas que conceden los brazaletes\nEmblema varían según las circunstancias.\x0E\x04\x02\x00
MID_OP3_#022	Como sabes, si los siete están despiertos,\nreunirlos otorga un enorme poder.\x0E\x04\x02\x00
MID_OP3_#023	Pero, si están dormidos...\x0E\x04\x00\x00
MID_OP3_#024	\x0E\x03\x02\x10\x0EE003_エル\nPueden concederte invulnerabilidad\na cualquier tipo de daño.\x0E\x04\x00\x00
MID_OP3_#025	\x0E\x03\x02\x0A\x08リュール\nO sea... ¿te vuelven invencible?\x0E\x04\x00\x00
MID_OP3_#026	\x0E\x03\x02\x16\x14E003_グレゴリー\nEn efecto. No hay mejor defensa posible.\x0E\x04\x02\x00
MID_OP3_#027	Para una nación que odia la guerra,\ncomo Brodia, es el mayor tesoro imaginable.\x0E\x04\x00\x00
MID_OP3_#028	\x0E\x03\x02\x10\x0EE003_イル\nPero necesitarían que todos los Emblemas\nestuvieran dormidos. Precisarían a Nel.\x0E\x04\x02\x00
MID_OP3_#029	¿Serían los "asesinos" que asaltaron\nel castillo de Lythos secuestradores de Brodia?\x0E\x04\x00\x00
MID_OP3_#030	\x0E\x03\x02\x10\x0EE003_エル\nEs posible.\x0E\x04\x00\x00
MID_OP3_#031	\x0E\x03\x02\x16\x14E003_グレゴリー\nNo podemos saberlo con certeza,\npero hay algo que sí parece evidente...\x0E\x04\x02\x00
MID_OP3_#032	Brodia va a formar un ejército muy pronto.\x0E\x04\x00\x00
MID_OP3_#033	\x0E\x03\x00\x0A\x04不明\x024\n\x0E\x03\x02\x06\x04不明\n¡Lo habéis deducido solitos! Bravo. Aunque eso\nsignifica que no os puedo dejar escapar...\x0E\x04\x00\x00
MID_OP3_#034	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_OP3_#035	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\n¡Imposible! No he notado que nadie\nse aproximase...\x0E\x04\x00\x00
MID_OP3_#036	\x0E\x03\x02\x10\x0EE003_イル\nNo parecen soldados del montón.\x0E\x04\x00\x00
MID_OP3_#037	\x0E\x03\x02\x10\x0EE003_エル\nSon nobles brodianos.\x0E\x04\x00\x00
MID_OP3_#038	\x0E\x03\x00\x18\x12E003_Hide\x024\n\x0E\x03\x02\x14\x12E003_Hide\nMira, Diamant. Aquí están.\x0E\x04\x02\x00
MID_OP3_#039	Acaba con ellos. ¿O tengo que hacerlo todo yo?\nQué hermano tan patético me ha tocado...\x0E\x04\x00\x00
MID_OP3_#040	\x0E\x03\x00\x18\x12E003_Boss\x021\x0E\x03\x02\x14\x12E003_Boss\nPretendía atacar por sorpresa, Alcryst.\nHa sido un error revelar nuestra ubicación.\x0E\x04\x00\x00
MID_OP3_#041	\x0E\x03\x02\x14\x12E003_Hide\nAh... Pues muchísimas gracias\npor hacerme partícipe de tus planes.\x0E\x04\x00\x00
MID_OP3_#042	\x0E\x03\x02\x14\x12E003_Boss\nNel, Nil... Me duele llegar a esto. Espero\nque nuestro próximo encuentro sea más cordial.\x0E\x04\x02\x00
MID_OP3_#043	Por desgracia, el derramamiento de sangre\nparece inevitable.\x0E\x04\x00\x00
MID_OP3_#044	\x0E\x03\x02\x10\x0EE003_エル\nLa furia debe de haberse apoderado de ti\npara que renuncies a los principios de tu nación.\x0E\x04\x00\x00
MID_OP3_#045	\x0E\x03\x02\x10\x0EE003_イル\nMira, Nel. Lleva uno de los brazaletes.\x0E\x04\x00\x00
MID_OP3_#046	\x0E\x03\x02\x14\x12E003_Hide\n¿Los queréis? ¡Vaya, qué coincidencia!\nComo tu espía ha deducido, nosotros también.\x0E\x04\x02\x00
MID_OP3_#047	En vista de que compartimos metas, ¿por qué\nno aliarnos, como en los viejos tiempos?\x0E\x04\x00\x00
MID_OP3_#048	\x0E\x03\x02\x10\x0EE003_エル\nNo hablarás en serio...\x0E\x04\x00\x00
MID_OP3_#049	\x0E\x03\x02\x14\x12E003_Hide\nPues tienes razón. ¿Cómo lo has sabido?\x0E\x04\x00\x00
MID_OP3_#050	\x0E\x03\x02\x14\x12E003_Boss\nLa mala hierba de la violencia ha de arrancarse\nde raíz antes de que se extienda.\x0E\x04\x02\x00
MID_OP3_#051	Por más que me entristezca matar\na mis antiguos aliados, no veo alternativa.\x0E\x04\x02\x00
MID_OP3_#052	¡A las armas, soldados! Quiero a lady Nel viva,\npero no mostréis clemencia con el resto.\x0E\x04\x00\x00
MID_OP3_#053	\x0E\x03\x02\x10\x0EE003_エル\nLas circunstancias nos obligan a defendernos.\x0E\x04\x00\x00
MID_OP3_#054	\x0E\x03\x02\x10\x0EE003_イル\nZelestia, Gregory. Preparaos para la batalla.\x0E\x04\x00\x00
MID_OP3_#055	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nDe buen grado.\x0E\x04\x00\x00
MID_OP3_#056	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nMe centraré en salir indemne...\x0E\x04\x00\x00
MID_OP3_#057	\x0E\x03\x02\x10\x0EE003_エル\nAdelante, Divinidad. Espero que des buena\ncuenta de ti \x0E\x0A\x00\x18\nmismo\nmisma, como la última vez.\x0E\x04\x00\x00
MID_OP3_#058	\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x02\x0A\x08リュール\nNo lo dudes.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01 \x12E003_Boss\nAngry\n\x0E\x03\x02\x14\x12E003_Boss\nEs una lástima que debamos enfrentarnos...\nAcabemos con esto cuanto antes.\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE003_エル\x02t\n\x0E\x05\x01\x1C\x0EE003_エル\nAngry\n\x0E\x03\x02\x10\x0EE003_エル\nCuidado con la artillería mágica de Brodia.\nSus armas tienen un largo alcance.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE003_エル\x02t\n\x0E\x05\x01\x1C\x0EE003_エル\nAngry\n\x0E\x03\x02\x10\x0EE003_エル\nEse soldado se dispone a lanzar un ataque\nque cubrirá una zona muy amplia. Prepárate.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01 \x12E003_Boss\nAngry\n\x0E\x03\x02\x14\x12E003_Boss\nEmblema Veronica, préstame tu poder\npara captar héroes mediante contratos.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01 \x12E003_Boss\nAngry\n\x0E\x03\x02\x14\x12E003_Boss\nEl poder de nuestro Emblema es incontenible.\nRendíos antes de que sea demasiado tarde.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\n\x0E\x03\x02\x14\x12E003_Boss\nNuestra suerte estaba echada...\nJamás debimos intentarlo.\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01 \x12E003_Hide\nSmile\n\x0E\x03\x02\x14\x12E003_Hide\nDa gracias de enfrentarte a mí y no al pazguato\nde mi hermano. Acabaré rápido contigo.\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01\x1E\x12E003_Hide\x08Pain\n\x0E\x03\x02\x14\x12E003_Hide\nEsto no debería haber acabado así...\nSi yo hubiese sido el rey...\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\n\x0E\x03\x02\x14\x12E003_Boss\nLo último que deseaba era enfrentarme a mí\nmismo, pero se ve que ha llegado el momento.\x0E\x04\x00\x00
MID_BT5_#002	\x0E\x03\x00\x12\x0Cディアマンド\x02t\n\x0E\x05\x01\x1A\x0Cディアマンド\nAngry\n\x0E\x03\x02\x0E\x0Cディアマンド\nCon semejante actitud,\n¿de verdad esperas salir victorioso?\x0E\x04\x00\x00
MID_BT5_#003	\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\n\x0E\x03\x02\x14\x12E003_Boss\nAunque venciese, nada cambiaría.\nNo sé cómo se comporta un buen rey...\x0E\x04\x00\x00
MID_BT5_#004	\x0E\x05\x01&\x12E003_Boss\x10Surprise\n\x0E\x05\x01\x1C\x0Cディアマンド\x0CStrike\n\x0E\x03\x02\x0E\x0Cディアマンド\nEn tal caso, depón las armas. De lo contrario,\n¡entenderé que no has renunciado a tu objetivo!\x0E\x04\x02\x00
MID_BT5_#005	Si eres un rey digno, ¡lucha con valentía!\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\n\x0E\x03\x02\x14\x12E003_Boss\n¿Alcryst? ¿Vas a atacarme? Lo sabía...\nNunca me has aceptado como legítimo rey.\x0E\x04\x02\x00
MID_BT6_#002	\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\nSospecho que planeabas asesinarme desde\nel principio. Ha llegado la hora, ¿no es así?\x0E\x04\x00\x00
MID_BT6_#003	\x0E\x03\x00\x10\nスタルーク\x02t\n\x0E\x05\x01\x16\nスタルーク\x08Pain\n\x0E\x03\x02\x0C\nスタルーク\n¿Asesinarte? Diamant, eres mi hermano...\nTe admiro y te respeto. ¡Jamás haría eso!\x0E\x04\x00\x00
MID_BT6_#004	\x0E\x03\x02\x14\x12E003_Boss\nEn tal caso, depón las armas.\x0E\x04\x00\x00
MID_BT6_#005	\x0E\x05\x01\x14\nスタルーク\x06Sad\n\x0E\x03\x02\x0C\nスタルーク\nMe niego. Por mucho que seas mi hermano\nmayor, luchas en el bando enemigo.\x0E\x04\x02\x00
MID_BT6_#006	\x0E\x05\x01\x16\nスタルーク\x08Pain\n¡No, espera! Vas a malinterpretar mis palabras...\n¡Deja que me explique!\x0E\x04\x02\x00
MID_BT6_#007	Perdón, sé que no me he expresado bien...\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nシトリニカ\x02t\n\x0E\x05\x01\x14\nシトリニカ\x06Sad\n\x0E\x03\x02\x0C\nシトリニカ\nNo me complace en absoluto encontrarte aquí.\nAhora nuestro enfrentamiento es ineludible...\x0E\x04\x00\x00
MID_BT7_#002	\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01&\x12E003_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E003_Boss\n¡Citrinne! ¡¿Qué haces aquí?!\nProtegías a Alcryst cuando...\x0E\x04\x00\x00
MID_BT7_#003	\x0E\x05\x01\x18\nシトリニカ\nRelax\n\x0E\x03\x02\x0C\nシトリニカ\nAsí que mi yo de este mundo cayó en un acto\nvaleroso. Me gustaría conocer más detalles.\x0E\x04\x02\x00
MID_BT7_#004	\x0E\x05\x01\x18\nシトリニカ\nAngry\nPero esta "versión" de mí misma es tu enemiga.\nPuedes considerarme una aparición, si te place.\x0E\x04\x00\x00
MID_BT7_#005	\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\n\x0E\x03\x02\x14\x12E003_Boss\nQuizá sea lo mejor. Si eres una aparición,\ncarece de sentido seguir hablando de tu otro yo.\x0E\x04\x02\x00
MID_BT7_#006	\x0E\x05\x01\x1C\x12E003_Boss\x06Shy\nAunque, al verte, no puedo evitar acordarme\nde aquel baile... Qué bien lo pasamos todos.\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01&\x12E003_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E003_Boss\n¿Divinidad? ¡¿Habéis regresado?!\x0E\x04\x00\x00
MID_BT8_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nNo soy quien crees. Sugiero que me consideres\n\x0E\x0A\x00.\x14un extraño\x16una extraña mientras combatimos.\x0E\x04\x00\x00
MID_BT8_#003	\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\n\x0E\x03\x02\x14\x12E003_Boss\nLuchar contra vos es inconcebible. No volveré\na perderos. Desde que caísteis, todo es horrible.\x0E\x04\x02\x00
MID_BT8_#004	Siempre he pensado que las naciones deberían\nentenderse y retomar sus antiguas relaciones.\x0E\x04\x02\x00
MID_BT8_#005	Os lo ruego: ¡guiadnos hacia la concordia\nuna vez más!\x0E\x04\x00\x00
