MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08リュール\nEres muy poderoso, Roy. No me extraña\nque le confiaran tu anillo a Brodia.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nブシュロン\n¿Así que has salido de este anillo?\nEl mundo está lleno de sorpresas.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x06\x04ロイ\nAsí es como funcionan los Emblemas.\nMe alegro de conocer a otro aliado.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\n¿Estás leyendo?\n¿Qué libros me recomendarías?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\n¿A ti también te gusta leer? A ver... Podría\ndarte una lista de los cincuenta mejores.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nLa situación se puso algo tensa cuando\nnos separamos del resto, ¿eh?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x0C\nブシュロン\nHabría jurado que íbamos en línea recta, pero...\nde repente estábamos perdidos en ese bosque.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nブシュロン\nMenos mal que estabas allí para señalarme\nel camino. No sé qué habría sido de mí sin ti.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x06\x04ロイ\nNo te preocupes, siempre estaré a tu lado\npara guiarte, Boucheron.\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nPareces muy segura de ti misma, Etie.\n¿No hay nada que te preocupe?\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0C\nエーティエ\n¿De qué sirve preocuparse? Cuando tengo\ndudas, entreno para despejar la mente.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\n¿Has recogido tú estas flores?\nSon preciosas.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x0C\nエーティエ\nGracias. Florecen en mi hogar.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nSe te ve contenta, Etie.\n¿Has recibido alguna buena noticia?\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x0C\nエーティエ\nNo, he comido carne de calidad.\n¡Es el mejor alimento para mis músculos!\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x06\x04ロイ\n¿Esos músculos son de comer carne?\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x0C\nエーティエ\nTambién es gracias al entrenamiento, claro.\nPor cierto, es hora de ir a correr. ¡Hasta luego!\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nRoy, tu gran poder nos será de ayuda\npara devolver la paz a este mundo.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x06\x04ロイ\nEs un honor luchar por esta causa\ny tenerte como aliada.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nHola, Céline. ¿Eso que huelo\nes un nuevo tipo de té?\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x0A\x08セリーヌ\nSí, he descubierto una nueva variedad.\n¿Quieres que disfrutemos del aroma juntos?\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nNo solo sabes luchar, sino que también eres\nun gran líder y estratega. Es impresionante.\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x06\x04ロイ\nEstudié mucho para ser lo que soy.\nIngresé en la mejor escuela de mi reino.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nMi educación fue muy ecléctica, pero tú\neres la demostración de que tengo lagunas.\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x06\x04ロイ\nLa experiencia también cuenta.\nNo hay mejor aula que el campo de batalla.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ルイ\n¿Sabes en qué me he fijado, Roy? Nuestros\nnombres son vocales rodeadas de consonantes.\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x06\x04ロイ\nAh, es cierto. Bueno... ¿Por qué no\nnos centramos en salvar el mundo?\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\n¿Eso son uvas? Huelen divinamente.\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x06\x04ルイ\nMi aldea es famosa por sus uvas.\nSon deliciosas y saludables.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\n¿Por qué estás de tan buen humor, Louis?\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x06\x04ルイ\nLo cierto, Roy, es que he observado a un grupo\nde amigos que pasaban un rato agradable.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nCómo reían y bailaban... Ha de ser muy bonito\npoder disfrutar de una amistad como esa.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x06\x04ロイ\nEso suena maravilloso. Piensa en ellos\ncuando luchemos por la paz.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06クロエ\nNo me puedo creer que esté luchando junto\na un Emblema. Parece un cuento de hadas...\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x06\x04ロイ\nEs muy real. Estoy aquí para ayudaros\nen todo lo que pueda.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nCuánta comida... ¿Es toda para ti?\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06クロエ\nHabía tantas cosas ricas en los puestos\nde comida que he acabado comprando de todo.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06クロエ\n¿Cuál es tu historia favorita, Roy?\nDiría que te gustan las de héroes épicos.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x06\x04ロイ\nSe me ocurren unas cuantas. Las que más\nme gustan son las que tienen un final feliz.\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06クロエ\nA mí también. Espero que nuestra historia\ntambién tenga un final feliz.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x06\x04ロイ\nBien dicho. Si nos esforzamos al máximo,\npodremos escribir nuestro propio final.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nMi reino custodiaba tu anillo, Roy...\nBrodia confía mucho en tu poder.\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x06\x04ロイ\nSí, sabía que este día llegaría.\nJuntos devolveremos la paz al reino.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nEstás versado en el arte de gobernar, ¿no, Roy?\nSeguro que podrías enseñarme un par de cosas.\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x06\x04ロイ\nSolo aprendí a comportarme como un lord.\nSi eso te sirve, será un placer ayudarte.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nFue una sorpresa verte salir del anillo,\naunque de algún modo sentía tu presencia.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x06\x04ロイ\nPues a mí me alegró mucho poder hablar\ncontigo cara a cara por fin.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nFormamos buena pareja. Esperemos que eso\nsea suficiente para restablecer la paz.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x06\x04ロイ\nYo también lo espero, Diamant.\nSi nos esforzamos, seguro que bastará.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08アンバー\nIncreíble... ¡El legendario Roy se ocultaba\nen el anillo de Brodia todo este tiempo!\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x06\x04ロイ\nNo es para tanto, pero me gusta verte feliz.\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\n¿Qué ocurre, Amber? Estás sudando a mares...\n¿Es por algo que has comido?\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x0A\x08アンバー\nNo... Llevaba un jersey de lana de alpaca que\nme ha enviado mi familia. Daba mucho calor...\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08アンバー\n¡Eh, Roy! Tengo que hacerte una pregunta...\nTú sí sabes qué es una alpaca, ¿verdad?\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x06\x04ロイ\n¿Alpaca? ¿Son los animales peludos\nque viven en tu aldea natal?\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x0A\x08アンバー\n¡Sí! Era obvio que el Emblema de Brodia\nsabría lo monas y blanditas que son.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x06\x04ロイ\n¿Blanditas? Deben de ser un buen animal\nde compañía. ¡Cuéntame más!\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nJade, ¿qué ocurre? Me estás mirando\nde una forma muy extraña.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nShsss... Silencio. Estoy a punto de rematar\nla trama de una nueva novela.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\n¡Jade! Antes he visto un mineral.\n¿Sabrías identificarlo si te lo describo?\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nClaro, no hay mineral que no pueda identificar.\nDime de qué color es y si brilla.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08ジェーデ\nHe visto que te interesan los libros\ny las historias, Roy. ¿Es así?\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x06\x04ロイ\nSí. Las historias enseñan las mejores lecciones.\nAh, tú eres escritora, ¿no?\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x0A\x08ジェーデ\nLo soy. ¿Me darías tu opinión sobre algo que\nestoy escribiendo? Quiero saber si es gracioso.\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x06\x04ロイ\n¡Claro! Puedo empezar ahora mismo,\nsi no te importa pasarme las páginas.\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nMe alegra formar equipo contigo, Alcryst.\nComo Emblema de Brodia, ¡cuento contigo!\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x0C\nスタルーク\nNo te hagas ilusiones, Roy.\nYo no soy tan capaz como mi hermano.\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nスタルーク\nSeguro que podrías crear un lazo más efectivo\ncon otros, Roy. Yo no lo merezco...\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x06\x04ロイ\nNo digas eso, Alcryst. Claro que lo mereces.\nMe alegra luchar a tu lado.\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nHas estado fantástico en la última batalla,\nAlcryst. Nos has protegido a todos.\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x0C\nスタルーク\nMis aliados corrían peligro, no podía\npermitirme dudar... No ha sido nada.\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x06\x04ロイ\n¿Que no fue nada? Abatiste a los enemigos\nde un solo flechazo. ¡Eres muy fuerte!\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x0C\nスタルーク\n¡Me está halagando el Emblema de Brodia!\nNo sé qué decir... gracias.\x0E\x04\x00\x00
MID_GR_Lapis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06ラピス\nVoy a luchar junto al tesoro nacional de\nBrodia. ¡Qué honor! Me muero de ganas, Roy.\x0E\x04\x00\x00
MID_GR_Lapis_C_#002	\x0E\x03\x02\x06\x04ロイ\nAmbos somos iguales, luchamos por la paz.\nYo también estoy ansioso por empezar.\x0E\x04\x00\x00
MID_GR_Lapis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06ラピス\nContigo soy más fuerte de lo normal, Roy.\n¿Tú también entrenaste con osos?\x0E\x04\x00\x00
MID_GR_Lapis_B_#002	\x0E\x03\x02\x06\x04ロイ\n¿Osos? No... Aunque sí he luchado\ncon muchos enemigos poderosos de Biran.\x0E\x04\x00\x00
MID_GR_Lapis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x08\x06ラピス\nRoy, quería darte las gracias por prestarme\ntu fuerza. Yo, mmm...\x0E\x04\x00\x00
MID_GR_Lapis_A_#002	\x0E\x03\x02\x06\x04ロイ\n¿A qué viene esa formalidad? No hay de qué.\nSolo hago lo que tengo que hacer.\x0E\x04\x00\x00
MID_GR_Lapis_A_#003	\x0E\x03\x02\x06\x04ロイ\nUn momento, ¿qué tienes ahí?\x0E\x04\x00\x00
MID_GR_Lapis_A_#004	\x0E\x03\x02\x08\x06ラピス\nUn muñeco. Lo he hecho como símbolo\nde nuestra colaboración. ¿Quieres verlo?\x0E\x04\x00\x00
MID_GR_Citrinica_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nEn el anillo de Brodia se ocultaba una persona\nmaravillosa. Me alegra conocerte al fin.\x0E\x04\x00\x00
MID_GR_Citrinica_C_#002	\x0E\x03\x02\x06\x04ロイ\nLo mismo digo, Citrinne. Unamos nuestras\nfuerzas y esforcémonos por la causa.\x0E\x04\x00\x00
