MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nOh, lord Rafal. Qué coincidencia toparme\ncon vos, con lo grande que es el Somniel.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	Qué buen tiempo hace, ¿eh? Podría echarme\nla siesta aquí... si no fuera el campo de batalla.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nラファール\nTu entusiasmo resulta desconcertante,\ny tus muestras de amistad son inapropiadas.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nグレゴリー\n¿Quién dice que intento ser vuestro amigo?\n¿Y si su Divinidad me ha pedido que os asista?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nラファール\n¿Asistirme? ¿Tú?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nグレゴリー\n¿Por qué no? Sois muy poderoso,\npero tenéis tendencia a dejaros llevar.\x0E\x04\x02\x00
MID_RELIANCE_B_#007	Quizá con alguien sereno y reflexivo a vuestro\nlado se compense esa fastidiosa actitud...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nラファール\nCuando requiera los servicios de un cobarde\nllorica y debilucho, me aseguraré de... ¡Arg!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nグレゴリー\n¡Cuidado!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nラファール\nPero ¿qué...?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nグレゴリー\nHay que mantener los ojos bien abiertos\nante posibles emboscadas, lord Rafal.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nラファール\nCómo se atreve una maldita aberración\na disparar una flecha en mi dirección...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nグレゴリー\nHa sido repentino. Pero, ya que os he salvado\nla vida, sí sería aberrante rechazar mi ayuda.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nラファール\nNo te des tantos aires. Soy capaz de cuidarme\nsolo sin tenerte pegado como una sombra.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nグレゴリー\nEn ningún momento he dicho lo contrario.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nラファール\nSi tienes algo que decirme, habla de una vez.\nTodo sea por borrar ese gesto de tu cara...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nグレゴリー\n¡Oh, no es nada!\nSolamente pensaba en lo fuerte que sois.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nラファール\nCiertamente es algo que harías bien en tener\npresente. Mi poder decidirá esta batalla.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Y será más rápido y efectivo si permaneces\ncallado y te apartas de mi camino.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nグレゴリー\nPor tentador que suene echarse a un lado\ny evitar todo conflicto...\x0E\x04\x02\x00
MID_RELIANCE_B_#021	Si dejo de velar por vos y caéis en combate,\njamás podría mirar al Dragón Divino a la cara.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nラファール\nPuesto que tanto insistes, así sea. Pero cíñete\na tu cometido o te dejaré atrás sin miramientos.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nグレゴリー\nAsí será. Acataré vuestras órdenes,\nmi antiguo señor.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nAl principio tenía mis dudas, pero diría\nque formamos un buen equipo.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nラファール\nHas obrado bien.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nグレゴリー\n¿Me engañan mis oídos o acabáis de decir\nque he obrado bien?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nラファール\nDemasiado bien, incluso. ¿Por qué te empeñas\nen luchar a mi lado? ¿Qué buscas realmente?\x0E\x04\x02\x00
MID_RELIANCE_A_#005	¿Acaso no recuerdas cómo os engañé?\n¿Las vidas que se perdieron por mi culpa?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nグレゴリー\nClaro que lo recuerdo...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nラファール\nA buen seguro, me guardas rencor.\nO temes que pueda volver a traicionarte.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nグレゴリー\nOh, creedme, os llegué a odiar con todo\nmi corazón. Siendo honestos, aún lo hago.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Pero no toda mi ira... va dirigida contra vos.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nラファール\n¿Qué quieres decir?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nグレゴリー\nPues que ignoraba que guardabais un secreto.\nNo sabía lo mucho que estabais sufriendo.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Estoy más enfadado conmigo por ser tan débil.\nPor no haber podido ayudaros... ni rescataros.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nラファール\nYa veo.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nグレゴリー\nPor eso me esfuerzo tanto en comprenderos,\naquí, en este mundo.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nラファール\n¿Realmente te consideras capaz de empatizar\nconmigo?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nグレゴリー\nQuizá sí, o quizá no. Pero, si me equivoco y\nnos traicionáis nuevamente... acabaré con vos.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Por eso no importa lo bien o mal que me tratéis:\nno pienso abandonaros ni a sol ni a sombra.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nラファール\n¡No te andas con rodeos! ¿Y por qué permitiría\nque mi posible asesino me acompañara?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nグレゴリー\nPorque así me lo ha pedido el Dragón Divino.\nRazón suficiente, ¿no os parece?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nラファール\nSea: sírveme portando siempre un puñal que\npuedas clavarme en la espalda si así lo deseas.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Pero que sepas que la única espalda\nen la que se clavará tal arma será la tuya.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nグレゴリー\n¡Ja, ja, ja!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nラファール\n¿Tanto te regocijas de tu propia debilidad?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nグレゴリー\nOh, tan solo me decía que, visto lo visto,\nno tenemos de qué preocuparnos.\x0E\x04\x02\x00
MID_RELIANCE_A_#025	Sois incapaz de darme las gracias abiertamente.\nEn su lugar, tratáis de alejarme de vos.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Os he calado totalmente. Y estoy convencido\nde que no nos volveréis a traicionar.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nラファール\nEngáñate a ti mismo con los argumentos\nque te plazcan. Poco me importa eso a mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nグレゴリー\n¿De veras?\nEntonces, ¿por qué tenéis rojas las orejas?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nラファール\n¿Disculpa?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nグレゴリー\nJa, ja, ja. Me caéis mejor cuando sois\ncomo un libro abierto.\x0E\x04\x02\x00
MID_RELIANCE_A_#031	Ahora que conozco vuestra auténtica cara,\nla máscara que fingís llevar no me engañará.\x0E\x04\x00\x00
