MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0A\x08リュール\nUf, creo que ya he tenido suficiente\nentrenamiento por hoy...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nDe verdad que agradezco tu profesionalidad,\npero me sienta fatal encasquetártelo todo a ti.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nヴァンドレ\nNo renunciaría a mi trabajo por nada en todo\nElyos, así que no os sintáis mal, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nヴァンドレ\nAhora, por favor, cambiaos esas ropas húmedas\nantes de que cojáis un resfriado.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nDivinidad, ya he reparado y pulido\ntodas vuestras armas.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nGracias, Vander.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nヴァンドレ\nTambién he preparado el material que pedíais\npara la asamblea de guerra de mañana.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nヴァンドレ\nOs ruego que lo repaséis cuando\ndispongáis de un momento.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nLo siento, no puedo seguir así.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nヴァンドレ\n¿Seguir cómo, exactamente?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nVander, ¿acaso me tienes por una persona\nincompetente?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nヴァンドレ\n¿Cómo? ¡Cielos, no!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nヴァンドレ\nSomos meros mortales; y vos, la Divinidad.\nSois el faro que nos guía, no sé si me explico.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nヴァンドレ\nEs un detalle que intentéis liberarme de mis\nobligaciones, pero vivo para serviros.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nLo siento, pero no me siento cómod\x0E\x0A\x00\x08\x02o\x02a\nteniendo un sirviente. Yo no funciono así.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nヴァンドレ\nAntes de pasar a vuestro servicio,\nestaba al cargo de la reina Lumera.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nヴァンドレ\nVuestra madre, el epítome de la perfección,\njamás me pidió que desatendiera mis tareas.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nヴァンドレ\nCon el tiempo, Divinidad, espero\nque os acostumbréis a mi asistencia.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nRespeto a mi madre, y agradezco lo que hiciste\npor ella. Pero... somos personas diferentes.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nYo soy diferente y puedo ocuparme\nde mis necesidades.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nヴァンドレ\nComprendo...\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nヴァンドレ\nOs pido mil disculpas, Divinidad. Mi tozudez\nme impide ver más allá de mis ideales.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nヴァンドレ\nAcataré vuestras órdenes y trataré de tener\nen cuenta vuestras preferencias en el futuro.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リュール\nGracias, Vander. Si planeas hacer algo por mí,\n¿podrías comunicármelo antes, por favor?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nSeguiré necesitando ayuda muchas veces,\npero me gustaría pedirla por mí mism\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\n¿Me encargo de vuestra arma\ny armadura, Divinidad?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nNo hace falta. Tengo tiempo,\nasí que puedo ocuparme yo.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nDe acuerdo. En ese caso, me centraré\nen otras tareas, con vuestro permiso.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nGracias por tomártelo con tanta diligencia.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nヴァンドレ\nDe nada, Divinidad. No tiene importancia.\nNinguna importancia...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\n¿Te pasa algo?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nヴァンドレ\n¿Puedo robaros un minuto de vuestro tiempo?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nPor supuesto. ¿Qué ocurre?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nヴァンドレ\nHace tiempo, Divinidad, me explicasteis\nlas diferencias entre vos y la reina Lumera.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nヴァンドレ\nPero yo, que os he servido tanto a ella como\na vos, también percibo numerosas similitudes.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nヴァンドレ\nDe hecho, acabo de percatarme\nde una ahora mismo.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\n¿De qué se trata?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nヴァンドレ\nOs une la amabilidad con la que tratáis a todo\nel mundo, y con la que os ganáis su afecto.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nヴァンドレ\nEn cuanto a las diferencias, solo se me ocurre\nuna: que vos todavía estáis aprendiendo.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nヴァンドレ\nVuestro futuro se presenta brillante y lleno\nde posibilidades. Espero formar parte de él.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nVander...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nヴァンドレ\nConfío en que mis palabras no os hayan\nofendido. He hablado con total franqueza.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nNo, me alegro de que me abras tu corazón.\nEs cierto: aún me queda mucho por aprender.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nTendré que trabajar a destajo para ganarme la\nconfianza que la gente depositaba en mi madre.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nヴァンドレ\nNo me cabe duda de que lo lograréis, Divinidad.\nPara eso estoy aquí: para serviros.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nSé que, mientras cuente con tus sabios\nconsejos, las cosas saldrán bien.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nNo dejes de apoyarme. Algún día, cuando me\nhaga más fuerte, seré yo quien te ayude a ti.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nヴァンドレ\nA vuestras órdenes, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴァンドレ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nDivinidad, he de haceros una grave confesión.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\n¿De veras? Dime...\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0C\nヴァンドレ\nComo es mi deseo seguir a vuestro servicio,\nme parece sensato sincerarme del todo con vos.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0C\nヴァンドレ\nCuando me destinaron al Somniel para serviros,\nreconozco que no recibí nada bien la noticia.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nAh, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0C\nヴァンドレ\nEn absoluto. Lo único que quería por entonces\nera seguir a las órdenes de la reina Lumera.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0C\nヴァンドレ\nA pesar de mis protestas, ella insistió en que\nmi deber era cuidaros durante vuestro letargo.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0C\nヴァンドレ\nMe sentí apartado... degradado en mi puesto.\nLlegué al Somniel con gran desazón.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nComprendo... ¿Y qué fue lo que te llevó\na cambiar de opinión?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0C\nヴァンドレ\nAl principio, me limitaba a cumplir\nel encargo de la reina Lumera.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0C\nヴァンドレ\nPero hoy os sirvo porque sé quién sois.\nCreo en vos y en vuestro corazón, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nVander...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0C\nヴァンドレ\nLa reina sabía que le quedaba poco tiempo, algo\nde lo que no fui consciente hasta su muerte.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0C\nヴァンドレ\nDe ahí que me encomendase cuidar de vos\ny convertirme en vuestro guía.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0C\nヴァンドレ\nPara un siervo del Dragón Divino, no hay mayor\nhonor que velar por \x0E\x0A\x00 \x0Eel hijo\x0Ela hija de la reina Lumera.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nヴァンドレ\nMi ineptitud me impedía verlo entonces. Os pido\nperdón por haber tardado tanto en entenderlo.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nNo tienes nada de qué disculparte, Vander.\nTe agradezco que seas tan honesto conmigo.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0C\nヴァンドレ\nDivinidad, me honraríais si me permitieseis\nrenovar mi voto de lealtad hacia vos.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nPor supuesto.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0C\nヴァンドレ\nJuro solemnemente que os serviré con lealtad\nhasta el fin de mis días, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nY yo acepto tu juramento y te nombro\nmi inseparable caballero.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nPara sellar nuestro vínculo,\nme gustaría que aceptaras esto.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0C\nヴァンドレ\n¿¡El Anillo del Pacto!? ¡No podéis\nentregarme a mí un objeto tan preciado!\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nClaro que puedo. Quiero que lo lleves tú.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nEl anillo es herencia de los Dragones Divinos\ny simboliza un vínculo especial con ellos.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08リュール\nNadie lo merece más que tú, que nos has\nservido a mi madre y a mí con abnegación.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0C\nヴァンドレ\nNunca pensé... que algún día llegaría\na ser digno de tal honor.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nRecuerdo que dijiste algo parecido cuando\ndesperté. Desde entonces sigues a mi lado.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08リュール\nSolo te pido que no cambies de idea.\nQue permanezcas junto a mí hasta el final.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0C\nヴァンドレ\nDivinidad, será un orgullo para mí seguiros\nhasta el fin del mundo, si es necesario.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0C\nヴァンドレ\nComo portador de este anillo, jamás permitiré\nque nada ni nadie os haga daño.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0C\nヴァンドレ\nYo, Vander, juro ser vuestra espada y vuestro\nescudo para siempre, aunque me cueste la vida.\x0E\x04\x00\x00
