MID_MENU_YES	Vale
MID_CONFIG_H_NETWORK_OFF	Deshabilita las funciones de juego en línea.
MID_MENU_TITLE_GMAP	Menú del mapa
MID_MENU_TITLE_KIZUNA	Menú de exploración
MID_MENU_TITLE_HUB	Menú del Somniel
MID_MENU_TITLE_FASTTRAVEL	Viaje rápido
MID_MENU_TITLE_FASTTRAVEL_HELP	Elige un destino.
MID_MENU_ENTER_CHAPTER	Iniciar capítulo
MID_MENU_ENTER_CHAPTER_HELP	Continúa la historia.
MID_MENU_ENTER_ENCOUNTER	Escaramuza
MID_MENU_ENTER_ENCOUNTER_HELP	Lucha contra enemigos.
MID_MENU_ENTER_TRAINING	Entrenamiento
MID_MENU_ENTER_TRAINING_HELP	Entrena con los soldados.
MID_MENU_ENTER_CHAPTER_CONFIRM	¿Comenzar este capítulo?
MID_MENU_ENTER_CHAPTER_CONFIRM_M010	Tras iniciar este capítulo, deberás superar\nuna serie de batallas para poder volver\nal Somniel.
MID_MENU_ENTER_ENCOUNTER_CONFIRM	¿Comenzar la escaramuza?
MID_MENU_ENTER_TRAINING_CONFIRM	¿Comenzar el entrenamiento?
MID_MENU_ENTER_YES	Comenzar
MID_MENU_ENTER_CHAPTER_OPEN_M026	Puedes acceder a la batalla contra el Dragón\nCaído Sombron desde el balcón de la segunda\nplanta de la cafetería del Somniel.
MID_MENU_FRIEND	Referencia
MID_MENU_FRIEND_HELP	Consulta información sobre aliados y Emblemas.
MID_MENU_FRIEND_LIST	Notas aliados
MID_MENU_FRIEND_LIST_HELP	Consulta información sobre tus aliados.
MID_MENU_FRIEND_LIST_SELECT_HELP	Selecciona un aliado.
MID_MENU_FRIEND_LIST_NONE	No tienes ninguna nota.\nHabla con tus aliados en el Somniel.
MID_MENU_RING_LIST	Notas anillos\x0E\x01\x0B\x00
MID_MENU_RING_LIST_HELP	Información sobre Emblemas y anillos lazo.
MID_MENU_RING_LIST_SELECT_HELP	Selecciona un anillo\x0E\x01\x0A\x00.
MID_MENU_HUB_MATERIAL	Almacén
MID_MENU_HUB_MATERIAL_HELP	Ve tus materiales y regalos.
MID_MENU_HUB_MAP_CHECK	Mapa Somniel
MID_MENU_HUB_MAP_CHECK_HELP	Viaja a otros lugares y consulta las instalaciones.
MID_MENU_KIZUNA_DEPART	Partir
MID_MENU_KIZUNA_DEPART_HELP	Dirígete al siguiente destino.
MID_MENU_TO_SOLANEL	Somniel
MID_MENU_TO_SOLANEL_HELP	Ve a tu base de operaciones.
MID_MENU_TO_SOLANEL_CONFIRM	¿Ir al Somniel?
MID_MENU_TO_GMAP	Ir al mapa
MID_MENU_TO_GMAP_HELP	Ve al mapa.
MID_MENU_SHOPPING	Mercado
MID_MENU_SHOPPING_HELP	Compra o vende armas y objetos.
MID_MENU_Recall_Reliance	Apoyo
MID_MENU_H_Recall_Reliance	Ve las relaciones de apoyo con otros personajes.
MID_MENU_Recall_Reliance_Unit	Apoyos
MID_MENU_Recall_GodReliance	Lazo
MID_MENU_H_Recall_GodReliance	Ve los lazos formados con los Emblemas.
MID_MENU_Recall_GodReliance_Unit	Lazos
MID_MENU_SoundList	Canciones
MID_GMAP_MapDetails_TRAINING	¡Entrenamiento!
MID_GMAP_MapDetails_ENCOUNTER	¡Escaramuza!
MID_GMAP_MapDetails_RarEnemy_EXP	¡Aberraciones de plata!
MID_GMAP_MapDetails_RarEnemy_Gold	¡Aberraciones de oro!
MID_GMAP_MapDetails_Position	Recomendado:
MID_GMAP_MapDetails_PositionLv	\x0E\x01\x00\x00 Niv. \x0E\x01\x01\x00
MID_GMAP_MapDetails_Investment	Niv. de donación \x0E\x01\x00\x00
MID_GMAP_MapDetails_Material	Materiales
MID_GMAP_MapDetails_Food	Ingredientes
MID_GMAP_MapDetails_Animal	Animales
MID_GMAP_MapDetails_Animal_Capture_OK	Adoptable
MID_GMAP_MapDetails_Animal_Capture_NG	Inadoptable
MID_GMAP_MapDetails_Animal_Capture_Verification	¿Adoptar y enviar al Somniel:\n\x0E\x01\x00\x00?
MID_GMAP_MapDetails_Animal_Capture_Yes	Adoptar
MID_GMAP_MapDetails_Animal_Capture_Attention	No puedes adoptar a este animal\n(\x0E\x01\x00\x00) porque no sabes cómo\ncuidarlo. Consulta la sección de donaciones\ndel tablón de anuncios de la cafetería para\nobtener más información.
MID_GMAP_MapDetails_Animal_Capture_Get	Adoptar
MID_GMAP_MapDetails_Animal_Capture_Got	¡Listo!
MID_MENU_ORDER_ADVANCE	Avanzar
MID_MENU_ORDER_ADVANCE_HELP	Actuar según la situación\nlo requiera.
MID_MENU_ORDER_RUSH	Cargar
MID_MENU_ORDER_RUSH_HELP	Atacar agresivamente.
MID_MENU_ORDER_ESCORT	Proteger
MID_MENU_ORDER_ESCORT_HELP	Centrarse en proteger\na \x0E\x06\x03\x00.
MID_MENU_ORDER_WITHDRAW	Retirarse
MID_MENU_ORDER_WITHDRAW_HELP	Mantenerse lejos\ndel enemigo.
MID_MENU_BREAK_DOWN	Tomar
MID_MENU_HELP_BREAK_DOWN	Finaliza la batalla.
MID_MENU_ESCAPE	Escapar
MID_MENU_HELP_ESCAPE	Abandona la batalla.
MID_MENU_ATTACK	Atacar
MID_MENU_HELP_ATTACK	Enfrentarse a un enemigo.
MID_MENU_ENGAGE_COMMAND	Fusión
MID_MENU_ENGAGE_COMMAND_RELEASE	Escisión
MID_MENU_HELP_ENGAGE_COMMAND	Unirse a un Emblema.
MID_MENU_ENGAGE_HELP_TITLE	Novedades
MID_MENU_ALTERNATE_HELP_TITLE	Cambios
MID_MENU_ENGAGE_LINK	Fusión +
MID_MENU_HELP_ENGAGE_LINK	Unidad y un aliado adyacente\nentran en estado de fusión.
MID_MENU_ENGAGE_LINK_OUT_OF_MOVE_RANGE	Fusión no disponible desde esa posición.
MID_MENU_CANNON	Disparar
MID_MENU_HELP_CANNON	Usa artillería para atacar al enemigo.
MID_MENU_CANNON_NO_AVAILABLE_BOW	La unidad no tiene arco.
MID_MENU_CANNON_NO_AVAILABLE_MAGIC	La unidad no tiene grimorio.
MID_MENU_CANNON_OUT_OF_AMMO	No se puede usar más.
MID_MENU_CANNON_OUT_OF_RANGE	No hay enemigos al alcance.
MID_MENU_DESTROY	Destruir
MID_MENU_HELP_DESTROY	Rompe un muro o un obstáculo.
MID_MENU_ROD	Bastón
MID_MENU_HELP_ROD	Sana aliados, altera enemigos, etc.
MID_MENU_VISIT	Visitar
MID_MENU_HELP_VISIT	Habla con los habitantes.
MID_MENU_TREASURE_BOX	Cofre
MID_MENU_HELP_TREASURE_BOX	Coge el contenido de un cofre.
MID_MENU_TORCH_ON	Encender
MID_MENU_HELP_TORCH_ON	Ilumina los alrededores.
MID_MENU_DOOR	Puerta
MID_MENU_HELP_DOOR	Abre una puerta.
MID_MENU_ITEM	Objetos
MID_MENU_HELP_ITEM	Usa o asigna objetos.
MID_MENU_TRADE	Intercambiar
MID_MENU_HELP_TRADE	Cambia objetos con\nun aliado.
MID_MENU_TRANSPORTER	Carro
MID_MENU_HELP_TRANSPORTER	Deposita o coge objetos.
MID_MENU_TITLEHELP_TRANSPORTER	Deposita o coge objetos.
MID_MENU_TALK	Hablar
MID_MENU_HELP_TALK	Habla con una unidad del mapa.
MID_MENU_GUARD	Defensa cadena
MID_MENU_HELP_GUARD	Protege a aliados\nadyacentes.
MID_MENU_GUARD_FULL_HP	Solo puede usarse con los PV al máximo.
MID_MENU_DANCE	Bailar
MID_MENU_HELP_DANCE	Permite a un aliado volver\na actuar tras agotar su turno.
MID_MENU_WAIT	Esperar
MID_MENU_HELP_WAIT	Acaba el turno de la unidad.
MID_MENU_ITEM_EQUIP	Equipar
MID_MENU_ITEM_REMOVE	Quitar
MID_MENU_ITEM_ARRANGE	Ordenar
MID_MENU_ITEM_USE	Usar
MID_MENU_ITEM_USE_CONFIRM	¿Quieres usar: \x0E\x01\x00\x00?
MID_MENU_ITEM_USE_DOPING_FOREVER	\x0E\x01\x00\x00 aumenta en \x0E\x01\x01\x00.
MID_MENU_ITEM_USE_DOPING_TEMPORARY	\x0E\x01\x00\x00 aumenta en \x0E\x01\x01\x00 durante una batalla.
MID_MENU_ITEM_TRADE	Intercambiar
MID_MENU_ITEM_DISCARD	Tirar
MID_MENU_ITEM_DISCARD_NOTIFY	Tu inventario está lleno.\nDeshazte de algún objeto.
MID_MENU_ITEM_SEND_NOTIFY	No puedes llevar más\nobjetos. Envía alguno\nal carro.
MID_MENU_ITEM_SEND_EQUIP	No es posible enviar al carro ni deshacerse\nde un objeto que lleve equipado una unidad.
MID_MENU_ITEM_DISCARD_CONFIRM	¿Tirar \x0E\x01\x00\x00 \x0E\x01\x01\x00?
MID_MENU_ITEM_DISCARD_CONFIRM_YES	Tirar
MID_MENU_ITEM_SEND_CONFIRM	¿Enviar al carro: \x0E\x01\x00\x00 \x0E\x01\x01\x00?
MID_MENU_ITEM_SEND_YES	Enviar
MID_MENU_ITEM_CASH_ANNOUNCE	Se ha excedido el límite de almacenamiento\ndel carro. Al menos uno de tus artículos menos\nvaliosos se ha descartado para liberar espacio.
MID_ITEMMENU_TITLE_ITEM	Objetos
MID_ITEMMENU_TITLE_ATTACK	Selección de armas
MID_ITEMMENU_TITLE_ROD	Selección de bastones
MID_ITEMMENU_TITLE_TRANSPORTER	Carro
MID_ITEMMENU_ITEM_COUNT	Cantidad
MID_ITEMMENU_ITEM_ALL	Todo
MID_MENU_REWIND_INFO_TURN	Turno:
MID_MENU_REWIND_INFO_TURNS	Turnos:
MID_MENU_REWIND_INFO_REST_UNIT	Activas:
MID_MENU_REWIND_INFO_TIMES	Usos rest.
MID_MENU_REWIND_CONFIRM	Esta acción no pertenece al turno de tu\nejército. ¿Quieres deshacer las acciones\nhasta este momento de todos modos?
MID_MENU_REWIND_DECIDE_YES	Deshacer
MID_MENU_SHOP_HELP	Elige una acción.
MID_MENU_SHOP_BUY	Comprar
MID_MENU_SHOP_BUY_EMPTY	Nada disponible.
MID_MENU_SHOP_BUY_CONFIRM	¿Comprar este objeto?
MID_MENU_SHOP_PurchasedItem	Objeto
MID_MENU_SHOP_BUY_CONFIRM_YES	Comprar
MID_MENU_SHOP_BUY_NOTICE_FULL	No se ha podido completar la compra\nporque no es posible llevar más.
MID_MENU_SHOP_SELL	Vender
MID_MENU_SHOP_SELL_EMPTY	(Sin objetos)
MID_MENU_SHOP_SELL_CANNOT	No vendible
MID_MENU_SHOP_SELL_CONFIRM	¿Vender este objeto?
MID_MENU_SHOP_SELL_CONFIRM_Multiple	¿Vender estos objetos?
MID_MENU_SHOP_SELL_CONFIRM_Other	Otro: \x0E\x01\x00\x00
MID_MENU_SHOP_SaleItem	Objeto
MID_MENU_SHOP_SELL_CONFIRM_YES	Vender
MID_MENU_SHOP_ITEM	Objetos
MID_MENU_SHOP_STOCK	Disp.
MID_MENU_SHOP_USABLE_COUNT	Usos
MID_MENU_SHOP_PRICE	Coste
MID_MENU_SHOP_SELLING_COUNT	Cant.
MID_MENU_SHOP_SELLING_TOTAL	Precio
MID_MENU_WEAPON_SHOP	Armería
MID_MENU_WEAPON_SHOP_BUY_HELP	Elige el arma que quieras comprar.
MID_MENU_WEAPON_SHOP_HOLDING_COUNT	En inventario
MID_MENU_WEAPON_SHOP_EQUIPPED_POSSIBLE	Equipable
MID_MENU_ITEM_SHOP	Bazar
MID_MENU_ITEM_SHOP_BUY_HELP	Elige el objeto que quieras comprar.
MID_MENU_ITEM_SHOP_SELL_HELP	Elige el objeto que quieras vender.
MID_MENU_ITEM_SHOP_HOLDING_COUNT	En inventario 
MID_MENU_ACCESSORY_SHOP	Accesorios
MID_MENU_ACCESSORY_SHOP_CHANGE	Cambiar
MID_MENU_ACCESSORY_SHOP_BUY_HELP	Elige el artículo que quieras comprar.
MID_MENU_ACCESSORY_SHOP_BUY_CONFIRM	¿Quieres comprar este artículo?
MID_MENU_ACCESSORY_SHOP_ACCESSORY	Artículos
MID_MENU_ACCESSORY_SHOP_PART_BODY	Cuerpo
MID_MENU_ACCESSORY_SHOP_PART_HEAD	Cabeza
MID_MENU_ACCESSORY_SHOP_PART_FACE	Cara
MID_MENU_ACCESSORY_SHOP_PART_BACK	Espalda
MID_MENU_ACCESSORY_SHOP_CHANGE_HELP	Elige el artículo que quieras ponerte.
MID_MENU_ACCESSORY_SHOP_CHANGE_EMPTY	(Nada)
MID_MENU_REFINE_SHOP	Herrería
MID_MENU_REFINE_SHOP_REFINE	Refinar
MID_MENU_REFINE_SHOP_REFINE_WEAPONS	Armas
MID_MENU_REFINE_SHOP_REFINE_GODSYMBOL	Emblemas
MID_MENU_REFINE_SHOP_ENGRAVE	Grabar
MID_MENU_REFINE_SHOP_EXCHANGE	Intercambiar
MID_MENU_REFINE_SHOP_REFINE_BASE_HELP	Elige el arma que quieras modificar.
MID_MENU_REFINE_SHOP_REFINE_BASE_EMPTY	(Ningún arma)
MID_MENU_REFINE_SHOP_REFINE_TARGET_HELP	Elige el arma en que se transformará.
MID_MENU_REFINE_SHOP_REFINE_TARGET_UNKNOWN	(?)
MID_MENU_REFINE_SHOP_REFINE_CONFIRM	¿Refinar esta arma?
MID_MENU_REFINE_SHOP_REFINE_CONTENTS	Resultado
MID_MENU_REFINE_SHOP_REFINE_CONFIRM_YES	Refinar
MID_MENU_REFINE_SHOP_EVOLVE_CONFIRM	¿Transformar esta arma?
MID_MENU_REFINE_SHOP_EVOLVE_CONTENTS	Resultado
MID_MENU_REFINE_SHOP_EVOLVE_CONFIRM_YES	Transformar
MID_MENU_REFINE_SHOP_ENGRAVE_ITEM_HELP	Elige el arma que se grabará.
MID_MENU_REFINE_SHOP_ENGRAVE_ITEM_EMPTY	(Ningún arma)
MID_MENU_REFINE_SHOP_ENGRAVE_GOD_HELP	Elige qué Emblema se grabará.
MID_MENU_REFINE_SHOP_ENGRAVE_CONFIRM	¿Grabar este Emblema?
MID_MENU_REFINE_SHOP_ENGRAVE_CONTENTS	Grabado
MID_MENU_REFINE_SHOP_ENGRAVE_CONFIRM_YES	Grabar
MID_MENU_REFINE_SHOP_ENGRAVE_CONFIRM_TO_REPLACE	\x0E\x01\x01\x00 tiene grabado el Emblema \x0E\x01\x00\x00.\n¿Quieres grabarlo en esta arma?
MID_MENU_REFINE_SHOP_ENGRAVE_EMPTY	(Ningún Emblema)
MID_MENU_REFINE_SHOP_EXCHANGE_SELECT_TARGET	¿Qué metal quieres?
MID_MENU_REFINE_SHOP_EXCHANGE_SELECT_SOURCE	¿Qué metal ofreces?
MID_MENU_REFINE_SHOP_EXCHANGE_SELECT_COUNT	¿Qué cantidad quieres intercambiar?
MID_MENU_REFINE_SHOP_EXCHANGE_SOURCE	Ofrecido
MID_MENU_REFINE_SHOP_EXCHANGE_GET	Obtenido
MID_MENU_REFINE_SHOP_EXCHANGE_POSSIBLE	Intercambiable
MID_MENU_REFINE_SHOP_EXCHANGE_ADJUSTMENT	Cambiar
MID_MENU_REFINE_SHOP_EXCHANGE_IMPOSSIBLE	Capacidad insuficiente.
MID_MENU_REFINE_SHOP_EXCHANGE_Lack	No hay suficiente metal.
MID_MENU_REFINE_SHOP_EXCHANGE_01	¿Hacer este intercambio?
MID_MENU_REFINE_SHOP_EXCHANGE_02	No puedes obtener \x0E\x01\x00\x00 × \x0E\x01\x01\x00 porque\nhas alcanzado la capacidad máxima.
MID_MENU_REFINE_SHOP_EXCHANGE_YES	Intercambiar
MID_MENU_FLEA_MARKET	Mercadillo
MID_MENU_FLEA_MARKET_NOUNIT	No hay nadie a cargo de la tienda,\npero puedes comprar.
MID_MENU_FORTUNE_TELLING_TITLE	Vidente
MID_MENU_FORTUNE_TELLING_HELP	Selecciona una unidad.
MID_MENU_FORTUNE_TELLING_RESULT0	Le preocupa
MID_MENU_FORTUNE_TELLING_RESULT1	Piensa en
MID_MENU_PROFILE_CARD	Ficha
