MJID_DragonLord	Vástago divino
MJID_H_SwordFighter	Hábil espadachín que puede\nesquivar los ataques enemigos\ngracias a su agilidad.
MJID_SwordMaster	Espadachín
MJID_H_SwordMaster	Maestro de la espada capaz de\nesquivar ataques en el último\nsuspiro y contratacar con fuerza.
MJID_BraveHero	Campeón
MJID_H_BraveHero	Experto combatiente que maneja\nvarias armas y puede atravesar\ncon facilidad las líneas enemigas.
MJID_LanceFighter	Luchador lanza
MJID_H_LanceFighter	Soldado que maneja la lanza.\nPosee el equilibrio justo\nentre ataque y defensa.
MJID_Halberdier	Alabardero
MJID_H_Halberdier	Soldado veterano de numerosas\nbatallas que posee una técnica\nmuy depurada con la lanza.
MJID_RoyalKnight	Caballero real
MJID_H_RoyalKnight	Noble guerrero que recorre el campo\nde batalla luchando a caballo.\nTambién usa bastones.
MJID_AxFighter	Luchador hacha
MJID_H_AxFighter	Guerrero diestro con el hacha.\nAsesta golpes potentes, pero queda\nexpuesto a los ataques enemigos.
MJID_Berserker	Bárbaro
MJID_H_Berserker	Guerrero de fuerza envidiable.\nEs capaz de partir al enemigo\npor la mitad con su enorme hacha.
MJID_Warrior	Guerrero
MJID_H_Warrior	Experto en acabar con sus enemigos.\nDomina tanto el arco como el hacha.
MJID_Archer	Arquero
MJID_H_Archer	Infantería ligera que puede atacar\na distancia con un arco.
MJID_Sniper	Tirador
MJID_H_Sniper	Arquero experto que puede acertar\na los puntos débiles del rival\ncon gran precisión.
MJID_BowKnight	Caballero arco
MJID_H_BowKnight	Arquero que dispara a lomos de su\nmontura. Con su gran movilidad,\npuede flanquear a los enemigos.
MJID_SwordArmor	Caballero espada
MJID_H_SwordArmor	Soldado acorazado que blande\nuna espada. Posee una gran defensa,\npero es vulnerable a la magia.
MJID_LanceArmor	Caballero lanza
MJID_H_LanceArmor	Soldado acorazado que blande\nuna lanza. Posee una gran defensa,\npero es vulnerable a la magia.
MJID_AxArmor	Caballero hacha
MJID_H_AxArmor	Soldado acorazado que blande\nun hacha. Posee una gran defensa,\npero es vulnerable a la magia.
MJID_General	General
MJID_H_General	Combatiente acorazado con\nuna defensa impenetrable\ny un gran poder ofensivo.
MJID_GreatKnight	Jinete pesado
MJID_H_GreatKnight	Soldado acorazado con una gruesa\narmadura. Defiende a los aliados\ncon una gran variedad de armas.
MJID_SwordKnight	Jinete espada
MJID_H_SwordKnight	Caballero armado con una espada\nque cabalga por el campo de batalla.\nPosee atributos equilibrados.
MJID_LanceKnight	Jinete lanza
MJID_H_LanceKnight	Caballero armado con una lanza\nque cabalga por el campo de batalla.\nPosee atributos equilibrados.
MJID_AxKnight	Jinete hacha
MJID_H_AxKnight	Caballero armado con un hacha\nque cabalga por el campo de batalla.\nPosee atributos equilibrados.
MJID_Paladin	Paladín
MJID_H_Paladin	Experto jinete de alto rango.\nCuenta con una gran movilidad\ny es resistente a la magia poderosa.
MJID_WolfKnight	Jinete lobo
MJID_H_WolfKnight	Caballero que recorre el campo\nde batalla a lomos de un lobo\nsembrando la muerte con sus dagas.
MJID_SwordPegasus	Jin. alado espada
MJID_H_SwordPegasus	Blande una espada a lomos de\nun pegaso. Es resistente a la magia,\naunque vulnerable a los arcos.
MJID_LancePegasus	Jin. alado lanza
MJID_H_LancePegasus	Blande una lanza a lomos de\nun pegaso. Es resistente a la magia,\naunque vulnerable a los arcos.
MJID_AxPegasus	Jin. alado hacha
MJID_H_AxPegasus	Blande un hacha a lomos de\nun pegaso. Es resistente a la magia,\naunque vulnerable a los arcos.
MJID_GriffonKnight	Jinete grifo
MJID_H_GriffonKnight	Jinete ducho que surca los cielos\nsobre un grifo. Posee atributos muy\nequilibrados y puede usar bastones.
MJID_DragonKnight	Jinete wyvern
MJID_H_DragonKnight	Jinete ducho que surca los cielos\nsobre un wyvern. Es poderoso, pero\nvulnerable a la magia y a los arcos.
MJID_Mage	Mago
MJID_H_Mage	Usa grimorios para lanzar hechizos.\nSobresale en la lucha frente a los\nenemigos acorazados.
MJID_Sage	Sabio
MJID_H_Sage	Mago que posee un enorme poder.\nPuede usar grimorios y bastones.
MJID_MageKnight	Jinete mago
MJID_H_MageKnight	Mago que puede lanzar hechizos\na lomos de su caballo y también\nluchar con armas físicas.
MJID_Monk	Monje marcial
MJID_H_Monk	Monje que cura a sus aliados usando\nbastones. Está versado en las artes\nmarciales de autodefensa.
MJID_MasterMonk	Maestro marcial
MJID_H_MasterMonk	Monje ducho en las artes marciales.\nPuede luchar cuerpo a cuerpo\ny curar a los aliados.
MJID_HighPriest	Gran sacerdote
MJID_H_HighPriest	Experto en el uso de bastones,\nsus poderes de curación son\nindispensables en las batallas.
MJID_Thief	Ladrón
MJID_H_Thief	No hay cerradura que se le resista.\nEs hábil con las manos y mortal\ncon las dagas.
MJID_Dancer	Bailarín
MJID_H_Dancer	Sus bailes suben la moral de los\naliados permitiéndoles realizar\nmás acciones en las batallas.
MJID_Villager	Aldeano
MJID_H_Villager	Civil sin instrucción militar.
MJID_Melusine	Melusina
MJID_H_Melusine	Maga que monta a lomos de un\ndragón. Usa la espada y su poderosa\nmagia para someter al enemigo.
MJID_Barbarian	Saqueador
MJID_H_Barbarian	Guerrero que combate con una furia\nincontrolable. Le sobra fuerza y\nvelocidad, pero le falta defensa.
MJID_MorphDragon	Dragón aberrante
MJID_H_MorphDragon	Siervo del Dragón Caído que ansía\nsumir el mundo en la destrucción.\nSu aliento oscuro arrasa con todo.
MJID_PhantomDragon	Dragón espectral
MJID_H_PhantomDragon	Enorme siervo del Dragón Caído.\nCarece de velocidad de movimiento,\npero su aliento tiene gran alcance.
MJID_Emblem	Emblema
MJID_H_Emblem	Héroes de otros mundos encerrados\nen unos anillos. Poseen poderes\ninimaginables.
