MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0A\x08リュール\n¿Dónde estamos?\nNo conozco este lugar.\x0E\x04\x00\x00
MID_BT3_#004	\x0E\x05\x01\x16\x04ロイ\x0EStandBy\n\x0E\x03\x02\x06\x04ロイ\nVamos, ¡que empiece el combate!\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nGracias por deleitarme con esta pelea.\nEres impresionante.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08リュール\nHabrías vencido si me hubiese despistado.\nNo quiero volver a tenerte de enemigo.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x06\x04ロイ\nVas a hacer que me sonroje.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x06\x04ロイ\n(...)\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0A\x08リュール\n¿Qué ocurre, Roy? ¿Por qué me miras así?\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x06\x04ロイ\nMe recuerdas a una persona que conocía.\nSe llamaba Idunn...\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x06\x04ロイ\nEra un dragón demoniaco. El rey Zephiel de\nBiran quería usarlo para destruir la humanidad.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x0A\x08リュール\n¿Un dragón demoniaco?\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x06\x04ロイ\nTambién tenía un ojo de cada color\ny se comportaba de un modo similar.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0A\x08リュール\nNo sabía que existiera alguien así...\n¿Luchaste contra ese dragón demoniaco?\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x06\x04ロイ\nPude elegir: matarlo y extinguir a los dragones\no salvar a un enemigo de la humanidad.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x06\x04ロイ\n¿Adivinas qué decidí?\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nNo, ¿qué?\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x06\x04ロイ\nTe contaré el resto de la historia cuando acabe\nla guerra y traigamos la paz a este mundo.\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0A\x08リュール\nVale, pero prométeme que me lo contarás.\nQuiero saber el desenlace.\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x06\x04ロイ\nLo prometo, \x0E\x06\x03\x00. Hasta entonces,\nserá un placer seguir a tu lado.\x0E\x04\x00\x00
MID_LC1_#001	\x0E\x02\x02\x00
