MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04エル\nTu cabello refulge como el fuego.\nEs como el faro que nos guía en la batalla.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x06\x04ロイ\nYo también me angustiaba al frente del ejército,\npero el apoyo de mi gente me infundió valor.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x06\x04ロイ\nSi puedo aliviar tu carga, cuenta conmigo.\nPara eso están los amigos.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nGracias, Roy. Tú también eres como parte de\nmi familia. Me alegro de que luches a mi lado.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nNunca había visto ropajes como los tuyos,\nGregory. ¿Ocultan algún significado?\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nMe hacen parecer más amenazador, cosa que\ndetesto... pero evita que se metan conmigo.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nSe me ha ocurrido una estrategia para huir\ncuando nos rodeen. ¿Puedo pedirte opinión?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x06\x04ロイ\nFaltaría más. Aunque no lo parezca, he dirigido\nmi propio ejército... Será un placer ayudarte.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nOye, Roy... ¿No crees que viviríamos mejor\nexentos de dolor y miedo?\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x06\x04ロイ\nSin duda. Son la causa de mucho sufrimiento,\ny siempre me he propuesto evitarlos.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nLo mismo digo. Y, para conseguirlo, tengo\nque dejar de huir... He de luchar por la paz.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x06\x04ロイ\nBien dicho. Si pretendes traer la paz al mundo,\ncuentas con mi apoyo incondicional.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x06\x04ロイ\nLuchas admirablemente bien. Has dado cuenta\nde muchos enemigos sin descuidar a los aliados.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nNo merezco tales elogios... Solo he hecho\nlo que era preciso.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nマデリーン\nTú sí mereces ser halagado. Eres cortés\ny elegante dentro y fuera del campo de batalla.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x06\x04ロイ\nTus palabras me hacen sonrojar...\npero te las agradezco de corazón.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0A\x04ロイ\x022\n\x0E\x03\x02\x0C\nマデリーン\nA pesar de ser de alta cuna, te muestras\nhumilde ante todo el mundo.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0C\nマデリーン\nY, por si fuera poco, eres un espadachín\nsin igual. ¿Qué debo hacer para emularte?\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x06\x04ロイ\nPalidezco en comparación con mi padre, pero\nsupongo que la experiencia en combate se nota.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x06\x04ロイ\nSi te interesa, te enseñaré cuanto sé. Quizá así\nlogremos devolver la paz a este mundo.\x0E\x04\x00\x00
