MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06メリン\nAhora en serio. ¿Recordáis cuánto me sorprendí\nal saber que erais la princesa de Solm?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06メリン\nYo acababa de contaros toda mi vida...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06メリン\nQue siempre había deseado ser caballera,\npero mi destino no me lo permitía.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06メリン\nOs dije que ese era el motivo\npor el que abandoné mi hogar.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06メリン\nY entonces, vos...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nミスティラ\nTe pregunté si de verdad querías\nconvertirte en caballera.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nY yo contesté: "Sí, con toda mi alma".\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06メリン\nPusisteis vuestra espada en mis hombros,\nuno tras otro, y dijisteis...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nミスティラ\n"Yo te nombro caballera del reginato".\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06メリン\n¡Y me entró la risa! Pensé que era una broma.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06メリン\nPero vos no reíais, alteza.\nMe mirabais muy en serio.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nNunca olvidaré la mirada tan seria\nque teníais al armarme caballera.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nミスティラ\n¡Claro! Era un momento solemne.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nミスティラ\nTras viajar tanto tiempo a tu lado,\nsabía que eras una gran persona.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nミスティラ\nHabría sido una locura no retenerte a mi lado\nen cuanto tuve la ocasión.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06メリン\nAlteza, no merezco esos halagos.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06メリン\nAunque habría deseado que me hubieseis\nrevelado antes vuestra identidad...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\n¡Y dale! No se me ocurrió, eso es todo.\nPero al final sí te lo dije, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nミスティラ\nIncluso visitamos juntas tu aldea.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06メリン\nSí, eso es cierto.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06メリン\nLa forma en que inclinasteis vuestra cabeza\nante mi madre, la matriarca...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06メリン\ny solicitasteis su bendición\npara mi nombramiento como caballera...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06メリン\nNunca la vi tan sorprendida, pero accedió\na condición de que algún día ocupase su puesto.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nミスティラ\nTu madre es una mujer amable.\nSupo ponerse en nuestro lugar.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nJa, ja.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06メリン\nOs he acompañado desde ese momento.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06メリン\nDesde ese día, las nubes se disiparon\ny el sol ilumina mi camino.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nミスティラ\nY luego me pides que no te halague...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06メリン\nVuestro resplandor jamás me abandonará.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\nPor eso, alteza, me pongo en cuerpo\ny alma a vuestro servicio.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nミスティラ\nGracias, Merrin.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nEspero que estés a mi lado ahora y siempre.\nMi caballera de armadura reluciente. Mi amiga.\x0E\x04\x00\x00
