MID_TUT_CATEGORY_TITLE_Battle	Batalla
MID_TUT_BMAP_XHELP_TITLE	Información detallada
MID_TUT_BMAP_XHELP_0	Sitúa el cursor encima de una unidad \ny pulsa \x0E\x08\x02\x04\x02X para consultar más información.
MID_TUT_BMAP_XHELP_1	Mueve el cursor para ver información detallada\nde las armas y las habilidades, por ejemplo.
MID_TUT_BMAP_XHELP_2	Pulsa \x0E\x08\x02\x04\x02B o \x0E\x08\x02\x04\x02X para volver a la batalla.
MID_TUT_BMAP_BONDSSUPPORTTALK_TITLE	Lazos
MID_TUT_BMAP_BONDSSUPPORTTALK_0	A medida que aumente el nivel de lazo\nde un Emblema, se irán desbloqueando\nvarias conversaciones especiales.
MID_TUT_BMAP_BONDSSUPPORTTALK_1	Puedes ver las conversaciones de lazo\nen el Somniel o al explorar el mapa.
MID_TUT_BMAP_BONDSSUPPORTTALK_2	Estas conversaciones refuerzan la afinidad\nentre las unidades y aumentan el nivel de lazo.
MID_TUT_BMAP_SUPPORT_TITLE	Apoyo
MID_TUT_BMAP_SUPPORT_0	Cuando las unidades se sanan unas a otras\no luchan juntas, se incrementa su afinidad\ny pueden tener conversaciones de apoyo.
MID_TUT_BMAP_SUPPORT_1	Puedes ver las conversaciones de apoyo\nen el Somniel o en el mapa para aumentar\nel nivel de apoyo entre los personajes.
MID_TUT_BMAP_SUPPORT_2	A medida que aumente su nivel de apoyo,\nlas unidades obtendrán mejoras de atributos\ncuando luchen juntas en el campo de batalla.
MID_TUT_BMAP_VISIT_TITLE	Visitar
MID_TUT_BMAP_VISIT_0	Cuando visites casas para avisar del peligro,\npuede que sus habitantes te den objetos\nu oro como recompensa.
MID_TUT_BMAP_VISIT_1	Para hacer una visita, coloca un aliado\nen la casilla iluminada que hay frente\na una casa y selecciona la orden "Visitar".
MID_TUT_BMAP_VISIT_2	¡Cuidado! El enemigo podría intentar llegar\na las casas antes que tú para destruirlas.
MID_TUT_BMAP_TIMECRYSTAL_TITLE	Cronogema de Dragón
MID_TUT_BMAP_TIMECRYSTAL_0	Puedes usar la Cronogema de Dragón\npara revertir el progreso de la batalla.
MID_TUT_BMAP_TIMECRYSTAL_1	Selecciona la Cronogema en el menú,\nusa \x0E\x08\x02\x06\x04Up y \x0E\x08\x02\x0A\x08Down para indicar cuántas acciones\nquieres retroceder y confirma con \x0E\x08\x02\x04\x02A.
MID_TUT_BMAP_REINFORCEMENT_TITLE	Refuerzos
MID_TUT_BMAP_REINFORCEMENT_0	A veces, los enemigos reciben refuerzos\ndurante las batallas.
MID_TUT_BMAP_REINFORCEMENT_1	Los refuerzos suelen proceder de los fuertes\no de los bordes del mapa, así que nunca bajes\nla guardia.
MID_TUT_BMAP_TRANSPORTER_TITLE	Carro
MID_TUT_BMAP_TRANSPORTER_0	Usa el carro para depositar o coger objetos.
MID_TUT_BMAP_TRANSPORTER_1	Solo \x0E\x06\x03\x00 o los aliados que ocupen\ncasillas adyacentes pueden usar el carro\ndurante las batallas.
MID_TUT_BMAP_DEADSOUL_TITLE	Espíritus de los caídos
MID_TUT_BMAP_DEADSOUL_0	Si entras en batalla estando conectado a la red,\nlos espíritus que representan batallas pasadas\nde otros jugadores pueden aparecer en el mapa.
MID_TUT_BMAP_DEADSOUL_1	Los espíritus amarillos aparecen donde han\ncaído muchas unidades aliadas. Espera en sus\ncasillas para obtener Exp y Exp de lazo.
MID_TUT_BMAP_DEADSOUL_2	Los espíritus púrpuras aparecen donde han\ncaído muchos enemigos. Espera en sus casillas\npara recoger los objetos que soltaron.
MID_TUT_BMAP_DOOR_TITLE	Puertas
MID_TUT_BMAP_DOOR_0	Puedes atacar las puertas para echarlas\nabajo y abrirte paso.
MID_TUT_BMAP_DOOR_1	Los ladrones pueden usar la orden\n"Puerta" para abrirlas sin violencia.
MID_TUT_BMAP_TREASUREBOX_TITLE	Cofres
MID_TUT_BMAP_TREASUREBOX_0	Los cofres encierran diversos objetos.\nPara recoger su contenido, colócate junto\na uno y selecciona "Cofre".
MID_TUT_BMAP_TREASUREBOX_1	Si un enemigo se hace con el contenido de un\ncofre, puedes derrotarlo para arrebatárselo.
MID_TUT_BMAP_BREAKINGWALL_TITLE	Destruir elementos del mapa
MID_TUT_BMAP_BREAKINGWALL_0	Si la información sobre un elemento\ndel terreno indica que es destructible,\npodrás atacarlo para eliminarlo.
MID_TUT_BMAP_BREAKINGWALL_1	Una vez destruido el obstáculo,\npodrás pasar por esa casilla con libertad.
MID_TUT_BMAP_HPSTOCK_TITLE	Piedras resurrectoras
MID_TUT_BMAP_HPSTOCK_0	Ciertos enemigos poderosos poseen\npiedras resurrectoras.
MID_TUT_BMAP_HPSTOCK_1	Si sus PV llegan a cero, usarán\nlas piedras para recuperarse.
MID_TUT_BMAP_HPSTOCK_2	Sigue atacando a esos enemigos hasta\nque usen todas sus piedras resurrectoras.
MID_TUT_BMAP_INTERFERINGCANE_TITLE	Bastones de estado
MID_TUT_BMAP_INTERFERINGCANE_0	Algunos bastones entorpecen el avance\ndel enemigo impidiendo su movimiento\no colocando obstáculos en su camino.
MID_TUT_BMAP_SEARCH_TITLE	Oscuridad
MID_TUT_BMAP_SEARCH_0	En las zonas oscuras, solo habrá visibilidad\nen las casillas circundantes a los aliados,\nlas almenaras y las antorchas.
MID_TUT_BMAP_SEARCH_1	¡Avanza con cautela! Puede que haya enemigos\nacechando en la oscuridad.
MID_TUT_BMAP_POISON_TITLE	Veneno
MID_TUT_BMAP_POISON_0	Algunas clases de unidad, como los ladrones,\nusan dagas que envenenan a sus objetivos.
MID_TUT_BMAP_POISON_1	Los enemigos envenenados\nsufren daño adicional.
MID_TUT_BMAP_POISON_2	Ataca repetidamente con la daga\npara aumentar la potencia del veneno.
MID_TUT_BMAP_POISON_3	Las unidades permanecen envenenadas toda\nla batalla a no ser que se curen con un bastón\nde restauración o un antídoto.
MID_TUT_BMAP_TORCH_TITLE	Almenaras
MID_TUT_BMAP_TORCH_0	Para encender una almenara, colócate\njunto a ella y usa la orden "Encender".
MID_TUT_BMAP_TORCH_1	Ilumina las zonas oscuras\npara exponer a los enemigos ocultos.
MID_TUT_BMAP_SMASH_TITLE	Golpes rotundos
MID_TUT_BMAP_SMASH_0	Las armas contundentes, como los mandobles\ny los espontones, asestan golpes rotundos\nque hacen retroceder una casilla al rival.
MID_TUT_BMAP_SMASH_1	Si ejecutas un golpe rotundo ante un rival\nque tenga un obstáculo detrás, le provocarás\nel efecto ruptura.
MID_TUT_BMAP_SMASH_2	Pero estas armas son pesadas, por lo que no\npermiten asestar ataques dobles y el enemigo\ngolpeará primero aunque inicies tú el ataque.
MID_TUT_BMAP_DARKSYNCHRO_TITLE	Sincronización oscura
MID_TUT_BMAP_DARKSYNCHRO_0	Algunos enemigos también usan los poderes\nde los Emblemas en el combate.
MID_TUT_BMAP_DARKSYNCHRO_1	Los Emblemas oscuros no pueden fusionarse,\npero sí permiten asestar ataques de fusión.
MID_TUT_BMAP_DARKSYNCHRO_2	Una luz indicará si el enemigo puede usar\nun ataque de fusión. ¡Presta mucha atención!
MID_TUT_BMAP_BOWTURRET_TITLE	Balistas
MID_TUT_BMAP_BOWTURRET_0	Puedes usar una balista si colocas sobre\nella una unidad que tenga equipado un arco\ny seleccionas "Disparar".
MID_TUT_BMAP_BOWTURRET_1	Las balistas tienen gran potencia y alcance,\nlo que permite infligir mucho daño al enemigo\nantes de que se acerque.
MID_TUT_BMAP_BOWTURRET_2	No obstante, tienen un número limitado\nde proyectiles, por lo que deberás planificar\nbien qué uso les darás.
MID_TUT_BMAP_CONVERSATION_TITLE	Hablar
MID_TUT_BMAP_CONVERSATION_0	Si ves una unidad con un icono de conversación\nen batalla, colócate junto a ella y selecciona\n"Hablar" para dirigirte a ella.
MID_TUT_BMAP_CONVERSATION_1	No dejes pasar la ocasión de conversar,\nes un buen modo de encontrar nuevos aliados.
MID_TUT_BMAP_CONVERSATION_2	En algunos casos, las unidades solo querrán\nhablar con determinados aliados.
MID_TUT_BMAP_MAGICTURRET_TITLE	Artillería mágica
MID_TUT_BMAP_MAGICTURRET_0	Puedes usar artillería mágica si colocas sobre\nella una unidad que tenga equipado un grimorio\ny seleccionas "Disparar".
MID_TUT_BMAP_MAGICTURRET_1	La artillería mágica es una poderosa arma\nde largo alcance que permite lanzar ataques\na gran distancia.
MID_TUT_BMAP_MAGICTURRET_2	Al igual que las balistas, su número de usos\nes limitado, por lo que deberás planificar\nbien tus ataques.
MID_TUT_BMAP_QUICKSAND_TITLE	Arenas movedizas
MID_TUT_BMAP_QUICKSAND_0	Las arenas movedizas son un tipo de terreno\nque reduce drásticamente el movimiento de la\nunidad cuando abandona la casilla.
MID_TUT_BMAP_QUICKSAND_1	Procura evitar las arenas movedizas siempre\nque sea posible para no quedar en situación\nde desventaja.
MID_TUT_BMAP_RECKLESS_TITLE	Estado de furia
MID_TUT_BMAP_RECKLESS_0	Los enemigos sincronizados con un Emblema\noscuro pueden entrar en un estado de furia\ntras usar una piedra resurrectora.
MID_TUT_BMAP_RECKLESS_1	¡Ten cuidado! Estos enemigos abusan\ndel poder del Emblema oscuro para\nvolverse más poderosos.
MID_TUT_BMAP_DANCE_TITLE	Bailar
MID_TUT_BMAP_DANCE_0	Si un bailarín ocupa una casilla adyacente\na un aliado que ya haya actuado en ese turno,\npodrá usar la opción "Bailar".
MID_TUT_BMAP_DANCE_1	Tras hacerlo, el aliado podrá moverse de nuevo\ny realizar otra acción durante ese turno.
MID_TUT_BMAP_FLAMETURRET_TITLE	Cañones
MID_TUT_BMAP_FLAMETURRET_0	Para usar un cañón, coloca una unidad\nsobre él y selecciona "Disparar".
MID_TUT_BMAP_FLAMETURRET_1	Los proyectiles de los cañones afectan\na una gran zona al impactar y la incendian.
MID_TUT_BMAP_FLAMETURRET_2	Ten en cuenta que el impacto no reducirá\nlos PV por debajo de 1. ¡Ojo! Los aliados\ntambién se verán afectados.
MID_TUT_BMAP_PICKUPARING_TITLE	Recoger anillos
MID_TUT_BMAP_PICKUPARING_0	Invoca Emblemas colocando a \x0E\x06\x03\x00\njunto a los anillos que estén en el suelo.
MID_TUT_BMAP_LINKINGUP_TITLE	Sincronizarse en la batalla
MID_TUT_BMAP_LINKINGUP_0	Los aliados sin anillo\x0E\x01\x0A\x00 se pueden\ndesplazar junto a un Emblema invocado\ny seleccionar "Hablar" para sincronizarse.
MID_TUT_BMAP_DRAGONCREST_TITLE	Lasca del Dragón Caído
MID_TUT_BMAP_DRAGONCREST_0	Para destruir la lasca del Dragón Caído,\ndebes derrotar a sus custodios: Zephia y Griss.
MID_TUT_BMAP_DRAGONCREST_1	Zephia y Griss usarán el poder de la lasca\npara lanzar ataques devastadores con\nbombas volcánicas.
MID_TUT_BMAP_VOLCANICBOMB_TITLE	Bombas volcánicas
MID_TUT_BMAP_VOLCANICBOMB_0	Las bombas volcánicas caerán\ncada varios turnos.
MID_TUT_BMAP_VOLCANICBOMB_1	Al impactar, destruyen rocas e infligen\nmucho daño a los aliados que alcanzan.
MID_TUT_BMAP_VOLCANICBOMB_2	Un aviso indica el lugar donde caerán\nlas bombas, así que procura apartarte.
MID_TUT_BMAP_AVALANCHE_TITLE	Avalanchas
MID_TUT_BMAP_AVALANCHE_0	\x0E\x06\x03\x00 del pasado se sirve de la lasca\ndel Dragón Caído para provocar avalanchas\ny hacer retroceder a los aliados.
MID_TUT_BMAP_AVALANCHE_1	Verás un aviso cuando vaya a producirse\nuna avalancha. Presta atención y avanza\ncon cuidado.
MID_TUT_BMAP_AVALANCHE_2	Las rocas y los enemigos impiden el retroceso\nde las unidades.
MID_TUT_BMAP_TURNLIMIT_TITLE	Turnos limitados
MID_TUT_BMAP_TURNLIMIT_0	En ciertas batallas deberás lograr la victoria\nen un número limitado de turnos.
MID_TUT_BMAP_TURNLIMIT_1	Cumple las condiciones de victoria antes de\nque los turnos se acaben o perderás la batalla.
MID_TUT_BMAP_DRAGONBEAM_TITLE	Rayo de la lasca del Dragón Caído
MID_TUT_BMAP_DRAGONBEAM_0	La aberración de Lumera usará el poder\nde la lasca para lanzar un potente ataque.
MID_TUT_BMAP_DRAGONBEAM_1	Aparecerá un aviso antes de que lance el rayo.\nApártate para evitar sufrir un daño considerable.
MID_TUT_BMAP_DARKHERALDIC_TITLE	Emblemas oscuros
MID_TUT_BMAP_DARKHERALDIC_0	Los Emblemas oscuros son poderosos, aunque\nsufren ante ataques de unidades sincronizadas\no fusionadas con Emblemas de su mundo.
MID_TUT_BMAP_BARRIER_TITLE	Barrera oscura
MID_TUT_BMAP_BARRIER_0	Los Emblemas oscuros crean una barrera\nque atenúa el daño que sufre Sombron Caído.
MID_TUT_BMAP_BARRIER_1	Derrota a los Emblemas oscuros para debilitar\nla barrera.
MID_TUT_BMAP_ENGAGERING_TITLE	El Anillo del Pacto
MID_TUT_BMAP_ENGAGERING_0	Si alcanzas el nivel de apoyo A con un aliado,\npuedes darle el Anillo del Pacto para fortalecer\naún más vuestro vínculo.
MID_TUT_BMAP_ENGAGERING_1	Encontrarás el anillo en la mesita\nde tus aposentos.
MID_TUT_BMAP_ENGAGERING_2	Si no encuentras al aliado elegido en el Somniel,\nprueba a descansar un rato en la cama.
MID_TUT_GOD_MARTH_TITLE	Emblema Marth
MID_TUT_GOD_MARTH_0	El Emblema Marth ataca rápido y varias veces,\ny domina a los enemigos con su agilidad.
MID_TUT_GOD_MARTH_1	La habilidad de sincronización Arrojo permite\nevitar con facilidad los contrataques enemigos.
MID_TUT_GOD_MARTH_2	El arma de fusión Estoque inflige daño extra\na unidades de caballería y acorazadas.
MID_TUT_GOD_MARTH_3	La habilidad de fusión Celeridad divina\npermite asestar un ataque extra aunque\nmenos poderoso.
MID_TUT_GOD_MARTH_4	El ataque de fusión Ráfaga Polaris asesta\nuna fulminante serie de golpes a gran velocidad.
MID_TUT_GOD_SIGLUD_TITLE	Emblema Sigurd
MID_TUT_GOD_SIGLUD_0	Su excepcional movilidad le permite desplazarse\npor el campo de batalla con facilidad.
MID_TUT_GOD_SIGLUD_1	La habilidad de sincronización Continuidad\npermite a la unidad volver a moverse tras\natacar.
MID_TUT_GOD_SIGLUD_2	El arma de fusión Antijinetes puede infligir\ndaño extra a las unidades de caballería.
MID_TUT_GOD_SIGLUD_3	La habilidad de fusión Galope\nincrementa el movimiento (Mov) en 5.
MID_TUT_GOD_SIGLUD_4	El ataque de fusión Rebasar permite cargar\ny golpear a todos los enemigos que encuentre\na su paso.
MID_TUT_GOD_CELICA_TITLE	Emblema Celica
MID_TUT_GOD_CELICA_0	El Emblema Celica lanza poderosos ataques\nmágicos. Es muy útil contra las aberraciones.
MID_TUT_GOD_CELICA_1	La habilidad de sincronización Halo sagrado\nhace que parte del daño infligido por una\naberración sea devuelta al atacante.
MID_TUT_GOD_CELICA_2	El arma de fusión Ángeles inflige daño extra\na las aberraciones.
MID_TUT_GOD_CELICA_3	La habilidad de fusión Eco permite asestar\ndos ataques mágicos independientes\ncon el 50 % de daño.
MID_TUT_GOD_CELICA_4	El ataque de fusión Teleragnarok permite\nteleportarse hasta un enemigo lejano y atacar\ncon magia poderosa.
MID_TUT_GOD_MICAIAH_TITLE	Emblema Micaiah
MID_TUT_GOD_MICAIAH_0	El Emblema Micaiah destaca por su capacidad\nde sanación mágica.
MID_TUT_GOD_MICAIAH_1	Con la habilidad de sincronización Clerecía,\ncualquier unidad puede usar bastones\ncon independencia de su clase.
MID_TUT_GOD_MICAIAH_2	El arma de fusión Resplandor ilumina la zona\nal lanzar ataques.
MID_TUT_GOD_MICAIAH_3	La habilidad de fusión Realce aumenta\nel alcance y el área de efecto de los bastones.
MID_TUT_GOD_MICAIAH_4	El ataque de fusión Gran sacrificio restablece\npor completo los PV de todos los aliados,\npero reduce a 1 los PV de quien lo usa.
MID_TUT_GOD_ROY_TITLE	Emblema Roy
MID_TUT_GOD_ROY_0	El Emblema Roy cuenta con excelente ataque\ny defensa, lo que lo hace ideal para luchar\nen primera línea.
MID_TUT_GOD_ROY_1	La habilidad de sincronización Pertinacia\npermite sobrevivir casi todo el combate\ncon 1 PV.
MID_TUT_GOD_ROY_2	El arma de fusión Antilanza, al contrario que\nla mayoría de las espadas, otorga ventaja ante\nlas lanzas, aunque es vulnerable a las hachas.
MID_TUT_GOD_ROY_3	La habilidad de fusión Ascensión aumenta\ntemporalmente el nivel y los atributos\nde la unidad.
MID_TUT_GOD_ROY_4	El ataque de fusión León ígneo asesta ataques\nque afectan a varias casillas frente a la unidad\nal tiempo que incendia la zona.
MID_TUT_GOD_LEAF_TITLE	Emblema Leif
MID_TUT_GOD_LEAF_0	La destreza del Emblema Leif con diversas\narmas le permite adaptarse a cualquier situación\nde combate.
MID_TUT_GOD_LEAF_1	La habilidad de sincronización Ventaja vital\nreduce el daño sufrido por la unidad mientras\ncuente con ventaja de arma.
MID_TUT_GOD_LEAF_2	El arma de fusión Hacha asesina permite\nasestar golpes críticos con más frecuencia.
MID_TUT_GOD_LEAF_3	La habilidad de fusión Versatilidad permite\nresponder al ataque de un enemigo con\nel arma más adecuada a su disposición.
MID_TUT_GOD_LEAF_4	El ataque de fusión Golpe cuádruplo permite\natacar con espada, lanza, hacha y arco, lo que\naumenta la probabilidad de ruptura del enemigo.
MID_TUT_GOD_LIN_TITLE	Emblema Lyn
MID_TUT_GOD_LIN_0	El Emblema Lyn sobresale en el combate\nal no permitir que sus rivales contrataquen.
MID_TUT_GOD_LIN_1	La habilidad de sincronización Prontitud\npermite que las unidades veloces asesten todos\nsus golpes antes de que el rival contrataque.
