MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\n¡Yaaah!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08パネトネ\nOtrora, era más bien bastante salvaje.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\n¡¿De veras?!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08パネトネ\nSí. Mis progenitores fueron asaz negligentes\nen cuanto al cuidado de su prole.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パネトネ\nPor eso hui. Antes de servir a la princesa,\nllevaba una vida solitaria y errabunda.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パネトネ\nAsí fue como aprendí a luchar con los puños.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nSiento que tuvieras que pasar tantas penurias.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パネトネ\n¿Lo sentís? Si no hubiese salido de ese hogar\nmalhadado, hoy no sería la persona que veis.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nEntiendo... ¿Quieres contarme algo más\nde tu pasado?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nMe ayudaría saber más sobre tu vida\nantes de que conocieses a la princesa Timerra.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08パネトネ\nPor supuesto.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08パネトネ\nSi el relato de mis desventuras os es de utilidad,\n¡con gusto lo compartiré con vos!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nMaldición. Parece que no será tarea fácil.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\n¿Panette? Veo que estás trasnochando.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パネトネ\n¡Oh! ¡Os saludo, Divinidad!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\n¿Qué es esa carta que estás leyendo?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08パネトネ\nHe contratado a una investigadora de Solm\npara localizar a mis padres. Este es su informe.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08パネトネ\nPor desgracia, sus pesquisas han resultado\ninfructuosas.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nCreí entender que tus padres\nse habían portado mal contigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08パネトネ\nVeréis... Hablar con vos me hizo comprender\nque debía hacer frente a mis sentimientos.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08パネトネ\nPensé que, ahora que ha pasado un tiempo,\npodría hablar con ellos de un modo calmado.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パネトネ\nDe ahí mi deseo de localizarlos.\nContando con que sigan vivos, por supuesto.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nEso es admirable. Eres muy valiente por intentar\nhablar con ellos después de tantos años.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nPanette, ¿qué tal si te ayudo a encontrarlos?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パネトネ\nNo... ¡No puedo permitir que dediquéis\nvuestro valioso tiempo a tal empresa!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nEs lo menos que puedo hacer para agradecerte\ntus lecciones.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nAdemás, hemos sobrevivido \x0E\x0A\x00\x1C\x0Cjuntos\x0Cjuntas\na bastantes batallas peligrosas.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nTú, yo, los demás... Nos une un vínculo.\nDebemos ayudarnos mutuamente.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パネトネ\nBien. Acepto gustosa vuestra gentil oferta.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パネトネ\nA decir verdad, aunque no dé con mis padres,\nya he encontrado a mi familia.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パネトネ\n¿Qué más se puede pedir?\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08リュール\nSin novedades sobre el paradero de tus padres,\nimagino. Pero ten fe; seguiremos buscándolos.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08パネトネ\nDivinidad... he llegado a la conclusión de que\nlo más sensato será abandonar la búsqueda.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nPero... ¿por qué?\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08パネトネ\nHemos peinado hasta el último rincón.\nDe nada sirve prolongar este sufrimiento.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08パネトネ\nDicho lo cual, no me queda sino agradeceros\nel apoyo incondicional que me habéis brindado.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08パネトネ\nVuestra compañía ha sido... maravillosa.\nEspero que permanezcamos así de \x0E\x0A\x00\x1C\x0Cunidos\x0Cunidas.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nSi eso es lo que deseas, Panette, por supuesto\nque me tendrás a tu lado. Para siempre.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08パネトネ\nNo os entiendo...\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nComo ya te dije, nos une un vínculo,\npero hay algo más... Al menos, ese es mi deseo.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nAcepta esto, por favor.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08パネトネ\nEl Anillo del Pacto...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nSe supone que debo entregárselo a la persona\nmás digna de mi afecto, y esa persona eres tú.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08パネトネ\nDivinidad... no puedo aceptarlo.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08パネトネ\nEn su día, mis padres fueron muy felices juntos,\npero el paso de los años erosionó su relación.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08パネトネ\nLos sentimientos son veleidosos. No soporto\nla idea de que corramos la misma suerte.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nEse fue tu pasado, Panette...\nTienes todo tu futuro por delante.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nTodo el mundo tiene momentos buenos\ny malos. Nosotr\x0E\x0A\x00\x08\x02o\x02as no somos excepciones...\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nPero tú tienes reflejos de ave rapaz. Y ahora\nyo también. Junt\x0E\x0A\x00\x08\x02o\x02as, podremos con todo.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08パネトネ\nJe, je. Nunca dejáis de asombrarme, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08パネトネ\nVeo que habéis comprendido la importancia\nde la agilidad, pero ¿qué hay de lo demás?\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nTodo se andará. Y bien, ¿qué me dices?\n¿Aceptas este anillo?\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08パネトネ\nClaro, con mucho gusto.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08パネトネ\nQuedaos a mi lado para siempre,\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nPor supuesto. Ahora somos compañer\x0E\x0A\x00\x08\x02o\x02as.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08パネトネ\nTales palabras me llenan de gozo.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08パネトネ\nNada me entusiasma más que la perspectiva\nde luchar junto a vos. Realmente os adoro.\x0E\x04\x00\x00
