MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0A\x08アンバー\n¡Chloé, escucha!\n¡Tengo que contarte algo alucinante!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アンバー\nSiento que te arrastré a una expedición\nque resultó ser un fracaso.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アンバー\nEstoy convencido de que este mapa\nes real, pero prefiero comprobarlo primero.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クロエ\nQué mal, me gustaría acompañarte.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アンバー\n¿Ah, sí? ¿En serio?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クロエ\n¡Pues claro!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クロエ\nNo se trata de salir a encontrar\nuna ruina legendaria ni nada de eso.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クロエ\nVamos a disfrutar de la búsqueda.\n¡Como los héroes de los cuentos!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アンバー\n¡Ja! Esa es la mejor parte de las aventuras.\nVeo que tú me entiendes.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クロエ\nSí, he visto cómo te brillan los ojos conforme\nnos acercamos al lugar señalado en el mapa.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アンバー\nEn ese caso, Chloé, ¿me harías el favor\nde acompañarme en esta aventura?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06クロエ\n¡Por supuesto! Y esta vez voy a preparar\nuna comida muy especial.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アンバー\n¡Genial! Pero, por favor, no te pases\ncon la comida rara.\x0E\x04\x00\x00
