MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nIvy, quisiera hablar contigo.\x0E\x04\x02\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アイビー\nNo es necesario; con esto tenemos\nmás que suficiente.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nラファール\nHáblame de tus amigos de la academia.\n¿Eran todos miembros de la nobleza?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アイビー\nAlgunos sí, pero había estudiantes\nde toda clase y condición.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Muchas de las amistades que entablé allí\nhubieran sido imposibles en la corte u otro sitio.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Los lazos inesperados que se crean en ese lugar\nhacen que lo vea como algo especial.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nラファール\nUn poco como el que hemos creado juntos\ndesde que nos embarcamos en este cometido.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08アイビー\nJustamente, Rafal. Tu labor aquí representa\nsin duda el mejor ejemplo de ello.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Te lo agradezco con todo mi corazón.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nラファール\nSi mis esfuerzos te han dado aunque sea\nun ápice de felicidad, me doy por satisfecho.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	La Ivy de mi mundo debió de acudir también\na una academia y tener experiencias similares.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Cuando pienso en las amistades que debió\nde forjar y en las consecuencias de mis actos...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アイビー\nMe es imposible perdonarte en su nombre,\npero permíteme que te diga algo...\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Has aprendido de tu error y lo has rectificado\nen este mundo. No podías aspirar a nada mejor.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nラファール\nTienes razón. Mis pecados son imperdonables.\nLlevaré esta carga conmigo el resto de mis días.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Pero he aprendido la lección gracias\na la academia, o instituto de educación superior.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アイビー\nTienes buena memoria.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	¿Sabes, lord Rafal? Tras todo el tiempo\nque llevamos estudiando juntos...\x0E\x04\x02\x00
MID_RELIANCE_A_#022	No creo que resulte inapropiado\nconsiderarnos como compañeros de clase.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nラファール\n¿Así te refieres a tus amigos de la academia?\nNo estoy seguro de merecer tal distinción.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アイビー\nEs el término más adecuado para referirse a dos\nsujetos que estudian juntos desde hace tiempo.\x0E\x04\x02\x00
MID_RELIANCE_A_#025	Y diría que no hay descripción que defina\nmejor nuestra relación... ni que me agrade más.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nラファール\nSi tal es tu deseo, considéralo concedido,\npues es lo que nos ha conducido hasta aquí.\x0E\x04\x02\x00
MID_RELIANCE_A_#027	Seamos entonces compañeros de clase hasta\nel fin de los tiempos. Incluso tras la graduación.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08アイビー\nEste será otro recuerdo que grabaré a fuego\nen mi corazón.\x0E\x04\x00\x00
