MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nContar con un dragón resulta alentador.\nJuntos, devolveremos la paz a este mundo.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nMarth, es obvio que todo el mundo te adora...\nEs más, me atrevería a afirmar que te idolatran.\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06マルス\nQuizá, Zelestia. Pero sigo depositando mi fe en\nti. Al fin y al cabo, te considero una líder capaz.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nLos Cuatro Vientos comparten vínculos muy\nsólidos. Resulta alentador tenerlos de aliados.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nAntes de llegar aquí, perdimos a uno de los\nnuestros. Pero esa desgracia nos unirá más aún.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06マルス\nLos lazos afectivos nos ayudan a soportar las\npenurias. Son vitales para acabar con la guerra.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nSí. Diría que el vínculo que me une a ti también\nse ha fortalecido. Traeremos la paz al mundo.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nグレゴリー\nMe enorgullece luchar junto al Rey Heroico.\nSolo espero no decepcionarte...\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x08\x06マルス\nHe oído hablar muy bien de ti y del resto de los\nCuatro Vientos. Seguro que nos entendemos.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nLas apariencias engañan. Eres más aguerrido\ny valiente de lo que dejas entrever, Gregory.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nBueno, es cierto que no destaco por mi fuerza\nfísica, pero... jamás abandono a un amigo.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nSi no es abusar de tu confianza, me gustaría\nsaber cómo te uniste a los Cuatro Vientos.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0C\nグレゴリー\nFue sencillo... Una vez vi a cierta guerrera\nen peligro y acudí en su ayuda.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nQuería huir, pero sabía que debía ayudar.\nY menos mal que lo hice: así conocí a Zelestia.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x08\x06マルス\nTípico de ti. Sé que, contigo a mi lado,\nsiempre tendré quien me cubra las espaldas.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nマデリーン\nDicen que eres el legendario Rey Heroico...\nJuro solemnemente luchar con honor a tu lado.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x08\x06マルス\nNada de formalidades: ahora somos amigos.\nMe alegro de contar con los Cuatro Vientos.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x08\x06マルス\nLuchas con arrojo. Me enorgullece\ntener amigos tan valientes como tú.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\n¿Qué? No he hecho nada digno de mención...\npero me honras con tus palabras.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06マルス\x022\n\x0E\x03\x02\x0C\nマデリーン\nCombatiste por recuperar tu hogar, ¿verdad?\nYo lo habría dado todo por volver al mío...\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x08\x06マルス\nAjá, de modo que tú también\nhas perdido tu patria...\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0C\nマデリーン\nSí, pero tú lograste tu objetivo. Si algún día\nllego a tu altura, quizá no todo esté perdido.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x08\x06マルス\nEstoy convencido de que lo conseguirás.\nTus amigos te apoyan... y yo haré lo propio.\x0E\x04\x00\x00
