MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nマデリーン\nUf... Ya he entrenado suficiente por hoy.\nEstoy sudando mucho...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	Crecí en un ambiente de pobreza.\nY, para colmo, mis padres se odiaban.\x0E\x04\x02\x00
MID_RELIANCE_B_#011	A veces se comportaban de forma violenta.\nNo recuerdo que me trataran bien ni una vez.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nマデリーン\nQué horror...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nグレゴリー\nMe regañaban incluso en mi cumpleaños.\nY yo solo quería un simple peluche.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	Ya sabes que yo no soporto el dolor, así que\ntraté de ser un buen hijo y evitar los castigos...\x0E\x04\x02\x00
MID_RELIANCE_B_#015	Pero de nada sirvió. No me quisieron ni hasta\nel amargo final, cuando... me vendieron.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nマデリーン\nQué espanto... ¿Qué clase de padres\nse deshacen así de su propio hijo?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nグレゴリー\nLo creas o no, es la pura verdad.\nY el mundo está repleto de gente así.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nマデリーン\nLo siento mucho, Gregory. No tenía ni idea.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nグレゴリー\nNo tienes por qué disculparte. Es solo que,\nal hablar de tu hogar, me vino a la mente el mío.\x0E\x04\x02\x00
MID_RELIANCE_B_#020	Tus padres debieron de ser unas personas\nmaravillosas. Deberías atesorar todo su amor.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nマデリーン\n¿Y qué sientes tú por los tuyos?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nグレゴリー\nLos odio, y jamás los perdonaré. Aunque intento\nconvencerme de que tendrían sus motivos.\x0E\x04\x02\x00
MID_RELIANCE_B_#023	No logré pasar la página hasta que entré\nen los Cuatro Vientos. Ahora son mi familia.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nマデリーン\nMe alegro.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0C\nグレゴリー\nAlgún día seré capaz de decirles todo esto a mis\npadres. Pero mientras, gracias por escucharme.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nマデリーン\nNo, gracias a ti por sincerarte.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nマデリーン\nMmm... Sí, es perfecto.\nEs justo como lo había imaginado.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nグレゴリー\n¿Qué estás mirando con tanta emoción?\n¿Preparas algún tipo de entrenamiento secreto?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nマデリーン\n¡Argh!\x0E\x04\x02\x00
MID_RELIANCE_A_#004	¡Oh, Gregory...! Estás practicando tu técnica\nde sigilo, ¿eh? Pues funciona.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nグレゴリー\nJa, ja. Gracias. Bueno, ¿qué es todo esto?\n¿Una montaña de pelusa?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nマデリーン\n¿Perdona?\x0E\x04\x02\x00
MID_RELIANCE_A_#007	¡Es una oveja de peluche! Nunca había hecho\nun juguete antes, así que ha quedado muy mal.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nグレゴリー\n¡Oh, un peluche! Ahora que lo dices, sí parece\nuno. ¡Qué bonito! ¿Es un regalo para alguien?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nマデリーン\nBueno, es que sé que te gustan las cosas\nmulliditas, como los peluches.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nグレゴリー\nUn momento... ¿Es para mí?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nマデリーン\nEsa era la idea. Pero creo que me lo quedaré yo.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Una montaña de pelusa no es el regalo más\napropiado... Creo que estará mejor en mi cama.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nグレゴリー\n¡Lo quiero para mí! Es perfecto, Madeline.\nMe encantaría tenerlo. ¡Por favor!\x0E\x04\x02\x00
MID_RELIANCE_A_#014	Siento haber sido tan irrespetuoso antes.\n¡Esta oveja es lo mejor que podría tener!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nマデリーン\n¡Bueno, está bien! Hay que ver...\nToma, toda tuya.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nグレゴリー\n¡Gracias!\x0E\x04\x02\x00
MID_RELIANCE_A_#017	¡Es genial! Mira qué blandito ha quedado.\n¡No había sido tan feliz en toda mi vida!\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Pero ¿por qué te has tomado tantas molestias?\nNo he hecho nada para merecer un regalo.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nマデリーン\nPorque mencionaste que de niño lo único\nque querías eran peluches.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nグレゴリー\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nマデリーン\nObviamente, no puedo viajar al pasado\ny darle esto al pequeño Gregory.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Pero al menos puedo hacer un poquito feliz\nal Gregory que tengo delante.\x0E\x04\x02\x00
MID_RELIANCE_A_#023	Los Cuatro Vientos te queremos mucho,\ny todos tus amigos de este mundo también.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Hay gente que te quiere, aunque todo ese\namor te llegue más tarde de lo esperado.\x0E\x04\x02\x00
MID_RELIANCE_A_#025	Quería hacértelo saber, y solo se me ocurrió\nde esta forma.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nグレゴリー\nYo... no tengo palabras.\x0E\x04\x02\x00
MID_RELIANCE_A_#027	Sentía celos de los demás por haberse criado\nen hogares llenos de amor.\x0E\x04\x02\x00
MID_RELIANCE_A_#028	Pero, aunque mis padres no me quisieran,\ntengo amigos que sí. Y además lo demuestran.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nマデリーン\nExacto, y esa montaña de pelusa es la prueba.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nグレゴリー\nNo es una pelusa cualquiera: es la oveja\nmás bonita de este o cualquier otro mundo.\x0E\x04\x02\x00
MID_RELIANCE_A_#031	Aprecio tanto lo que has hecho por mí\nque hasta mi yo de niño sonríe.\x0E\x04\x02\x00
MID_RELIANCE_A_#032	Gracias, Madeline.\nCuidaré siempre de este peluche.\x0E\x04\x02\x00
MID_RELIANCE_A_#033	Ahora es tu turno de decirme lo que te gusta.\nYo también quiero darte un regalo de corazón.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0C\nマデリーン\nOh... Será un placer.\x0E\x04\x00\x00
