MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x08\x06モーヴ\nBueno, ya solo queda recoger esto de aquí\ny guardarlo en su sitio.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nラファール\nAsí es. En mi mundo, también había un hombre\nllamado Mauvier que se te parecía mucho.\x0E\x04\x02\x00
MID_RELIANCE_A_#006	Y murió por mi culpa.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06モーヴ\nY ahora trata de expiarla.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nラファール\nNo es lo que yo...\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Quizá no andes desencaminado.\nLa culpa que me corroe es una pesada carga.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06モーヴ\nYo no soy aquel a quien hizo daño,\nlord Rafal, por mucho que le recuerde a él.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Lo comprendo, pero me es imposible aceptar\nsus disculpas o concederle perdón alguno.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nラファール\nTienes razón. A tus ojos, mis palabras\nno son más que los desvaríos de un extraño.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06モーヴ\nExactamente. Por eso mi respuesta\nsonaría totalmente hueca.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	Debería buscar otras vías más fructíferas.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nラファール\nSabias palabras.\x0E\x04\x02\x00
MID_RELIANCE_A_#016	Nada de lo que pueda hacer por ti\nme redimirá del mal que he causado.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Mis ridículas propuestas no han sido sino\nunos tristes intentos de aliviar mi amor propio.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06モーヴ\nSi le sirve de consuelo, entiendo perfectamente\nsu pesar.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Yo mismo he de reparar muchos agravios.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nラファール\nEspero sinceramente que lo logres.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06モーヴ\nNinguno de los dos podemos cambiar el pasado,\npero sí tratar de construir un futuro mejor.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Reparar el daño que le causamos a este mundo\nsería un buen punto de partida.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nラファール\nTu conducta es ejemplar.\nSi te emulo, quizá logre aliviar mi conciencia.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06モーヴ\nMe alegraría de que así fuera.\x0E\x04\x02\x00
MID_RELIANCE_A_#025	Bueno, aún quedan cajas por trasladar.\n¿Tendría a bien echarme una mano?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nラファール\nFaltaba más.\x0E\x04\x00\x00
