MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nTú eres quien mantiene unido a este grupo.\nHaré todo lo posible para protegerte.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nEn absoluto. Podrías deleitarme\ncon alguna de tus historias mientras trabajo.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x08\x06カミラ\nClaro. Pasaremos el día juntos, tejiendo\ny compartiendo historias. ¿Qué te parece? \x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nMaravilloso, pero no hace falta que te acerques\ntanto. Me estás haciendo sentir incómodo.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nClanne, quiero que sepas que me impresiona\nlo mucho que te esfuerzas en tu trabajo.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nGracias, Camilla. Si necesitas cualquier cosa,\npídemela sin falta.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06クラン\nDisculpa, Camilla, no es que no agradezca\ntus halagos, pero ¿no crees que exageras?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06カミラ\nPara nada, querido Clanne. Tu ayuda es\ninestimable, tanto para mí como para los demás.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\n¿No es maravilloso cuidar de aquellos\nque amas? Yo haría lo que fuera por Corrin.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06クラン\nYo siempre intento pensar en nuevas formas de\nayudar al Dragón Divino. ¿Se te ocurre alguna?\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06カミラ\nPues... Había pensado que podría ondear\nun estandarte para animar a Corrin en batalla.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\n¡Qué gran idea! ¡Podríamos hacer dos\npara animar a amb\x0E\x0A\x00\x08\x02o\x02as!\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nHoy has luchado con gran valentía.\nMe ha impresionado lo fuerte que eres.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06フラン\n¿Ah, sí? En ese caso, voy a seguir mejorando\npara no dejar de impresionarte.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nTengo curiosidad, ¿qué les gusta\na las chicas de este mundo?\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06フラン\nYo adoro la remolacha. Es tan roja... ¡y está\nbuenísima! Siempre llevo un poco para comer.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nAdmiras muchísimo al Dragón Divino, ¿no?\nSiempre hablas de \x0E\x0A\x00\x10\x04él\x08ella...\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06フラン\nBueno, tú mencionas mucho a Corrin, así que\nseguramente tengamos sentimientos parecidos.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06フラン\nMe gusta que ambas hablemos de las personas\nque nos importan. Disfruto de nuestras charlas.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06カミラ\nYo también. Pero ya basta de hablar\nde los demás, cuéntame algo sobre ti.\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMe gustaría pasar algo más de tiempo juntos.\n¿Querrías venir a correr conmigo?\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06カミラ\nSerá un placer. Aunque, prefiero ir montada\nen mi wyvern, si no te importa.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nDime, ¿tienes algún truco o secreto\nque te ayude a mantenerte en forma?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x08\x06カミラ\nMmm, no sé qué decirte...\nBeber mucha leche, quizá.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMi hermana se preocupaba mucho por mí\nde pequeño porque tenía una constitución débil.\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x08\x06カミラ\n¿Ah, sí? Se ve a leguas que se quieren mucho.\n¿Me contarás más cosas de tu infancia?\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nClaro, la próxima vez que salgamos a correr.\nY quisiera saber de tus hermanos y hermanas.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x08\x06カミラ\n¿Sí? De hecho, tu cabello dorado me recuerda\na ellos. Bien. Hablaremos de nuestras infancias.\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nLlevas un buen rato yendo y viniendo.\n¿Es alguna clase de entrenamiento?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nブシュロン\nNo... Quisiera entrar en la gruta pero,\ncada vez que lo intento, alguien se me adelanta.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\n¿Has pensado en montar en wyvern alguna vez?\nEs más fácil orientarse desde las alturas.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nNunca se me había ocurrido.\nPero ¿y si me pierdo en el cielo? Tremendo lío...\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nブシュロン\nParece que coincidimos a menudo.\nSerá porque disfruto conversando contigo.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x08\x06カミラ\nMe alegra saberlo; yo siento lo mismo.\nYa que estás aquí, podemos charlar un rato.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x08\x06カミラ\nAhora que empiezo a conocerte, me gustaría\nsaber más sobre ti. ¿Cuáles son tus aficiones?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x0C\nブシュロン\nLeer. Lo hago mucho cuando me pierdo.\n¿Te hablo del último libro que he leído?\x0E\x04\x00\x00
MID_GR_Etie_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nCreo que nunca había conocido a una chica\nque entrene con tanta dedicación, Etie.\x0E\x04\x00\x00
MID_GR_Etie_C_#002	\x0E\x03\x02\x0C\nエーティエ\nYo soy así. Seguro que tú también tienes\nuna rutina de entrenamiento muy estricta.\x0E\x04\x00\x00
MID_GR_Etie_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nエーティエ\nCon lo fuerte que eres, seguro que en tu mundo\ntienen algún tipo de entrenamiento especial.\x0E\x04\x00\x00
MID_GR_Etie_B_#002	\x0E\x03\x02\x08\x06カミラ\nLa verdad es que no. Entrenaba para poder\nproteger a mis hermanos, quizá sea por eso.\x0E\x04\x00\x00
MID_GR_Etie_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nエーティエ\n¿Cómo es Nohr? Firene, mi hogar, es famoso\npor las hermosas flores que cultivamos.\x0E\x04\x00\x00
MID_GR_Etie_A_#002	\x0E\x03\x02\x08\x06カミラ\nUn país florido suena maravilloso. En Nohr reina\nla oscuridad, así que no crecen muchas flores.\x0E\x04\x00\x00
MID_GR_Etie_A_#003	\x0E\x03\x02\x0C\nエーティエ\n¡Eh, la oscuridad tiene sus ventajas! Puedes\nentrenar fuera sin preocuparte por el sol.\x0E\x04\x00\x00
MID_GR_Etie_A_#004	\x0E\x03\x02\x08\x06カミラ\nOye, pues nunca lo había visto así.\nDeberíamos entrenar juntas más a menudo.\x0E\x04\x00\x00
MID_GR_Celine_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nHa sido increíble verte luchar hoy.\nEres fuerte, pero también justa y amable.\x0E\x04\x00\x00
MID_GR_Celine_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nAunque no deseo luchar, es necesario para\nlograr la paz. Unidos, pondremos fin a la guerra.\x0E\x04\x00\x00
MID_GR_Celine_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nSé que en Nohr no brilla mucho el sol,\npero ¿cultivan alguna variedad de té especial?\x0E\x04\x00\x00
MID_GR_Celine_B_#002	\x0E\x03\x02\x08\x06カミラ\nMmm, tenemos un té con pétalos de un jazmín\nque solo florece a la luz de la luna.\x0E\x04\x00\x00
MID_GR_Celine_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nNo he podido encontrar el jazmín que decías,\npero esta flor es similar. ¿Qué te parece?\x0E\x04\x00\x00
MID_GR_Celine_A_#002	\x0E\x03\x02\x08\x06カミラ\nQué aroma tan agradable... No es como\nel de mi hogar, pero me recuerda a él.\x0E\x04\x00\x00
MID_GR_Celine_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nQué bien. Quería agradecerte toda la ayuda\nque me prestas. ¿Podríamos conversar un rato?\x0E\x04\x00\x00
MID_GR_Celine_A_#004	\x0E\x03\x02\x08\x06カミラ\nClaro, tenemos muchas cosas de que hablar,\naunque soy yo la que debería darte las gracias.\x0E\x04\x00\x00
MID_GR_Louis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\n¿Louis? ¿Por qué me miras tan fijamente?\n¿Necesitas algo?\x0E\x04\x00\x00
MID_GR_Louis_C_#002	\x0E\x03\x02\x06\x04ルイ\nDisculpa. Estaba absorto en mis pensamientos.\x0E\x04\x00\x00
MID_GR_Louis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x06\x04ルイ\nMe llena de júbilo ver que te lleves\ntan bien con todo el mundo.\x0E\x04\x00\x00
MID_GR_Louis_B_#002	\x0E\x03\x02\x08\x06カミラ\n¡Estoy disfrutando muchísimo!\nTambién con tu compañía, claro.\x0E\x04\x00\x00
MID_GR_Louis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x06\x04ルイ\nCrecí rodeado de hermanos, así que siempre\nme fascina lo fuertes que son las mujeres.\x0E\x04\x00\x00
MID_GR_Louis_A_#002	\x0E\x03\x02\x08\x06カミラ\nEn Nohr, me aseguré de elegir vasallas\nque poseían fuerza y encanto a raudales.\x0E\x04\x00\x00
MID_GR_Louis_A_#003	\x0E\x03\x02\x06\x04ルイ\nDebe de ser una compañía de ensueño.\nMe encantaría conocerlas algún día.\x0E\x04\x00\x00
MID_GR_Louis_A_#004	\x0E\x03\x02\x08\x06カミラ\nSeguro que a ellas también. Son un poco\npeculiares, pero cuentan con mi total confianza.\x0E\x04\x00\x00
MID_GR_Chloe_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06クロエ\nLa princesa de un reino donde no brilla el sol...\n¡Es como un cuento de hadas! Cuéntame más.\x0E\x04\x00\x00
MID_GR_Chloe_C_#002	\x0E\x03\x02\x08\x06カミラ\nNo sé si mis historias estarán a la altura,\npero será un placer compartirlas contigo.\x0E\x04\x00\x00
MID_GR_Chloe_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06クロエ\n¿Cuál es tu comida favorita? Si tuviera\nque adivinarlo, diría... la carne poco hecha.\x0E\x04\x00\x00
MID_GR_Chloe_B_#002	\x0E\x03\x02\x08\x06カミラ\n¡Así es! Siempre decía que me gustaba la fruta,\npero prefería mil veces comer carne.\x0E\x04\x00\x00
MID_GR_Chloe_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nA pesar de que tienes unos gustos culinarios\nmuy extraños, te encuentro fascinante.\x0E\x04\x00\x00
MID_GR_Chloe_A_#002	\x0E\x03\x02\x08\x06クロエ\n¿Fascinante? ¿Yo?\n¡Vas a hacer que me sonroje!\x0E\x04\x00\x00
MID_GR_Chloe_A_#003	\x0E\x03\x02\x08\x06カミラ\nAlgún día te llevaré conmigo a volar. En el cielo\npodemos compartir secretos sin que nos oigan.\x0E\x04\x00\x00
MID_GR_Chloe_A_#004	\x0E\x03\x02\x08\x06クロエ\n¡Me encantaría! Y traeré un montón\nde comida fascinante para que la veas.\x0E\x04\x00\x00
MID_GR_Diamand_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nSoy Camilla, princesa de Nohr. ¿Aquí la realeza\ntambién se saluda con tantas formalidades?\x0E\x04\x00\x00
MID_GR_Diamand_C_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nPreferiría tener un trato más informal.\nAl fin y al cabo, somos aliados.\x0E\x04\x00\x00
MID_GR_Diamand_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nMe gustaría saber más de la historia de tu reino.\n¿Han sufrido muchas invasiones?\x0E\x04\x00\x00
MID_GR_Diamand_B_#002	\x0E\x03\x02\x08\x06カミラ\nNohr estuvo en guerra contra un país llamado\nHoshido, pero mi hermana Corrin le puso fin.\x0E\x04\x00\x00
MID_GR_Diamand_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nCuando sea rey, haré lo posible para que mi\nreino prospere y la gente viva cómodamente.\x0E\x04\x00\x00
MID_GR_Diamand_A_#002	\x0E\x03\x02\x08\x06カミラ\nSi colaboras con otras naciones para ese fin,\nevitarás muchos conflictos.\x0E\x04\x00\x00
MID_GR_Diamand_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nTienes razón. En Brodia valoramos el poder,\npero no deseamos la guerra.\x0E\x04\x00\x00
MID_GR_Diamand_A_#004	\x0E\x03\x02\x08\x06カミラ\nBajo tu mandato, Brodia podrá vivir en paz.\nEstoy deseando verlo.\x0E\x04\x00\x00
MID_GR_Umber_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nMi wyvern tiene mucho carácter, pero a ti\nte tolera. ¿Se te dan bien los animales, Amber?\x0E\x04\x00\x00
MID_GR_Umber_C_#002	\x0E\x03\x02\x0A\x08アンバー\nMi familia tiene una granja; crecí rodeado\nde ellos. ¡Tu wyvern es adorable, por cierto!\x0E\x04\x00\x00
MID_GR_Umber_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0A\x08アンバー\nTu armadura es muy original. ¿Está relacionada\ncon alguna leyenda? Si es así, querría oírla.\x0E\x04\x00\x00
MID_GR_Umber_B_#002	\x0E\x03\x02\x08\x06カミラ\nGracias. Es cierto que esta armadura tiene\nsu historia, pero te la contaré en otro momento.\x0E\x04\x00\x00
MID_GR_Umber_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\n¡Mi armadura se llama "Grossartig Mond", la\ngran luna! En honor al glorioso cielo nocturno.\x0E\x04\x00\x00
MID_GR_Umber_A_#002	\x0E\x03\x02\x0A\x08アンバー\n¡Vaya! ¡Es un nombre increíble! Sabía que era\nuna armadura legendaria. ¡Qué emocionante!\x0E\x04\x00\x00
MID_GR_Umber_A_#003	\x0E\x03\x02\x08\x06カミラ\nSe lo diré al tipo que le dio ese nombre.\nCreo que se llevarían bien.\x0E\x04\x00\x00
MID_GR_Umber_A_#004	\x0E\x03\x02\x0A\x08アンバー\nDile que estoy impresionado por lo bien\nque supo capturar el espíritu de la aventura.\x0E\x04\x00\x00
MID_GR_Jade_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nNo das ni un respiro a tus rivales.\nCreo que tú y yo vamos a entendernos bien.\x0E\x04\x00\x00
MID_GR_Jade_C_#002	\x0E\x03\x02\x0A\x08ジェーデ\nComo vasalla del príncipe Diamant,\nes mi deber aniquilar a todos sus enemigos.\x0E\x04\x00\x00
MID_GR_Jade_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nTienes un gran sentido del deber. Me recuerdas\na una de mis vasallas, una antigua asesina.\x0E\x04\x00\x00
MID_GR_Jade_B_#002	\x0E\x03\x02\x0A\x08ジェーデ\nQue quede claro: yo nunca he sido ni seré una\nasesina. Antes vigilaba una mina, nada más.\x0E\x04\x00\x00
MID_GR_Jade_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nAunque no te guste expresarlos, sé que hay\nmuchos pensamientos en tu cabeza.\x0E\x04\x00\x00
MID_GR_Jade_A_#002	\x0E\x03\x02\x0A\x08ジェーデ\nNunca me he sentido cómoda con la\ncomunicación verbal; prefiero escribir.\x0E\x04\x00\x00
MID_GR_Jade_A_#003	\x0E\x03\x02\x08\x06カミラ\n¿Y qué escribes? Seguro que leer alguna\nde tus obras me ayudaría a conocerte mejor.\x0E\x04\x00\x00
MID_GR_Jade_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\nEscribo historias por afición. No sé si serán\nde tu agrado, pero puedo dejarte alguna.\x0E\x04\x00\x00
MID_GR_Staluke_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x0C\nスタルーク\nTe saludaría como es debido, Camilla,\npero no quiero molestarte...\x0E\x04\x00\x00
MID_GR_Staluke_C_#002	\x0E\x03\x02\x08\x06カミラ\nQué curioso. Fuera del campo de batalla\neres una persona muy distinta.\x0E\x04\x00\x00
MID_GR_Staluke_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nMe gustas, príncipe Alcryst.\nPodrías dejar que te ayudara un poco más.\x0E\x04\x00\x00
MID_GR_Staluke_B_#002	\x0E\x03\x02\x0C\nスタルーク\n¡No seas tan amable conmigo, por favor!\nNo lo merezco... Será mejor que me vaya.\x0E\x04\x00\x00
MID_GR_Staluke_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nTú y yo somos parecidos. Amables en la vida\ncotidiana, pero crueles en el campo de batalla.\x0E\x04\x00\x00
MID_GR_Staluke_A_#002	\x0E\x03\x02\x0C\nスタルーク\n¡No soy digno de compararme contigo!\nAunque... luchamos muy bien juntos.\x0E\x04\x00\x00
MID_GR_Staluke_A_#003	\x0E\x03\x02\x0C\nスタルーク\nQuizá seamos tan despiadados en la batalla\nporque queremos proteger a nuestros aliados.\x0E\x04\x00\x00
MID_GR_Staluke_A_#004	\x0E\x03\x02\x08\x06カミラ\nAsí es. Espero que juntos sigamos castigando\na nuestros enemigos.\x0E\x04\x00\x00
MID_GR_Lapis_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nLapis, ven aquí. Eres fuerte y muy interesante.\nMe gustaría conversar contigo.\x0E\x04\x00\x00
MID_GR_Lapis_C_#002	\x0E\x03\x02\x08\x06ラピス\nClaro, tú también eres muy fuerte, Camilla.\nAunque un poco intimidante...\x0E\x04\x00\x00
MID_GR_Lapis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06ラピス\n¡Eh, Camilla! He cazado este osote.\n¿Te gusta la carne?\x0E\x04\x00\x00
MID_GR_Lapis_B_#002	\x0E\x03\x02\x08\x06カミラ\nPues sí, sobre todo la ternera.\nNunca he comido carne de oso. ¿A qué sabrá?\x0E\x04\x00\x00
MID_GR_Lapis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06カミラ\x022\n\x0E\x03\x02\x08\x06カミラ\nSe te da bien fabricar cosas, ¿no? ¿Podrías\ncrear algo para decapitar a los enemigos?\x0E\x04\x00\x00
MID_GR_Lapis_A_#002	\x0E\x03\x02\x08\x06ラピス\nSería un desperdicio de recursos. Tú y yo solas\nnos bastamos para decapitar lo que sea.\x0E\x04\x00\x00
MID_GR_Lapis_A_#003	\x0E\x03\x02\x08\x06カミラ\n¡Tienes razón! Nuestra fuerza es más\nque suficiente para liquidar al enemigo.\x0E\x04\x00\x00
MID_GR_Lapis_A_#004	\x0E\x03\x02\x08\x06ラピス\nAdemás, si fuera a fabricarte alguna cosa,\ndebería ser algo que te hiciera feliz.\x0E\x04\x00\x00
