MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アンバー\x022
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nLa verdad es que no me gustaba vivir allí.\nEra un pueblo perdido y sin interés alguno...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アンバー\nSolo pensaba en salir de allí: "¡Un día me largaré\nde este lugar y me convertiré en un héroe!".\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アンバー\nAhora que sirvo en la corte, cada vez extraño\naún más mi hogar. Me siento solo...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アンバー\nOh, lo siento. No quería ponerme así...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nNo pasa nada; me gusta escucharte.\nSi te sientes solo, te puedo hacer compañía.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\nEspero que eso te resulte casi tan entretenido\ncomo hablar con las alpacas de tu pueblo.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08アンバー\n¿Está bromeando?\n¡Me encanta hablar con usted!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08アンバー\nSi quiere, puedo seguir enseñándole\nla lengua de las alpacas.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\n¡Suena divertido!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アンバー\x022
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アンバー\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nNo me lo digas... Eso significa:\n"estoy triste y las extraño", ¿no?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08アンバー\n¡¿D-Divinidad?! ¿Desde cuándo está ahí?\n¿Cómo sabe lo que estaba diciendo?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nTe he oído muchas veces hablar con ellas.\nSupongo que me he hecho el oído al idioma.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アンバー\n¡¿De veras?! Guau...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\n¡Guau!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アンバー\n¡Sí! ¡Guau! Un momento...\n¿Por qué ha dicho "guau"?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\n¿No lo has oído? ¡Sonaba como la llamada\nde una alpaca en la distancia!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アンバー\n¡Me lo he perdido! ¿Qué decía?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nNo puedo creerlo... Creo que decía:\n"Iremos a visitarte un fin de semana de estos".\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08アンバー\n¡¿De veras?! ¡Qué lindas son!\n¡Tengo que contestarles! A ver...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アンバー\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\n"Claro, amigas. Pueden venir a verme\ncuando quieran."\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アンバー\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\n"Su Divinidad está conmigo. Todo va bien.\nCuídense mucho." ¿Lo he entendido?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アンバー\n¡Sí! ¡Eso es justo lo que les he dicho!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08アンバー\nEs increíble. ¡Está \x0E\x0A\x00Z*hecho todo un experto,hecha toda una experta!\n¡Veo que domina el alpaqués!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nEs un gran honor oír eso.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アンバー\nCuando paso tiempo con usted, me siento\ncomo si estuviera en la granja.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\n¿Quieres decir que te recuerdo a un animal?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アンバー\n¡No! ¡Esa no era mi intención!\nSiento no haberme expresado bien.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\nNo te preocupes, Amber. Me alegra verte así.\nNo quiero que mi amigo se sienta solo.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08アンバー\n¡Qué amable! Gracias, Divinidad.\nNo hay nadie como usted.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08アンバー\nA ver... ¿Ha dicho "de nada"?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08リュール\n¡Eso es!\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08アンバー\x022
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08アンバー\nAquí está mi aldea... y esta es una de las granjas\nde alpacas que tiene mi familia...\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08アンバー\nY a ver si adivina lo que viene ahora.\nLe doy una pista: ¡una alpaca!\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nNo sabía que dibujaras tan bien, Amber.\nQué ilustraciones tan asombrosas.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08アンバー\n¡Gracias!\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nReconozco que estas estampas me producen\ncierta envidia.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nLlevas tu aldea en el corazón.\nYo ni siquiera sé dónde está mi hogar.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08アンバー\nDivinidad...\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08アンバー\n(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08アンバー\nSu hogar es este.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\n¿Cómo? ¿Dónde?\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08アンバー\nAquí, a mi lado.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08アンバー\nMe explico: si usted es una espada legendaria,\nyo seré la vaina que \x0E\x0A\x00\x0C\x04lo\x04la proteja.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08アンバー\nSi sale malherid\x0E\x0A\x00\x08\x02o\x02a de alguna batalla,\nahí me tendrá para cuidarl\x0E\x0A\x00\x08\x02o\x02a y sanarl\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08アンバー\nY \x0E\x0A\x00\x0C\x04lo\x04la traeré de vuelta a casa \x0E\x0A\x004\x18sano y salvo\x18sana y salva\nmil veces si hace falta.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nAmber...\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nNo, no puede ser. Me alegra que eso sea\nlo que sientes, pero...\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08アンバー\nTiene razón, Divinidad. Le pido disculpas.\nMe he pasado de la raya, ¿eh? Hay que ver...\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nNo, no quería decir eso. Si yo soy una espada,\ntú también lo serás. ¡Lucharemos juntos!\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08アンバー\nGuau...\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\n¿Acaso no sueñas con ser un héroe legendario?\nBien, pues yo quiero ayudarte a conseguirlo.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08アンバー\nDivinidad, yo...\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nQuiero que portes el Anillo del Pacto, Amber.\n¿Me harás ese favor?\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nSolo prométeme que serás\nmi espada compañera.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08アンバー\n¡Sip! Digo... ¡claro! Si esa es la condición\nque pone, ¡cuente conmigo!\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nConstruyamos juntos un mundo en paz, Amber.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nY algún día podré acompañarte\na tu granja de alpacas.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08アンバー\n¡Cuando quiera! Mi casa es su casa.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08アンバー\nGracias, Divinidad. Me siento tan abrumado...\nEstoy sin palabras.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0A\x08アンバー\n¡Ah! Tengo que contarles todo esto a mis\nalpacas enseguida. ¡Les va a encantar!\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08アンバー\n(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nBueno, como eso irá para largo, mejor lo\ndejamos para luego. Me gustaría ir contigo.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x0A\x08リュール\nAdemás, preferiría que saboreáramos\neste momento un rato más.\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x0A\x08アンバー\n¡Por supuesto, Dragón Divino \x0E\x06\x03\x00!\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x0A\x08アンバー\nPara bien o para mal, ¡ahora somos espadas\ngemelas y estaremos unidas para siempre!\x0E\x04\x00\x00
