MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\n¡Divinidad, cuidado! ¡Un lobo!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nスタルーク\n¿A mi modo? ¿Está \x0E\x0A\x00\x1C\x0Cseguro\x0Csegura?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nSé que me suelo mostrar bastante negativo...\nY, además, no sé cómo tomarme los halagos.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nスタルーク\nNo tengo la confianza de mi hermano;\nseguro que mis dudas desesperan a la gente.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nスタルーク\nAun así... ¿de veras cree que debo\nseguir haciendo las cosas a mi manera?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nAsí es.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nAunque espero que un día comprendas\nlo que te he dicho sobre el valor de tu vida.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nスタルーク\nGracias por su consejo, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0A\x08リュール\n¡Alcryst! ¡Otro lobo!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\n¡Y se dirige hacia ti! ¡Cuidado!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nスタルーク\nYa lo veo.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\n¡¿Qué haces ahí parado?!\n¡Tenemos que ponernos a salvo!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nスタルーク\nCalma, Divinidad. Yo me ocupo.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nスタルーク\n¿Hueles esto, chico? Llevo cecina.\nVamos, cómetela.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nNo doy crédito a mis ojos.\n¡Alcryst acaba de domar a ese lobo!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nスタルーク\nEs el mismo lobo que iba a \x0E\x0A\x00$\x10atacarlo\x10atacarla aquella vez.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\nSerá mejor que vuelvas a las montañas.\nAllí estarás más seguro, ¿de acuerdo?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\n¿Desde cuándo son amigos?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nスタルーク\nVengo aquí a practicar con el arco.\nSiempre se acerca a echar un ojo.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nスタルーク\nAl principio recelábamos el uno del otro,\npero entonces recordé sus palabras.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\n¿Qué palabras?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nスタルーク\nMe dijo que hiciera las cosas a mi modo.\nNo quería atacar al lobo, así que me tranquilicé.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nスタルーク\nDebió de notarlo, porque bajó la guardia.\nY ahora nos hemos hecho amigos.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\n¡Alcryst! ¡Es impresionante!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nスタルーク\nTodo gracias a su consejo.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nスタルーク\n¡Oh! ¡¿Qué hago?! ¡Qué manera más impropia\nde darle las gracias al Dragón Divino! Debería...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08リュール\nPor favor, Alcryst, ni se te ocurra\npostrarte ante mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nTus disculpas son impresionantes, de verdad,\npero intenta permanecer más tiempo... erguido.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08リュール\nSi de verdad quieres darme las gracias...\nVeo que el lobo ha entablado amistad contigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\n¿Podrías ayudarme a conseguirlo?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nスタルーク\nEs sencillo. Traiga cecina la próxima vez\ny podremos jugar todos juntos.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08リュール\n¡Eso haré! Qué emoción. Gracias, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\n¿Me disculpa, Divinidad?...\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nAlcryst... ¿qué sucede?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0C\nスタルーク\nEh... Este... Bueno, verá...\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\n¡No has hecho una reverencia!\nAsí me gusta, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0C\nスタルーク\nSí, he de ir con la cabeza bien alta...\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0C\nスタルーク\nMire esto, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\n¡Vaya, qué gema tan hermosa!\nY qué color más misterioso.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0C\nスタルーク\nEs una piedra de Brodia con una singular\nmixtura de rojos y azules.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nスタルーク\nMe la regaló mi padre cuando nací.\nDecía que le recordaba a mí.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nAh, ya veo. Por el azul de tu cabello y el rojo\nde tus ojos, ¿verdad? Pega contigo de maravilla.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0C\nスタルーク\nP-pero... combina mejor con su fisonomía.\nLa distribución cromática difiere, aunque...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0C\nスタルーク\nme recuerda a usted: alguien a quien atesoro\ny que me enseñó a ser yo mismo.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nVaya... Conque alguien a quien atesoras, ¿eh?\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0C\nスタルーク\nMi padre me pidió que algún día se la entregara\na alguien importante para mí, de modo que...\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0C\nスタルーク\nDivinidad, le ruego que la acepte\ncomo muestra de lo que siento por usted.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nGracias, Alcryst. La acepto con gusto.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0C\nスタルーク\n(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nAhora me toca a mí.\nQuisiera entregarte este anillo.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0C\nスタルーク\nEs el Anillo del Pacto...\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nExacto. Ahora te pertenece.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nPríncipe Alcryst... yo, el Dragón Divino, te doy\nesto como símbolo de nuestro vínculo especial.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nQuiero que seamos compañeros de armas\ne inseparables en tiempos de paz.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0C\nスタルーク\nQ-qué...\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\n¿Qué... de qué?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0C\nスタルーク\n¡Qué alegría! ¡Qué felicidad! ¡Qué alborozo!\n¡No me lo puedo creer!\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0C\nスタルーク\n¡Pensaba que mi gesto sería muy emotivo,\npero me ha superado con creces!\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0C\nスタルーク\nY no me importa. ¡Qué dichoso me siento!\nGracias, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08リュール\nVamos, Alcryst, no llores.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0C\nスタルーク\nNo lo haré, lo prometo. Me esforzaré por\nir con la cabeza en alto, por usted... y por mí.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0C\nスタルーク\nO, al menos, más en alto que antes.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08リュール\nPor algo se empieza.\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0C\nスタルーク\n¡Y me fortaleceré! Aunque no lo parezca,\nsoy príncipe de Brodia.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x0C\nスタルーク\nNací en el reino de los guerreros;\nprometo que podrá confiar en mí.\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x0C\nスタルーク\nY juro que siempre \x0E\x0A\x00\x0C\x04lo\x04la protegeré,\nDragón Divino \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x0A\x08リュール\nTan considerado como de costumbre, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_S_#037	\x0E\x03\x02\x0C\nスタルーク\nLo digo con absoluto convencimiento.\nEs más: lo juro por este anillo.\x0E\x04\x00\x00
MID_RELIANCE_S_#038	\x0E\x03\x02\x0A\x08リュール\nTe creo, Alcryst. Gracias.\x0E\x04\x00\x00
MID_RELIANCE_S_#039	\x0E\x03\x02\x0C\nスタルーク\nSerá un orgullo permanecer a su lado\nhasta el final e intentar ser un gran príncipe.\x0E\x04\x00\x00
