MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nエーティエ\nHola, Lapis. ¿Tienes un momento?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nエーティエ\n¡Es justo lo que quería!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ラピス\n¡Qué bien! Me alegro.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nエーティエ\nEstá tan bien hecha que hasta sospecho\nque a ti también te apasiona entrenar.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ラピス\nUn poco. Levanto rocas como esa...\no esa más grandota de allí.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nエーティエ\n¿Tú levantas esas rocas?\n¿Con esos bracitos?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nエーティエ\n¿Cómo es posible? No me cuadra.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nエーティエ\nEspero que me lo expliques otro día.\nCreo que llegaremos a ser buenas amigas.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ラピス\n¿De verdad? Quiero decir, ¡claro!\nMe encantaría.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nエーティエ\nGracias por esa máquina que fabricaste.\nMe ha sido de gran ayuda.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ラピス\n¡Qué bien, Etie! Me alegra\nque la esté disfrutando.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\nAunque me siento un poco culpable.\nMe dio todo ese té de Firene a cambio...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nエーティエ\nNo te preocupes por eso.\nTu Muscumax III vale eso y mucho más.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nエーティエ\nPor cierto, ¿qué estás comiendo?\n¿Eso son papas?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ラピス\nAh, ¿esto? Bueno, mmm...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\nNací en una pequeña aldea de Brodia\ndonde se cultivan muchos tubérculos.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ラピス\nMis padres a veces me mandan rodajas\nde camote desecado. Está buenísimo.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nエーティエ\n¿Camote desecado? ¿De una aldea remota\nde Brodia? ¿No será lo que creo que es?...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nエーティエ\n¡La fécula baja en grasa y rica en calorías\nque todo deportista necesita!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\n¿Qué? ¿Ha oído hablar de esto?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nエーティエ\nNo tenía ni idea de dónde adquirirlo,\ny ahora lo tengo justo delante.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ラピス\n¿Quiere probarlo?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nエーティエ\n¿En serio? ¡Por supuesto!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nエーティエ\n¡Ñam!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nエーティエ\n¡Con tan solo un delicioso bocado, noto\nque el cansancio de los músculos desaparece!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nエーティエ\nVoy a llorar de la emoción, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ラピス\n¡Y yo! Nunca he conocido a nadie\nque aprecie tanto nuestros productos.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\nTome, llévese más. ¡Tengo un montón!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nエーティエ\n¿Seguro que no te importa?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ラピス\n¡Para nada!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nエーティエ\nOh, eres muy amable.\nVuelvo a estar en deuda contigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ラピス\nEntonces, ¿qué tal si entrenamos juntas?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nSoy bastante fuerte, pero me canso\ncuando la batalla se alarga.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ラピス\nMe gustaría mejorar mi resistencia.\nPodríamos ir a correr las dos.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nエーティエ\n¡Claro, ningún problema! Por ti, correré\nhasta que se me caigan las piernas.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nエーティエ\nPodemos probarlo con y sin camote,\na ver si se nota la diferencia.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nエーティエ\n¡Quién sabe qué cotas lograremos alcanzar\nsi trabajamos juntas!\x0E\x04\x00\x00
