MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x0A\x08リュール\n¡Jaaaa!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\n¡Oh! Lo siento. No pretendía...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06フラン\n¡No es su culpa!\nSolo lloro porque no valgo para nada...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06フラン\n¡Prometo mantenerme lejos de su cabello!\nEse cabello tan precioso y perfecto... ¡Aaah!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nOh, Framme...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x0A\x08リュール\nFramme, siento lo que te dije.\nNo quería disgustarte.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06フラン\nNo pasa nada. Tan solo me da cosa\nhaberme puesto a llorar de ese modo.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06フラン\nEs que... me siento muy apegada a usted\ndesde que despertó. No, ¿qué digo?...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06フラン\nDesde antes de que despertara.\nSolía sentarme a charlar con usted.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\n¿De veras?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06フラン\nSí. Cuando me ocurría algo agradable,\nse lo contaba con una gran sonrisa.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06フラン\nO, si algo me entristecía, me sentaba\na su lado y se lo contaba entre lágrimas.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06フラン\nLe hablaba cada día mientras me sentaba\na su lado esperando que despertara.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nNo... No tenía ni idea.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06フラン\nSabía que no podía oírme.\nNo era más que mi pequeña fantasía.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06フラン\n¡Y entonces despertó! Estaba tan contenta de\npoder conversar con usted que me dejé llevar.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nFramme, quisiera pedirte una cosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nVuelve a animarme como lo hacías antes.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06フラン\n¡¿Qué?! Pero si dijo que...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nSí, pero eso fue antes de saber\nque me hiciste compañía durante tanto tiempo.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08リュール\nPor lo que a mí respecta, puedes hacer\ntodo el ruido que quieras.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06フラン\nOh, Divinidad... Es usted tan genial\ncomo siempre \x0E\x0A\x00\x0C\x04lo\x04la imaginé.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06フラン\nBien. Yo, Framme, copresidenta del C. F. D. D.,\njuro seguir brindándole todo mi apoyo.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06フラン\nComo su fan número uno...\n¡\x0E\x0A\x00\x0C\x04Lo\x04La animaré con toda mi alma!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nPerfecto. No esperaba menos.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06フラン\n¡Aaah! ¡Su Divinidad me ha mirado!\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x00\x0E\x08リュール\x021
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nHola, Framme. Aquí estás.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x08\x06フラン\n¡Divinidad! ¿Qué puedo hacer por usted?\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nQuería comentarte un asunto importante.\nCreo que es hora de replantearse el C. F. D. D.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x08\x06フラン\n¿Eh?...\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x08\x06フラン\n¡Si me he esforzado por \x0E\x0A\x00,\x14molestarlo\x14molestarla lo menos\nposible! Aunque en vano, por lo que veo...\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nNo, no se trata de eso.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06フラン\n¡Oh! ¡¿Piensa reconocernos como\nsu club de fans con carácter oficial?!\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nNo, tampoco era eso.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06フラン\nEntonces, supongo que pretende degradarlo...\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nNi muchísimo menos.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x08\x06フラン\n¿Qué quiere decirme entonces, Divinidad?\n¡Suéltelo ya!\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nBien, allá voy: quiero que dejes\nde ser mi fan número uno.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x08\x06フラン\n¡¿Cóoomo?!\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x08\x06フラン\nNo... Qué dolor... Me falta... el aire...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06フラン\nSi no se me permite idolatrar al Dragón Divino...\n¡¿qué será de mí?!\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nCalma, Framme. Déjame terminar.\nNo quiero que seas mi fan número uno porque...\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nquiero que seas mi aliada número uno.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x08\x06フラン\nAliada número uno...\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x08\x06フラン\n¡¿Aliada número uno?!\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nTe ocupas de mí desde mucho antes\nde que despertase.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nHas permanecido a mi vera bajo el sol\ny bajo la lluvia, en la alegría y en la tristeza...\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x08\x06フラン\n¡Sí! ¡Claro que me encantaría ser su aliada\nnúmero uno! ¡Compis de combate para siempre!\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nEntonces, esto es para ti, Framme.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x08\x06フラン\nEl Anillo del Pacto... Pero si tiene un valor\nincalculable, Divinidad. ¿Está segur\x0E\x0A\x00\x08\x02o\x02a?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08リュール\nSí.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x08\x06フラン\n¡Aaah!\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nVaya, Framme, ¿estás bien?\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x08\x06フラン\n¡Muero de felicidad! No solo me ha mirado;\n¡es que me ha ofrecido el Anillo del Pacto!\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x08\x06フラン\n¡Lo acepto con todo mi corazón!\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0A\x08リュール\nMe alegro, Framme.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x08\x06フラン\nAunque le digo una cosa:\nno quiero dejar de ser su fan.\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x08\x06フラン\nDeseo ser su mejor aliada y fan\nnúmero uno al mismo tiempo. ¿Le parece bien?\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x08\x06フラン\nLo es todo para mí. Además, me veo\npreparada para compaginar ambas cosas.\x0E\x04\x00\x00
MID_RELIANCE_S_#035	\x0E\x03\x02\x0A\x08リュール\nNo me cabe duda. Me siento muy afortunad\x0E\x0A\x00\x08\x02o\x02a\nde contar con una aliada y fan como tú.\x0E\x04\x00\x00
MID_RELIANCE_S_#036	\x0E\x03\x02\x08\x06フラン\nGracias, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#037	\x0E\x03\x02\x08\x06フラン\nA partir de ahora, le brindaré mi apoyo\ny mi compañía. ¡Aliad\x0E\x0A\x00\x08\x02o\x02as para siempre!\x0E\x04\x00\x00
