MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nOh, lord Rafal. Qué coincidencia toparme\ncon usted, con lo grande que es el Somniel.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nラファール\nTu entusiasmo resulta desconcertante,\ny tus muestras de amistad son inapropiadas.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nグレゴリー\n¿Quién dice que intento ser su amigo?\n¿Y si su Divinidad me ha pedido que lo asista?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nラファール\n¿Asistirme? ¿Tú?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nグレゴリー\n¿Por qué no? Es muy poderoso,\npero tiene tendencia a dejarse llevar.\x0E\x04\x02\x00
MID_RELIANCE_B_#007	Quizá con alguien sereno y reflexivo a su\nlado se compense esa fastidiosa actitud...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nラファール\nCuando requiera los servicios de un cobarde\nllorón y debilucho, me aseguraré de... ¡Arg!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nグレゴリー\n¡Cuidado!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nラファール\nPero ¿qué...?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nグレゴリー\nHay que mantener los ojos bien abiertos\nante posibles emboscadas, lord Rafal.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nラファール\nCómo se atreve una maldita aberración\na disparar una flecha en mi dirección...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nグレゴリー\nHa sido repentino. Pero, ya que le he salvado\nla vida, sí sería aberrante rechazar mi ayuda.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nラファール\nNo me trates con condescendencia. Soy capaz\nde cuidarme solo sin tenerte pegado como una\nsombra.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nグレゴリー\nEn ningún momento he dicho lo contrario.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nラファール\nSi tienes algo que decirme, habla de una vez.\nTodo sea por borrar ese gesto de tu cara...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nグレゴリー\n¡Oh, no es nada!\nSolamente pensaba en lo fuerte que es.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nラファール\nCiertamente es algo que harías bien en tener\npresente. Mi poder decidirá esta batalla.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Y será más rápido y efectivo si permaneces\ncallado y te apartas de mi camino.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nグレゴリー\nPor tentador que suene echarse a un lado\ny evitar todo conflicto...\x0E\x04\x02\x00
MID_RELIANCE_B_#021	Si dejo de velar por usted y cae en combate,\njamás podría mirar al Dragón Divino a la cara.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nラファール\nYa que tanto insistes, que así sea. Pero cíñete\na tu cometido o te dejaré atrás sin miramientos.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nグレゴリー\nAsí será. Acataré sus órdenes,\nmi antiguo señor.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nAl principio tenía mis dudas, pero diría\nque formamos un buen equipo.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nラファール\nHas obrado bien.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nグレゴリー\n¿Me engañan mis oídos o acaba de decir\nque he obrado bien?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nラファール\nDemasiado bien, incluso. ¿Por qué te empeñas\nen luchar a mi lado? ¿Qué buscas realmente?\x0E\x04\x02\x00
MID_RELIANCE_A_#005	¿Acaso no recuerdas cómo los engañé?\n¿Las vidas que se perdieron por mi culpa?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nグレゴリー\nClaro que lo recuerdo...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nラファール\nA buen seguro, me guardas rencor.\nO temes que pueda volver a traicionarte.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nグレゴリー\nOh, créame, lo llegué a odiar con todo\nmi corazón. Siendo honestos, aún lo hago.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	Pero no toda mi ira... va dirigida contra usted.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nラファール\n¿Qué quieres decir?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nグレゴリー\nPues que ignoraba que guardaba un secreto.\nNo sabía lo mucho que estaba sufriendo.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Estoy más enojado conmigo por ser tan débil.\nPor no haber podido ayudarlo... ni rescatarlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nラファール\nYa veo.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nグレゴリー\nPor eso me esfuerzo tanto en comprenderlo,\naquí, en este mundo.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nラファール\n¿Realmente te consideras capaz de empatizar\nconmigo?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nグレゴリー\nQuizá sí, o quizá no. Pero, si me equivoco\ny nos traiciona nuevamente... lo eliminaré.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Por eso no importa lo bien o mal que me trate:\nno pienso abandonarlo ni a sol ni a sombra.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nラファール\n¡No te andas con rodeos! ¿Y por qué permitiría\nque mi posible asesino me acompañara?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nグレゴリー\nPorque así me lo ha pedido el Dragón Divino.\nRazón suficiente, ¿no le parece?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nラファール\nBien. Sírveme portando siempre un puñal que\npuedas clavarme en la espalda si así lo deseas.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Pero te advierto que la única espalda\nen la que se clavará tal arma será la tuya.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nグレゴリー\n¡Ja, ja, ja!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nラファール\n¿Tanto te regocijas de tu propia debilidad?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nグレゴリー\nOh, tan solo me decía que, visto lo visto,\nno tenemos de qué preocuparnos.\x0E\x04\x02\x00
MID_RELIANCE_A_#025	Es incapaz de darme las gracias abiertamente.\nEn su lugar, trata de alejarme de usted.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Te he descifrado. Y estoy convencido\nde que no nos volverá a traicionar.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nラファール\nEngáñate a ti mismo con los argumentos\nque te plazcan. Poco me importa eso a mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nグレゴリー\n¿De veras?\nEntonces, ¿por qué tiene rojas las orejas?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nラファール\n¿Disculpa?\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nグレゴリー\nJa, ja, ja. Me cae mejor cuando es\ncomo un libro abierto.\x0E\x04\x02\x00
MID_RELIANCE_A_#031	Ahora que conozco su auténtica cara,\nla máscara que finge llevar no me engañará.\x0E\x04\x00\x00
