MID_PLACE_Filene	Firene
MCID_M015_OUTLINE	Tras vencer en el palacio de Solm,\nel grupo busca el Anillo del Quid\ndel Destino en el bastión del norte.
MCID_M016_PREFIX	Capítulo 16
MCID_M016	Travesía marítima
MCID_M016_PLACE	Costa Azúrea
MCID_M016_OUTLINE	Mientras el grupo urde un plan\ntras obtener un nuevo anillo,\nrecibe una noticia preocupante.
MCID_M017_PREFIX	Capítulo 17
MCID_M017	Paz quebrada
MCID_M017_PLACE	Puerto de Florra
MCID_M017_OUTLINE	El ejército del Dragón Divino va\ntras los buques de guerra de Elusia\ny llega al puerto de Florra.
MCID_M018_PREFIX	Capítulo 18
MCID_M018	El frío camino
MCID_M018_PLACE	Ruta de Elusia
MCID_M018_OUTLINE	Tras descubrir la verdad sobre\nVeyle, el grupo parte a Elusia,\ndonde espera el Dragón Caído.
MCID_M019_PREFIX	Capítulo 19
MCID_M019	La ciudad muerta
MCID_M019_PLACE	Puerto de Givre
MCID_M019_OUTLINE	El ejército del Dragón Divino llega\na un bullicioso puerto elusiano tras\nlibrarse de sus atacantes en el mar.
MCID_M020_PREFIX	Capítulo 20
MCID_M020	Un castillo sin rey
MCID_M020_PLACE	Castillo de Elusia
MCID_M020_OUTLINE	Después de recuperar dos anillos\nde Marni y Mauvier, el grupo al fin\nconsigue llegar al castillo de Elusia.
MCID_M021_PREFIX	Capítulo 21
MCID_M021	El retorno
MCID_M021_PLACE	Castillo de Lythos
MCID_M021_OUTLINE	Griss revela al grupo la terrible\nverdad y parten en busca del\nDragón Caído al castillo de Lythos.
MCID_M022_PREFIX	Capítulo 22
MCID_M022	El Caído y el Divino
MCID_M022_PLACE	Castillo de Lythos
MCID_M023_PREFIX	Capítulo 23
MCID_M023	Los Cuatro Mastines
MCID_M023_PLACE	Campos de lava
MCID_M023_OUTLINE	Con el fin de romper la barrera del\ncielo de Elyos, el grupo va a buscar\nuna lasca del Dragón Caído.
MCID_M024_PREFIX	Capítulo 24
MCID_M024	Recuerdos
MCID_M024_PLACE	Región montañosa
MCID_M024_OUTLINE	Armados con un potente artefacto\nde Zephia, el grupo se dirige a un\nlago en busca de la lasca hundida.
MCID_M025_PREFIX	Capítulo 25
MCID_M025	La guardiana final
MCID_M025_PLACE	Templo de Gradlon
MCID_M025_OUTLINE	Tras ver al yo pasado del Dragón\nDivino, solo falta la última lasca,\npero una oscura sorpresa aguarda.
MCID_M026_PREFIX	Capítulo 26
MCID_M026	La última fusión
MCID_M026_PLACE	Portal a otros mundos
MCID_S001_PREFIX	Anexo
MCID_S001	Un joven precoz
MCID_S001_PLACE	Aldea teícola
MCID_S001_OUTLINE	¿Podrá el ejército del Dragón\nDivino salvar a los aldeanos\ndel ataque de las aberraciones?
MCID_S002_PREFIX	Anexo
MCID_S002	La mercadera misteriosa
MCID_S002_PLACE	Guarida de los bandidos
MCID_S002_OUTLINE	En un bastión de bandidos,\nuna ladronzuela busca un tesoro.
MCID_S003_PREFIX	Anexo
MCID_S003	La Venerable
MCID_S003_PLACE	El coliseo divino
MCID_S003_OUTLINE	Lugar de gran significado para el\nEmblema Lucina donde el Dragón\nDivino se enfrentará a un desafío.
MCID_S004_PREFIX	Anexo
MCID_S004	La Noble de Sacae
MCID_S004_PLACE	Llanura del viento raudo
MCID_S004_OUTLINE	Lugar de gran significado para el\nEmblema Lyn donde el Dragón\nDivino se enfrentará a un desafío.
MCID_S005_PREFIX	Anexo
MCID_S005	El Héroe Resplandeciente
MCID_S005_PLACE	Fuerte de la esperanza
MCID_S005_OUTLINE	Lugar de gran significado para el\nEmblema Ike donde el Dragón\nDivino se enfrentará a un desafío.
MCID_S006_PREFIX	Anexo
MCID_S006	El Instructor
MCID_S006_PLACE	Sagrado Sepulcro
MCID_S006_OUTLINE	Lugar de gran significado para el\nEmblema Byleth donde el Dragón\nDivino se enfrentará a un desafío.
MCID_S007_PREFIX	Anexo
MCID_S007	El Quid del Destino
MCID_S007_PLACE	La encrucijada
MCID_S007_OUTLINE	Lugar de gran significado para el\nEmblema Corrin donde el Dragón\nDivino se enfrentará a un desafío.
MCID_S008_PREFIX	Anexo
MCID_S008	La melliza azur
MCID_S008_PLACE	Ruinas oscuras
MCID_S008_OUTLINE	Lugar de gran significado para el\nEmblema Eirika donde el Dragón\nDivino se enfrentará a un desafío.
MCID_S009_PREFIX	Anexo
MCID_S009	El Caballero Sagrado
MCID_S009_PLACE	Río del claroscuro
MCID_S009_OUTLINE	Lugar de gran significado para el\nEmblema Sigurd donde el Dragón\nDivino se enfrentará a un desafío.
MCID_S010_PREFIX	Anexo
MCID_S010	El Lord Sabio
MCID_S010_PLACE	Puentes conectados
MCID_S010_OUTLINE	Lugar de gran significado para el\nEmblema Leif donde el Dragón\nDivino se enfrentará a un desafío.
MCID_S011_PREFIX	Anexo
MCID_S011	La Dama del Alba
MCID_S011_PLACE	La fortaleza gélida
MCID_S011_OUTLINE	Lugar de gran significado para el\nEmblema Micaiah donde el Dragón\nDivino se enfrentará a un desafío.
MCID_S012_PREFIX	Anexo
MCID_S012	El Joven León
MCID_S012_PLACE	Tierra de los sellos
MCID_S012_OUTLINE	Lugar de gran significado para el\nEmblema Roy donde el Dragón\nDivino se enfrentará a un desafío.
MCID_S013_PREFIX	Anexo
MCID_S013	La Princesa Amable
MCID_S013_PLACE	Santuario olvidado
MCID_S013_OUTLINE	Lugar de gran significado para el\nEmblema Celica donde el Dragón\nDivino se enfrentará a un desafío.
MCID_S014_PREFIX	Anexo
MCID_S014	El Rey Heroico
MCID_S014_PLACE	Castillo en ruinas
MCID_S014_OUTLINE	Lugar de gran significado para el\nEmblema Marth donde el Dragón\nDivino se enfrentará a un desafío.
MCID_S015_PREFIX	Anexo
MCID_S015	El vínculo
MCID_S015_PLACE	Jardín de los recuerdos
MCID_S015_OUTLINE	Un misterioso anillo aguarda\nen un lugar que recuerda\nlos jardines del castillo de Lythos.
MID_ENCOUNT	Escaramuza
MID_ENCOUNT_TRAINING	Entrenamiento
MID_RULE_Title	Victoria:
MID_RULE_Title_LOSE	Derrota:
MID_RULE_ANNIHILATE	Vence a todos los enemigos.
MID_RULE_DESTROY_BOSS	Vence al comandante enemigo.
MID_RULE_DESTROY_BOSS_TURN	El comandante enemigo cae en \x0E\x01\x00\x00 turnos.
MID_RULE_SURVIVE_TURN	Sobrevive durante \x0E\x01\x00\x00 turnos.
MID_RULE_COMMON_LOSE	\x0E\x06\x03\x00 cae.
MID_RULE_WANNIHILATION_LOSE	Todos los aliados caen.
MID_RULE_M000_WIN	Vence al enemigo.
MID_RULE_M001_WIN	Vence a todos los enemigos.
MID_RULE_M002_WIN	Derrota a Lumera.
MID_RULE_M003_WIN	Vence a todos los enemigos.
MID_RULE_M004_WIN	Derrota a Rodine.
MID_RULE_M005_WIN	Derrota a Nelucce.
MID_RULE_M006_WIN	Derrota a Teronda.
MID_RULE_M006_LOSE	\x0E\x06\x03\x00 o Yunaka caen.
MID_RULE_M007_WIN	Derrota a Hortensia.
MID_RULE_M008_WIN	Derrota a Ivy.
MID_RULE_M008_LOSE	\x0E\x06\x03\x00 cae o toman tu posición.
MID_RULE_M009_WIN	Derrota a Ivy.
MID_RULE_M010_WIN	Hyacinth y la aberración de Morion caen.
MID_RULE_M011_WIN	\x0E\x06\x03\x00 escapa.
MID_RULE_M012_WIN	Vence a todos los enemigos.
MID_RULE_M013_WIN	Derrota a Tetchie y Totchie.
MID_RULE_M014_WIN	Hortensia, Zephia, Marni y Mauvier caen.
MID_RULE_M015_WIN	Seadall escapa.
MID_RULE_M015_LOSE	\x0E\x06\x03\x00 o Seadall caen.
MID_RULE_M016_WIN	Derrota a Marni y Mauvier.
MID_RULE_M017_WIN	Los seis comandantes enemigos caen.
MID_RULE_M018_WIN	Derrota a Abyme.
MID_RULE_M019_WIN	Derrota a Marni y Mauvier.
MID_RULE_M020_WIN	Derrota a Griss.
MID_RULE_M021_WIN	Derrota a Veyle.
MID_RULE_M022_WIN	Recupera todos los anillos Emblema.
MID_RULE_M023_WIN	Derrota a Zephia y Griss.
MID_RULE_M024_WIN	Derrota a \x0E\x06\x03\x00 del pasado.
MID_RULE_M024_LOSE	\x0E\x06\x03\x00 cae o pasan \x0E\x01\x00\x00 turnos.
MID_RULE_M025_WIN	Derrota a la aberración de Lumera.
MID_RULE_M026_WIN	Derrota a Sombron.
MID_RULE_S001_WIN	Vence a todos los enemigos.
MID_RULE_S002_WIN	Derrota a Mitan.
MID_RULE_S003_WIN	Derrota al Emblema Lucina.
MID_RULE_S004_WIN	Derrota al Emblema Lyn.
MID_RULE_S005_WIN	Derrota al Emblema Ike.
MID_RULE_S006_WIN	Derrota al Emblema Byleth.
MID_RULE_S007_WIN	Derrota al Emblema Corrin.
MID_RULE_S008_WIN	Derrota al Emblema Eirika.
MID_RULE_S009_WIN	Derrota al Emblema Sigurd.
MID_RULE_S010_WIN	Derrota al Emblema Leif.
MID_RULE_S011_WIN	Derrota al Emblema Micaiah.
MID_RULE_S011_LOSE	\x0E\x06\x03\x00 cae o toman tu posición.
MID_RULE_S012_WIN	Derrota al Emblema Roy.
MID_RULE_S013_WIN	Derrota al Emblema Celica.
MID_RULE_S014_WIN	Derrota al Emblema Marth.
MID_RULE_S015_WIN	Recupera el anillo.
MID_RULE_S015_LOSE	\x0E\x06\x03\x00 cae o el enemigo escapa.
MID_RULE_TURN_LOSE	\x0E\x06\x03\x00 cae o pasan \x0E\x01\x00\x00 turnos.
MID_RULE_VERSUS_LOSE	Todos los aliados caen o pasan \x0E\x01\x00\x00 turnos.
MTID_Nothing	Nada
MTID_Engage	Energía de Emblema
MTID_SoulOfDead	Espíritu
MTID_GuardFence	Valla
MTID_BreakableWall	Muro débil
MTID_Cargo	Trastos
MTID_Crystal	Cristal
MTID_Pedestal	Pedestal
MTID_Rock	Piedra
MTID_RockLarge	Roca
MTID_Sandbag	Barricada
MTID_Chair	Banco
MTID_Paling	Estacada
MTID_Barrier	Baluarte
MTID_ObstacleLow	Obstáculo
MTID_Altar	Altar
MTID_Rubble	Escombro
MTID_Pier	Muelle
MTID_Ground	Terreno
MTID_Forest	Bosque
MTID_Grove	Arboleda
MTID_Desert	Arena
MTID_Quicksand	Arenas movedizas
MTID_Shallow	Orilla
MTID_River	Río
MTID_Waterway	Canal
MTID_Mountain	Montaña
MTID_Sky	Aire
MTID_Bridge	Puente
MTID_BridgeBroken	Puente roto
MTID_BridgeRise	Puente subido
MTID_Ruin	Ruinas
MTID_Windmill	Molino
MTID_PrivateHouse	Casa
MTID_House	Edificio
MTID_StoneStatue	Estatua
MTID_Building	Construcción
MTID_Hull	Borda
MTID_Sarcophagus	Ataúd
MTID_Object	Obstáculo
MTID_Bush	Matorral
MTID_Sea	Agua
MTID_Tile	Suelo
MTID_Lava	Lava
MTID_Wall	Muro
MTID_Stairs	Escaleras
MTID_SummonCircle	Sello
MTID_WallLow	Parapeto
MTID_Door	Puerta
MTID_Chest	Cofre
MTID_Chest_Empty	Cofre vacío
MTID_Roof	Terraza
MTID_TileCollapsed	Suelo roto
MTID_TileRecovery	Suelo sanador
MTID_TileDefense	Protección
MTID_Fort	Fuerte
MTID_Pillar	Columnas
MTID_PillarLarge	Pilar
MTID_Cliff	Barranco
MTID_Bonfire	Almenara
MTID_Candlestick	Candelabro
MTID_Beach	Costa
MTID_Shrubbery	Seto
MTID_Deck	Cubierta
MTID_Mast	Mástil
MTID_EvilDragonVein	Lasca del Dragón Caído
MTID_BowCannon	Balista
MTID_MagicCannon	Artillería mágica
MTID_FireCannon	Cañón
MTID_Ring_Siglud	Anillo del Caballero Sagrado
MTID_Ring_Celica	Anillo de la Princesa Amable
MTID_Ring_Micaiah	Anillo de la Dama del Alba
MTID_Ring_Roy	Anillo del Joven León
MTID_Ring_Leaf	Anillo del Lord Sabio
MTID_Ring_Lucina	Anillo de la Venerable
MTID_Ring_Lin	Anillo de la Noble de Sacae
MTID_Ring_Ike	Anillo del Héroe Resplandeciente
MTID_Ring_Byleth	Anillo del Instructor
MTID_Ring_Kamui	Anillo del Quid del Destino
MTID_Ring_Eirik	Anillo de los Mellizos Azures
MTID_NoEntry	Sin datos
MTID_HelpSpot	Entrada
MTID_Sandbox	Arena
MTID_GoldMountain	Montón de oro
MTID_Spring	Fuente
MTID_IceFloor	Hielo
MTID_Snowman	Muñeco de nieve
MTID_Hay	Heno
MTID_Cactus	Cactus
MTID_RoseArch	Arcos
MTID_Remains	Ruinas
MTID_Cart	Carreta
MTID_Well	Pozo
MTID_Loading	Cajas
MTID_Fence	Barricada
MTID_AnimalStatue	Estatua de alpaca
MTID_SoraStatue	Estatua espiritual
MTID_EarthPillar	Pilares de piedra
MTID_Fog	Niebla
MTID_Fire	Fuego
MTID_Miasma	Miasma
MTID_Aroma	Luz
MTID_Block	Hielo
MTID_Water	Charca
MTID_Ivy	Hiedra
MTID_Light	Resplandor
MID_TE_Avoid	Esq
MID_TE_Heal	Curación/turno
MID_TE_Damage	Daño/turno
MID_TE_Def	Def
MID_TE_MDef	Res
MID_TE_PlayerDamage	Def/Res aliados
MID_TE_EnemyDamage	Def/Res enemigos
MID_TE_Break	Antirruptura
MID_TE_FlightOnly	Solo voladores
MID_TE_NoEntry	Inaccesible
MID_TE_Destroy	Destructible
MID_TE_Shine	Ilumina los alrededores.
MID_TE_HelpSpot	Desplegar unidades
MID_TE_Cannon_Attack	Ata
MID_TE_Cannon_Hit	Gol
MID_TE_Cannon_Stock	\x0E\x01\x00\x00/\x0E\x01\x01\x00
MID_TE_Skill_Effect	Habilidad
MID_TE_Move	Mov
