MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nGoldmary, me han dicho\nque eres una gran cocinera.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08パネトネ\n¡Gracias por tu amabilidad!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nVamos a empezar con la clase, Panette.\nHoy vamos a asar un pollo.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パネトネ\nEstupendo. A mi patrona le gustan\nlos mejunjes con aves.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNo sé si te entiendo del todo...\nEn fin, esto es lo que vamos a usar.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パネトネ\nAjá, de acuerdo.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08パネトネ\nEntonces, ahora coloco el ave en el plato\ny se lo sirvo a la patrona, ¿correcto?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Qué? ¡Claro que no! Aún está cruda.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nPrimero, le pondremos un relleno;\nluego, la asaremos en el fuego.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パネトネ\nAaah... Entiendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nHaremos el relleno con estas verduras.\n¿Podrías cortarlas en trocitos pequeños?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パネトネ\n¡Será un placer!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSolo son verduras, Panette...\nNo van a defenderse.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パネトネ\n¡Prepárense para el golpe final!\n¡Iaaah!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nBueno, las has cortado tan bien\nque están totalmente derrotadas.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08パネトネ\n¡Gracias, Goldmary! Estaré encantada\nde seguir cortando si hace falta.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNo, has sido muy... concienzuda.\nComo sigas cortando, acabarán hechas puré.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTampoco deberían tener astillas de la tabla\nde cortar, pero haremos de la vista gorda.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAhora, rellenamos el pollo con las verduras,\nlo ponemos en una brocheta y lo metemos\nal horno.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08パネトネ\n¡Profesora, profesora! Tengo una pregunta.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Sí?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08パネトネ\n¿Ya se puede comer?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nLo acabamos de meter en el horno...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\n¡Muchas gracias por la clase de cocina,\nGoldmary!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08パネトネ\nHe cocinado un pollo asado para la patrona\nsiguiendo tus instrucciones al pie de la letra.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パネトネ\n¡Le encantó! Solo tenía halagos para mi platillo.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMe alegro.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Puede que la enseñanza sea\notro de mis muchos talentos?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEspero que la impecable calidad de mi tutoría\nno te supusiera una distracción.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パネトネ\nAh, no, aunque sí ocurrió una cosa.\nDiría que a la patrona le dolía al comer.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEso es preocupante.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08パネトネ\nSí, había algo duro en el pollo que sonaba\ncuando lo mordía. ¿Un cartílago, quizá?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nO un trozo de la tabla de cortar...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nTienes que aprender a cortar\nla comida con más cuidado.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08パネトネ\n¡Entendido!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nA pesar de eso, creo que la clase de cocina\nfue muy fructífera, ¿no te parece?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08パネトネ\nSí, fue todo un éxito.\n¡Gracias por todo, profesora Goldmary!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パネトネ\nDe hecho, gracias a tu tutela, ya he recibido\nmi primer encargo culinario.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Te han dado trabajo? ¿Como cocinera?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08パネトネ\nA la patrona le pareció interesante\nmi forma de cortar ingredientes.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パネトネ\nCuando acabe la guerra, invitará a algunos\neruditos para que les haga una demostración.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cゴルドマリー\n¿Harás una demostración en el palacio?\n¿Para toda la corte?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パネトネ\n¡Sí! ¿Verdad que es genial? Les diré que fuiste\ntú quien me enseñó todo lo que sé.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEso no... Este...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAunque se trate de la corte de Solm,\nseguro que habrá gente seria...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSerá mejor que te ayude a pulir\ntu técnica de cortar ingredientes.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08パネトネ\n¿Cómo? Creía que tu lección magistral\nya había concluido.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSi mi nombre está en juego, lo haremos bien.\n¿O le digo a la princesa que te has negado?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パネトネ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDeberías estar agradecida por tener\na una profesora como yo para ti sola.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08パネトネ\nSí, señorita Goldmary.\x0E\x04\x00\x00
