MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\n¡Hola! Tú eres Lapis, ¿no?\nTe estaba buscando.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06アンナ\n¿No me crees? ¿Piensas que no puedo\nvender nada porque solo soy una niña?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06アンナ\nHagamos un trato: si no vendo lo que fabriques,\nte daré un millardo de monedas de oro.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06アンナ\n¡No tienes nada que perder!\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06ラピス\nDe acuerdo, deja que piense qué voy a fabricar.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06ラピス\n¿Lady Anna? He creado algo que captura\na la perfección el espíritu de tu aldea.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\n¿De verdad? ¡Qué rápida!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nSí, encontré algunas cosas y las usé\npara crear un muñeco de nieve de peluche.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06アンナ\n¡Oooh! ¡Es adorableee!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nEso no es todo. ¿Ves esa campana\nque está sujetando? Hazla girar.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\n¿Así?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06アンナ\n¡Ay, si hasta suena música!\n¿Cómo lo has hecho?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nEncontré una caja de música que alguien\nhabía tirado y la incorporé al diseño.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nAh, y si miras el muñeco\ndesde distintos ángulos, brilla.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ラピス\nLe he pegado piedrecitas brillantes.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06アンナ\n¡Qué buena idea! Sabía que tenías talento.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06アンナ\nY, como usas trastos que nadie quiere,\nlos costos de producción son muy bajos.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06アンナ\n¡Me encanta! Es adorable y gratis,\nlas dos cosas que más me gustan.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ラピス\nMe alegro de que te guste. Gracias por darme\nla oportunidad de aprovechar mi creatividad.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06アンナ\nSoy yo la que debería darte las gracias a ti.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06アンナ\nTú espera a que te lleguen los beneficios.\n¡Vamos a arrasar!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06ラピス\nLady Anna, ¿has encontrado un comprador\npara el muñeco aquel?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06アンナ\nAh, sí... Pues verás...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\n¿Qué ocurre? ¿Estás llorando?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06アンナ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ラピス\n¿No has podido venderlo?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06アンナ\nNo, lo siento muchísimo.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06アンナ\nLo llevaba encima mientras buscaba comprador.\nSe me cayó y se rompió...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ラピス\nAh, vaya.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06アンナ\nSoy patética, después de todo lo que dije...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\nTe daré el millardo de monedas que te prometí\npara compensarte. Espero que me perdones.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nNo hace falta, lady Anna. No quiero el dinero.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06アンナ\n¿Que no quieres dinero? ¿Qué?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ラピス\nNo lo necesito. Quiero que me des otra\noportunidad de fabricarte algo.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06アンナ\n¿Cómo?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ラピス\n¡La pasé muy bien creando ese muñeco!\nNo quiero que sea nuestra última colaboración.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ラピス\nAdemás, he oído hablar de los festivales\nde Invernia desde que era niña.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ラピス\nUna aldea aislada de Elusia donde todo el año\nhay festivales. Siempre he soñado con visitarla.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06アンナ\nPues sí que es conocido mi hogar...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\n¡Sí! Yo pensaba que eran historias para niños,\n¡pero es real! Jamás lo habría imaginado.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ラピス\nMe sentí tan honrada por fabricar algo\nque recordara a ese fantástico lugar...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ラピス\nVamos, ¿qué dices? ¿Probamos una vez más?\nO las que haga falta.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06アンナ\nMe gusta tu actitud.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06アンナ\nVamos a intentarlo de nuevo,\npero esta vez lo haremos a lo grande.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\n¿Cómo?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06アンナ\nVamos a adquirir material de verdad\nen lugar de usar desechos.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ラピス\nEso me preocupa...\nNo suelo trabajar con materiales nuevos.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06アンナ\nNo creo que sea más difícil, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06ラピス\nMe esforzaré al máximo para crear algo\nque te quiten de las manos.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06アンナ\n¡Bien dicho!\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06アンナ\nCuando arranque el negocio, ¡ganaremos\ntanto dinero que tendremos la vida resuelta!\x0E\x04\x00\x00
