MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06フラン\nLo he dado por imposible.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Y eso? ¿Qué ha pasado?\nPensé que habías empezado a disfrutarlo...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06フラン\nPríncipe Diamant... Dijo que quería\ntraer la paz al mundo, pero...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06フラン\n¿Es eso realmente posible?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nClaro que sí. Jamás mentiría sobre eso.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06フラン\nEntonces, ¿por qué Brodia ataca\ncontinuamente a Elusia?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nBueno...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06フラン\nHe leído sobre la historia de ambos reinos.\nLos ciudadanos de Elusia temen a Brodia...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06フラン\nCuando habla de acabar la guerra, ¿se refiere\na la conquista de Elusia? ¿Eso es la paz?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06フラン\nCuanto más leía el libro de historia,\nmenos entendía el mundo. Era horrible.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06フラン\nPor eso lo he dejado. Me rindo.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nBrodia es un reino belicoso...\nEn su historia hay varias guerras de conquista.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nEs cierto que alguna gente de Elusia\ntiene motivos para odiar a Brodia.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nNo puedo negar ese pasado de mi reino.\nPero tampoco permitiré que sea nuestro futuro.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nNo será fácil, pero es mi firme intención.\nHabrá cambios.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06フラン\n¿Se refiere a su reino?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nSí. Por favor, créeme.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06フラン\nNo sé... La última vez omitió las partes malas\nde la historia de Brodia.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nNo era mi intención ocultártelas.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nAunque... supongo que, inconscientemente,\nme siento culpable por todo aquello.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nEntiendo que tengas recelos.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06フラン\nNo, no es eso. Es que...\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06フラン\nNo sé... Me está afectando...\nLa historia puede ser deprimente...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nQué grata sorpresa verte inmersa\nen ese libro de nuevo, Framme.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cディアマンド\nPensaba que lo habías abandonado.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06フラン\nBueno...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06フラン\nQuisiera pedirle perdón, príncipe Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06フラン\nTiene la intención de parar las guerras\nde su nación por difícil que sea, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06フラン\nLo he pensado durante un tiempo\ny me he dado cuenta de algo importante.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06フラン\nNo debo dejar que la historia me horrorice.\nDe hecho, ¡es un motivo para seguir leyendo!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06フラン\nAhora leo este libro de historia para saber\ncómo se podría acabar con los conflictos.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nFramme... Esa es una gran idea. Gracias.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06フラン\nBueno... Aún no se me ha ocurrido una solución.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nNo pasa nada. Incluso si no se te ocurre nada,\nlo importante es que has decidido hacer algo.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06フラン\nSí. No se puede cambiar el pasado,\npero sí el presente para traer un futuro mejor.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nYo deseo dejar una impronta de esperanza\nen los libros de historia.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06フラン\n¿Es una promesa?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nSí. Lo prometo, Framme.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06フラン\nBien. Entonces, seguiré estudiando\npara ayudarlo en todo lo que pueda.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nEn tal caso, yo te ayudaré con tus estudios.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06フラン\n¡¿Que usted me ayudará a estudiar?!\nDe ninguna manera.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06フラン\nEs el príncipe heredero. Está demasiado\nocupado como para dedicarme su tiempo.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nNo te preocupes. Aunque no te lo parezca,\nyo fui un estudiante bastante aplicado.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06フラン\nConociéndolo, "bastante aplicado" seguramente\nsignifique "absolutamente modélico".\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nDejémoslo en "buen estudiante". Estoy seguro\nde que a Vander le parecerá bien que te ayude.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Nos ponemos manos a la obra\npara encontrar el modo de lograr la paz?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06フラン\n¡Me ha convencido! ¡Gracias, Diamant!\nVoy a estudiar en pos de un futuro mejor.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06フラン\nSeré una sierva sabia... ¡y les contaré a todos\nque el rey de Brodia fue mi compi de estudios!\x0E\x04\x00\x00
