MID_SYS_Difficulty_Normal	Normal
MID_KEYHELP_REWIND_TURN	Turno +/-
MID_KEYHELP_REWIND_ACTION	Seleccionar
MID_WEAPON_NAME_REFINE	\x0E\x01\x00\x00+\x0E\x01\x01\x00
MID_WEAPON_NAME_ENGRAVE	\x0E\x01\x00\x00\x0E\x01\x01\x00
MID_WEAPON_NAME_ENGRAVE_REFINE	\x0E\x01\x00\x00+\x0E\x01\x01\x00\x0E\x01\x02\x00
MID_RING_RANK_S	S
MID_RING_RANK_A	A
MID_RING_RANK_B	B
MID_RING_RANK_C	C
MID_LOCALIZE_COLON	:
MID_LOCALIZE_HYPHEN	 
MID_LOCALIZE_CN_THIRD_M	他
MID_LOCALIZE_CN_THIRD_F	她
MID_LOCALIZE_TW_THIRD_M	他
MID_LOCALIZE_TW_THIRD_F	她
MID_LANGUAGE_JP_JAPANESE	Japonés
MID_LANGUAGE_US_ENGLISH	Inglés (Norteamérica)
MID_LANGUAGE_US_FRENCH	Francés (Canadá)
MID_LANGUAGE_US_SPANISH	Español (Latinoamérica)
MID_LANGUAGE_EU_ENGLISH	Inglés (Europa)
MID_LANGUAGE_EU_FRENCH	Francés (Europa)
MID_LANGUAGE_EU_SPANISH	Español (Europa)
MID_LANGUAGE_EU_GERMAN	Alemán
MID_LANGUAGE_EU_ITALIAN	Italiano
MID_LANGUAGE_CN_TRADITIONAL	Chino tradicional
MID_LANGUAGE_CN_SIMPLIFIED	Chino simplificado
MID_LANGUAGE_KR_KOREAN	Coreano
MID_LANGUAGE_VOICE_JAPANESE	Japonés
MID_LANGUAGE_VOICE_ENGLISH	Inglés
MID_MSG_GET_ITEM_FEH	¡Has recibido un regalo especial!
