MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nDisculpe, Divinidad. Quería agradecerle\nsu ayuda en la batalla del otro día.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nEl valor que se mide con el corazón...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nシトリニカ\nCreo que ahora lo entiendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nシトリニカ\nLa próxima vez, le ofreceré\nalgo que le gustará de verdad.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nシトリニカ\n¡Tenga paciencia, Divinidad! ¡Volveré!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nHola otra vez, Divinidad.\nLe he traído este regalo...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\n¡Citrinne! ¡Qué ramo tan bonito!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nシトリニカ\nHe pensado en usted mientras recogía\nlas flores. Espero que baste...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\n¿Has recogido todas estas flores para mí?\nEs un gesto muy bello.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nシトリニカ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\n¿Citrinne? ¿Estás bien?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nシトリニカ\nUna vez tuve una amiga a la que le encantaban\nlos regalos y no hacía más que pedir cosas...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nSe alegraba tanto cada vez... Los regalos\nacabaron siendo la base de nuestra amistad.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nシトリニカ\nUn día la sorprendí con un ramo como este,\npero me pidió un vestido en vez de aquello...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nシトリニカ\nCuando le pregunté si no le gustaban\nlas flores, se enojó y dijo que era una tacaña.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nEs terrible. ¿Por eso me ofrecías\naquellos regalos tan caros?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nシトリニカ\nSí. Así es.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nSi alguien te echa a un lado por no hacerle\nregalos, no es una amistad verdadera.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08リュール\nEste ramo es un regalo maravilloso, Citrinne.\nMe hace muy feliz. Gracias.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nシトリニカ\nMe alegra oír eso. Por fin he encontrado\nel modo de expresarle mi gratitud...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nYo también me siento tremendamente feliz.\nMuchas gracias, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0A\x08リュール\nMira, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0C\nシトリニカ\n¿Una flor seca? Me resulta familiar...\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nEs del ramo que me regalaste. Sequé las flores\nminuciosamente para usarlas como decoración.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0C\nシトリニカ\n¡Cielos! ¡Es verdad! Me alegra mucho\nver que las ha conservado con cariño.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nCada vez que las miro, me recuerdan\nlo amable que eres, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0C\nシトリニカ\nQué bonito. Gracias por contármelo.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nNo solo quería mostrarte la flor.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nEsta vez quiero darte un obsequio yo a ti.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nシトリニカ\n¿Sí? ¿Y de qué se trata?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nDe esto: el Anillo del Pacto.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0C\nシトリニカ\n¡¿Cómo?!\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0C\nシトリニカ\n¡Pero si es una joya histórica!\n¡Debe de valer más que todo mi patrimonio!\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0C\nシトリニカ\n¿Por qué quiere entregármelo a mí?\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nOlvida su valor material; considéralo\nun símbolo de nuestra amistad.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nQuiero que seas mi confidente, Citrinne.\n¿Estás dispuesta a permanecer a mi lado?\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nシトリニカ\nAy, cielos...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0C\nシトリニカ\nPor supuesto que sí, Divinidad.\nAcepto el obsequio con gusto.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nMe alegro mucho.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0C\nシトリニカ\n¿Sabe una cosa? Me encanta dar regalos,\npero no suelo recibir muchos.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0C\nシトリニカ\nTenía razón sobre el valor sentimental:\nel mejor regalo es el que se hace de corazón.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nNo puedo estar más de acuerdo.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0C\nシトリニカ\nGracias, Dragón Divino \x0E\x06\x03\x00.\nSoy la persona más afortunada del mundo.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0C\nシトリニカ\nCuando acabe la guerra, tenemos que asistir\na un baile formal. Aunque todavía falta para eso.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\n¿Y para qué vamos a esperar?\nPodemos bailar \x0E\x0A\x00\x1C\x0Cjuntos\x0Cjuntas aquí y ahora.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nTómatelo como una velada casi de primera\ny exclusiva para \x0E\x0A\x00\x10\x06los\x06las dos.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0C\nシトリニカ\nSerá un verdadero placer.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0C\nシトリニカ\nQué gran intercambio de regalos: nos ofrecemos\napoyo mutuo. Eso sí que no tiene precio.\x0E\x04\x00\x00
