MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x0C\nシトリニカ\n¡Merrin! Quería que supieras lo mucho que\nme entusiasma luchar a tu lado. ¡Eres fabulosa!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nシトリニカ\n¿Te gustaría que fuéramos a visitarlo cuando\nacabe la guerra? Reservaría un día para las dos.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nシトリニカ\n¡Hasta puede que descubramos una nueva\nespecie! Debería acompañarnos un erudito...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06メリン\nEspera un momento.\n¿Eso no sería muy caro?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\n¡No te preocupes! El bosque está en las tierras\nde un familiar que lo protege.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06メリン\nCitrinne, ¿estás emparentada\ncon la familia real?\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nシトリニカ\n¡Sí! Así que tranquila; podrás disfrutar\nde la fauna de ese bosque en privado.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nシトリニカ\nQuiero que saques a relucir tu lado encantador\ny expreses libremente tu amor por los animales.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06メリン\nNo sé qué decir.\nEso significa mucho para mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06メリン\n¡Tengo muchas ganas de ir!\nBuscaré el modo de devolverte el favor.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nシトリニカ\nSolo pido que me ayudes a ver animales\ndurante la visita. ¡Serás mi experta personal!\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06メリン\nMe gusta cómo suena eso.\n¡Te ayudaré con mucho gusto!\x0E\x04\x00\x00
