MID_WU_C_1_IN_#001	Duerme con tanta paz...\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	Un aroma impactante, ¿no?\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	Esta carne asada es un manjar insólito.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	No, no le voy a decir de qué es. ¡Ja, ja!\nPruébela primero.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	Mmm, huele genial.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	Llevo años queriendo probar la serpiente asada.\nJamás pensé que lo conseguiría.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	Podría darle un bocadito...\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	No, debería esperar al Dragón Divino...\nAy, no sé si seré capaz...\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Ah, este... ¡Divinidad! ¡Buenos días!\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	Discúlpeme.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	Buenos días, Divinidad.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	No, no estaba comiendo nada.\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	Si su historia fuera un cuento de hadas...\x0E\x04\x00\x00
MID_WU_A_2_IN_#002	empezaría en esta habitación.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	En el libro que contara su historia habría\nuna imagen de usted durmiendo.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	Y la persona que vendría a despertarl\x0E\x0A\x00\x08\x02o\x02a\ncada mañana...\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	No sería yo, seguramente.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	Algún día se contarán historias de esta guerra.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	Cuando ese día llegue...\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	será una leyenda, Divinidad.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	Ese es un futuro que espero con anhelo.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	Buenos días. Le prometo que no l\x0E\x0A\x00\x08\x02o\x02a estaba\nobservando.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	Pensaba en un futuro en el que todos conozcan\nsu historia.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	Hagamos que sea uno increíble.\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	¿Está list\x0E\x0A\x00\x08\x02o\x02a para una nueva página\nen nuestra historia?\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	¡Ya se ha levantado!\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	Me alegra ver que tiene tantas ganas como yo\nde empezar el día.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	Pero no tenga prisa.\n¿Por qué no conversamos un poco?\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	Aún duerme tranquilamente.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	Si fuera un cuento de hadas, tendría que romper\nun hechizo para despertarl\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	Aunque me alegro de que no sea así,\npues no sabría ni por dónde empezar.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	Pero, aunque nuestras vidas\nno formen parte de un libro,\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	me alegra vivir la mía a su lado.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	Y, como en las mejores historias, creo\nque viviremos felices para siempre.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Buenos días. ¿Por qué no pasamos un rato\njunt\x0E\x0A\x00\x08\x02o\x02as antes de partir?\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	Podemos olvidarnos de toda esta guerra...\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	y relajarnos y ser felices por un instante.\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	Su rostro dormido es cautivador.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	¿Que l\x0E\x0A\x00\x08\x02o\x02a despierte se ha convertido en algo\ncorriente en su vida?\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	No importa cuán ordinarios sean los días...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	para mí, cada momento a su lado\nes extraordinario.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	Cuando me convertí en caballera...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	no creí que mi vida pudiera volverse\nmás emocionante.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	Pero nuestros caminos se cruzaron y\nme encontré envuelta en esta increíble historia.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Una historia de la que formaré parte cuando\nse cuente a generaciones futuras.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	Es por eso que estaré con usted hasta el final.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	Para que, aunque desaparezca, siempre pueda\nverme en algún libro.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	Mantengamos estas escenas fuera de los libros.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	Quiero que estos momentos de calma...\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	queden solo entre nosotr\x0E\x0A\x00\x08\x02o\x02as.\x0E\x04\x00\x00
