MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nHermana.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04エル\nHas tenido que esperar mucho tiempo.\nLo siento.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nラファール\nEso no importa. Aquel ataque, en cambio,\niba dirigido contra mí, y tú te interpusiste.\x0E\x04\x02\x00
MID_RELIANCE_A_#004	Te dije que te protegería a cualquier precio.\n¡¿Tan poco valor le otorgas a mis palabras?!\x0E\x04\x02\x00
MID_RELIANCE_A_#005	Si quieres pisotearme el corazón, ¡hazlo!\n¡Pero no hace falta que sacrifiques tu vida!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x06\x04エル\nJa, ja. Parece que hemos intercambiado\nlos papeles.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nラファール\n¡Nel!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04エル\nTu enojo es comprensible, pero haz el favor\nde escucharme.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	El milenio que dedicaste a cuidar de mí...\npara mí transcurrió en un instante.\x0E\x04\x02\x00
MID_RELIANCE_A_#010	En nuestro mundo, no éramos mellizos\nde verdad.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Se podría decir que fue precisamente ese\nel motivo de que acabáramos enfrentados.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nラファール\n¿Adónde quieres ir a parar?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04エル\nPero, en este mundo, todo es distinto.\nCompartimos una piedra dragón.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	¿Acaso no lo ves? Ahora somos dos mitades\nexactamente iguales de un todo.\x0E\x04\x02\x00
MID_RELIANCE_A_#015	Y, por consiguiente, el deber de protegernos\nno puede ser unilateral.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nラファール\nAy...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04エル\nSi deseas defenderme, pero rehúsas a que\nyo haga lo propio por ti, jamás seremos iguales.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Pero, si formamos un todo entre ambos,\nentonces yo también he de protegerte a ti.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Haré mío tu dolor... al igual que tus alegrías,\ntemores e infortunios.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	Así que no oses repetir que lo que te suceda\na ti es irrelevante.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nラファール\n(...)\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Tienes toda la razón. Perdona mi arrogancia.\x0E\x04\x02\x00
MID_RELIANCE_A_#023	Permití que mi miedo a perderte presidiera\nla relación que nos une, y eso es inaceptable.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Como bien dices, somos iguales y juntos\nconstituimos un todo. Perdona mi insolencia.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04エル\nNo hay nada que perdonar. El amor alimentaba\ntus palabras y tus actos.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nラファール\n¿Cómo evoluciona tu herida?\nSé franca conmigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x06\x04エル\nProbablemente me acompañe el resto\nde mis días. ¿Y la tuya?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nラファール\nIgual: por toda la eternidad.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x06\x04エル\nJa, ja. Mellizos con una cicatriz a juego.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nラファール\nTampoco es como para regocijarse.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x06\x04エル\nAl contrario: esta cicatriz es prueba fehaciente\nde que he escudado a mi hermano.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0C\nラファール\nJa, ja. Eres incorregible.\nNo hay quien pueda contigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x06\x04エル\n¿Me regalas una carcajada y una sonrisa?\nEste día quedará siempre en mi corazón.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0C\nラファール\n¿Una sonrisa? ¿Mía? Jamás.\nSerían imaginaciones tuyas.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x06\x04エル\nA mí no puedes engañarme, Rafal. Ya lo sabes.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0C\nラファール\n¿Y eso por qué?\n¿Porque juntos formamos un todo?\x0E\x04\x00\x00
MID_RELIANCE_A_#037	\x0E\x03\x02\x06\x04エル\nJustamente.\x0E\x04\x00\x00
MID_RELIANCE_A_#038	\x0E\x03\x02\x0C\nラファール\nMis pensamientos son igualmente los tuyos.\nQue sea así siempre, hermanita.\x0E\x04\x00\x00
MID_RELIANCE_A_#039	\x0E\x03\x02\x06\x04エル\nEso espero.\x0E\x04\x00\x00
