MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nAmber, desearía *hablar* contigo.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nNecesito lana de alpaca de la mejor calidad\npara tejer mi obra maestra *definitiva*.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08アンバー\n¡De acuerdo! Si solo la quieres para eso,\nte conseguiré un montón, tú tranquilo.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08アンバー\nAdemás, me interesa ver qué harás con ella.\nSeguro que será de lo más extraño.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nGracias, Amber. Aprecio mucho tu *ayuda*.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08アンバー\n¡Siento la espera, Zelkov!\nAdivina qué acaba de llegar: ¡lana de mi aldea!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nExcelente. Es más *suave* de lo que imaginaba,\nha superado mis expectativas.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アンバー\n¡Por supuesto! La lana de alpaca es cálida,\nligera y resistente. ¡No hay un material mejor!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nLa calidad es inmejorable. Al fin podré crear\nmi obra maestra *definitiva*.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nIncluso los tejedores más expertos\nse rendirán a mi obra *gracias* a ti, Amber.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08アンバー\nMi familia también teje cosas con la lana.\n¿Ves este chaleco? Pues lo hizo mi padre.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nYa veo. Sobre el asunto del *pago*...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アンバー\nNo quiero dinero, considéralo un regalo.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nSiempre hay que pagar los servicios prestados.\nDe lo contrario, contraería una *deuda* contigo.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08アンバー\nNo hace falta. Cuando les escribí a mis padres,\nla enviaron con mucho gusto.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アンバー\nDije que querías usar nuestra famosa lana\npara tejer y han contestado que te la regalan.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アンバー\nNo rechazarías un acto de amabilidad\nde una humilde familia de granjeros, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nSi es por no ofender a los productores,\nentonces aceptaré a *regañadientes*.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nDeja que al menos les mande una muestra\nde gratitud: un chaleco de factura *impecable*.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08ゼルコバ\n*Solo* puedo expresar mi aprecio\ncon una creación que supere su habilidad.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08アンバー\n¡Oh! Seguro que a mi familia le encantará\nrecibir un chaleco hecho por ti, Zelkov.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nEstá decidido. No descansaré hasta *asombrar*\na toda tu familia con mi obra.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アンバー\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nHe *completado* mi obra, Amber.\nEsto es lo que mandaré a tu familia.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08アンバー\n¡Vaya, Zelkov, es increíble!\nLos puntos, la técnica...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アンバー\n¡Jamás he visto un chaleco tan perfecto!\nEs incluso mejor que el de mi padre.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nYa he *expresado* mi gratitud. Adiós.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アンバー\n¡Eh, Zelkov! ¡Espera!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Mmm? ¿Se te ofrece algo *más*?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アンバー\nLo decía en serio. Has superado a generaciones\nde tejedores con una sola pieza.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08アンバー\nSé que le has puesto mucho empeño,\npero hay algo más... ¿Cómo lo has hecho?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nLas aficiones me dan una razón\npara seguir viviendo. Son mi plan *alternativo*.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アンバー\n¿Como un plan B?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nLo que más me aterra en esta vida es no tener\nun propósito. *Carecer* de motivación.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nMi meta actual es *proteger* a mi señora Ivy,\npero eso acabará cuando alcancemos la paz.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nPor eso necesito un plan *alternativo*...\nOtra cosa que le dé sentido a la vida.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アンバー\nQué profundo... Yo no suelo pensar tanto,\nsolo intento divertirme todos los días.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nEn ese aspecto, Amber, te *envidio*.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アンバー\nMira, Zelkov. Si al final pierdes tu propósito\ncuando termine la guerra...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08アンバー\n¿Por qué no vienes a vivir a mi aldea?\nEn la granja de alpacas.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Y con qué *propósito* exactamente?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08アンバー\n¡Para tejer! Con tu destreza, la gente\nharía cola para comprar tus productos.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08アンバー\nPodrías hacer ropa y decoraciones con la lana\ne incluso acariciar a las alpacas todo el día.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nLo cierto es que es una sugerencia\nbastante *atractiva*...\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08アンバー\nPodrías visitarnos primero para hacerte\nuna idea antes de tomar una decisión.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08アンバー\n¡Toda mi familia, incluido yo, te recibiría\nde brazos abiertos!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ゼルコバ\nDe acuerdo. Me comprometo a hacerles\nuna *visita*.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ゼルコバ\nSea lo que sea que nos depare el futuro,\nal menos tendremos eso a lo que aferrarnos.\x0E\x04\x00\x00
