MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nMmm... ¡Ah!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	¡Oye, espera! ¡Yo también quiero correr!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nラファール\n¿Qué mosca le ha picado a este tipo?\x0E\x04\x02\x00
MID_RELIANCE_C_#021	¡¿Se puede saber qué haces?!\n¡Deja de seguirme!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nUf, uf, uf... Eres un corredor nato.\nLo llevas en la sangre.\x0E\x04\x02\x00
MID_RELIANCE_B_#002	He mejorado mi fondo desde la última vez,\ny aun así no logro seguir tu ritmo.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nラファール\nSoy un dragón; ningún humano es rival para mí.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	Te supero sin despeinarme. Tus esfuerzos son\nfútiles. Si estuvieras en tus cabales, desistirías.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nLo siento, Rafal, pero no estoy de acuerdo.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Mis entrenamientos no son en balde.\nBasta con ver mi cuerpo para darse cuenta.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nラファール\n¿A qué te refieres?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nDe niño era delicado y debilucho.\nTodos me auguraban una muerte precoz.\x0E\x04\x02\x00
MID_RELIANCE_B_#009	Pero, cuando mi padre enfermó y falleció,\njuré luchar por mi salud con todas mis fuerzas.\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Entrené a conciencia para fortalecer mi cuerpo\ny así proteger a mi madre y a mi hermana.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nラファール\n¿Para proteger a tu hermana, dices?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nDesde aquel día, entreno sin descanso,\ny el resultado salta a la vista.\x0E\x04\x02\x00
MID_RELIANCE_B_#013	Si no estuviera en forma, no podría apoyarlos\nen combate al Dragón Divino y a ti.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nラファール\nEntiendo. Te debo una disculpa por haber\njuzgado tu entrenamiento con tanta dureza.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nVaya... ¿Lo dices en serio?\x0E\x04\x02\x00
MID_RELIANCE_B_#016	¡Sabía que entrarías en razón! ¡Era cuestión\nde tiempo que decidieras ejercitarte conmigo!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nラファール\nNo tan rápido. Yo no he dicho eso.\x0E\x04\x02\x00
MID_RELIANCE_B_#018	Aunque reconozco que estoy harto de correr.\nQuizá debería probar una actividad distinta.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Si eres capaz de recomendarme un ejercicio\nque capte mi interés, quizá termine cediendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nSerá pan comido, Rafal. ¡Yo me encargo!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\n¡Veamos si puedes con esto!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo está mal... ¡pero no es suficiente!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nラファール\n¡Ugh! ¡Ah!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nTu lanza ha alcanzado mi cuello; la mía\nha tocado tu pecho. Dejémoslo en empate.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nラファール\nEso es inaceptable. De haber utilizado tu mano\ndominante, la victoria hubiera sido tuya.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nQuizá, pero yo estoy más habituado que tú\na manejar la lanza. Un empate me parece justo.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nラファール\nBien. Pero, entonces, concédeme otro combate\ntras este descanso. Ahora sé a qué atenerme.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nComo quieras. Por cierto,\n¿puedo preguntarte una cosa?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nラファール\nTe escucho.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nTengo la impresión de que últimamente\ndisfrutas entrenando. ¿A qué se debe?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nラファール\nLa culpa es enteramente tuya.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿Mía? ¿Por qué?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nラファール\nTu pasado me ha hecho rememorar el mío.\nYo también fui débil de niño, siempre atrás.\x0E\x04\x02\x00
MID_RELIANCE_A_#014	Me avergonzaba que otros debieran protegerme,\nasí que dediqué mi vida a la búsqueda de poder.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nSí, es el vivo reflejo de mi vida.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nラファール\nAunque emprendiéramos el mismo camino,\nsus recorridos fueron diametralmente opuestos.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Mi ansia de poder era tal que estaba dispuesto\na pasar por encima de quien fuese.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	La fuerza sin compasión es totalmente inútil.\nMe he dado cuenta de ello, en parte gracias a ti.\x0E\x04\x02\x00
MID_RELIANCE_A_#019	Mi corazón palidece ante el tuyo. Pero entrenar\nquizá me ayude a proteger a mis seres queridos.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nClaro que te ayudará. Estoy convencido de ello.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nラファール\nPermíteme ahora preguntarte algo a ti:\n¿por qué pasas tiempo en mi compañía?\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Firene, tu reino, venera al Dragón Divino.\nUn Dragón Caído debería provocarte desprecio.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nNo me gusta ponerles etiquetas a los demás.\nPrefiero juzgar por mí mismo.\x0E\x04\x02\x00
MID_RELIANCE_A_#024	Cuando te miro, solo veo a una buena persona.\nSi ahora incluso te gusta entrenar y todo...\x0E\x04\x02\x00
MID_RELIANCE_A_#025	Además, estamos cortados por el mismo patrón.\nCasi te considero como un hermano.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nラファール\nUno mucho mayor, he de decir,\npero comprendo lo que quieres decir.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cアルフレッド\nEl mayor sería más bien yo, teniendo en cuenta\nmi dilatada experiencia con los entrenamientos.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nラファール\nTonterías. Nos separa una cantidad de años\ntan enorme que no podrías ni concebirla.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0E\x0Cアルフレッド\n¿Qué tal si resolvemos el asunto con un\ncombate? El ganador será el hermano mayor.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nラファール\nLamentarás haberme lanzado\nese desafío, hermanito.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0E\x0Cアルフレッド\nJa, ja, ja. ¡Vamos, en guardia!\x0E\x04\x00\x00
