MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nEsto está muy hinchado.\nUna picadura de insecto, sin duda.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ボネ\nAunque... confieso que me apena deshacerme\nde ellas después de haberlas cuidado tanto.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ジャン\nNo temas, Bunet. No las desperdiciaré.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nEl otro día me hiciste un gran favor.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ジャン\nTus flores me ayudaron a tratar\na muchos pacientes.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ボネ\nBien. Seguro que a ellas también\nles alegró ser de ayuda.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ジャン\nAcepta esto como muestra de mi gratitud.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ボネ\nMmm... Semillas.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ジャン\nVi el cariño que les tenías a las flores\nque me diste.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ジャン\nPensé que te sentirías triste al ver\nel vacío que han dejado en tu jardín.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ジャン\nQuizá no las puedan sustituir, aunque espero\nque al menos sirvan para ocupar ese vacío.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ボネ\nQué considerado. Me aseguraré de cuidarlas\ncon gran mimo.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ジャン\nEs lo menos que te merecías\npor haberme ayudado.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ジャン\nEn fin, eso es todo. Ya me...\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ボネ\nJean, espera.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ジャン\n¿Sí?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ボネ\n¿Conoces más flores medicinales?\nPodría cultivarlas para ti.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ボネ\nNo me gusta nada arrancar mis queridas flores,\npero, si sirve para ayudar a otros, es diferente.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ボネ\nDeseo ayudar en todo lo que pueda.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ジャン\nEres muy amable, Bunet.\nTu gesto significa mucho para mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ジャン\nY quiero echarte una mano, por supuesto.\nNo voy a dejar que lo hagas tú todo.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ボネ\nFantástico. Estoy seguro de que mis flores\nse alegrarán de recibir tus cuidados.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ジャン\n¡Seguro! Sigue con tu labor y ten cuidado\ncon las picaduras, por favor.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x06\x04ボネ\nNo hace falta que me lo digas. La tentación\nde probar las hierbas apenas me dejó dormir.\x0E\x04\x00\x00
