MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\n¡Jiaaaah!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nInteresante... Acepto el trato.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x04\x03\x04
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nAl final me has vencido...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nSabía que eras fuerte, pero claramente\nte había subestimado...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nザフィーア\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nBien, un trato es un trato.\n¿De qué querías hablar?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nザフィーア\nA ver...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nザフィーア\nCuando era niña, Elusia atacó\ny arrasó mi aldea.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nザフィーア\nYo tuve la suerte de sobrevivir, pero\na mis padres y a mis amigos los asesinaron.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nザフィーア\nNo pude hacer nada, me sentí impotente.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nザフィーア\nEsa sensación me persigue desde entonces.\nMe dan ganas de gritar y llorar.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nYo también he sentido un dolor similar.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nザフィーア\nSi entreno tanto es por culpa de ese dolor.\nSolo me libraré de él si me fortalezco.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nLos nobles como yo declaramos guerras, pero\nlos civiles y los soldados son los que sufren.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nCon entrenamiento, podrás proteger vidas\nbrodianas inocentes. Piensa en el bien mayor.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nザフィーア\nGracias, mi señor. Me siento mejor\ndespués de habérselo contado.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0C\nザフィーア\nVoy a superar esta debilidad\ncueste lo que cueste.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nPríncipe Diamant, ¿requería mi presencia?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nEn tus últimas sesiones de entrenamiento,\nme he percatado de que dudabas.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nザフィーア\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nザフィーア\nSé que necesito fortalecerme, pero empiezo\na tener miedo de mí misma.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nザフィーア\nTemo convertirme en alguien cuya única\nexistencia conlleve herir a los demás.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0E\x0Cディアマンド\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nLas guerras dejan cicatrices perennes\nque afectan a todos los bandos.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\nCuando me siento perdido como tú,\nrecuerdo dos cosas. Una: no puedo huir.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nDos: no lucho para ganar, sino para poner fin\nal conflicto. Como soldados, no nos queda otra.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nザフィーア\nNo sé si yo seré capaz.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nTienes que serlo. Es la única forma de cambiar\nun mundo que solo conoce la guerra.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nザフィーア\nHaré lo que pueda.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nザフィーア\nCon su ayuda, mi señor... quizá halle\nel modo de hacer lo que me pide.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nPor eso entrenamos juntos, para hacernos\nmás fuertes y estrechar nuestros lazos.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nTras esta charla tan bélica,\n¿te gustaría batirnos en otro duelo?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nザフィーア\nNo nos queda otra, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nExacto.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nザフィーア\nDe acuerdo, pero esta vez no se contenga.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Crees que me contuve?\n¡Nunca lo hago!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nザフィーア\nLo que usted diga. En tal caso,\nserá mejor que lo dé todo.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nAhora sí que estoy motivado.\n¡En guardia, soldado!\x0E\x04\x00\x00
