MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\n¡Jade, enfréntate a mí!\n¡Muéstrame tu destreza!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06カゲツ\nNo solemos recibir muchas visitas,\npero nuestra cultura es única y muy rica.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ジェーデ\n¿Qué tiene de diferente?\n¿Se te ocurre algún ejemplo?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06カゲツ\nMis ropajes, para empezar.\nSeguro que te parecen exóticos.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06カゲツ\nNuestros edificios están hechos de madera.\nNo encontrarás mejores carpinteros.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06カゲツ\nTambién creemos en cosas diferentes.\nNo adoramos a Dragones Divinos ni Caídos.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06カゲツ\nTenemos otros dragones, largos y ágiles.\nCreo que nunca los he visto en otros países.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ジェーデ\n¡Qué interesante! Me encantaría ver tu hogar.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06カゲツ\nPuedo mostrarte pinturas en pergaminos,\npero debes aceptar volver a pelear conmigo.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ジェーデ\n¡Si ni siquiera hemos tenido el primer duelo!\nDeja que antes termine con las preguntas.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ジェーデ\n¿Qué puedes contarme de tu familia?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06カゲツ\nAparte de mis padres, tengo un hermano\ny una hermana más jóvenes que yo.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ジェーデ\nAsí que eres el primogénito, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06カゲツ\nSí. Mis padres querían que yo asumiera\nlas obligaciones de nuestra familia.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06カゲツ\nSin embargo... fui incapaz de hacerlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06カゲツ\nNo podía soportar vivir toda una vida\nsin conocer cómo es el mundo.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ジェーデ\n¿Oh?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06カゲツ\nPor esa razón, decidí marcharme.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06カゲツ\nLes dejé una carta explicándoles mis motivos\ny para pedirles que no me buscaran.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06カゲツ\nMe fui y aquí estoy.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ジェーデ\nQué vida tan fascinante, Kagetsu.\nEs como una novela que se escribe sola.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06カゲツ\nTodos tenemos una historia.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06カゲツ\nAhora, ¿me harás el favor de batirte\nen duelo conmigo?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08ジェーデ\nClaro. No tengo más preguntas\ny lo prometido es deuda. Cuando quieras.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\n¡Qué fuerza increíble! ¡Jamás me había\nsentido tan acorralado por un contrincante!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ジェーデ\nTú también te has batido bien.\nNo me creo que hayamos empatado.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06カゲツ\nY, a pesar de ello, me siento satisfecho.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ジェーデ\nHa estado bien, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06カゲツ\nDime, Jade, ¿cómo te has hecho tan fuerte?\n¿Te viene de familia?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ジェーデ\nPara nada. Mi niñez fue muy tranquila\ny placentera, la verdad.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ジェーデ\nMi padre es gemólogo, y mi madre, artesana.\nCrea unas joyas preciosas...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06カゲツ\nAsí que no están versados en la lucha.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ジェーデ\nPues no. Cuando era niña, ayudaba\na mi madre en el taller de joyería.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ジェーデ\nSin embargo, no se me daba nada bien,\nasí que acabé trabajando en la mina local.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06カゲツ\n¡Tremendo cambio!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ジェーデ\n¿Sí? A mí no me lo pareció.\nSiempre he disfrutado con el trabajo físico.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ジェーデ\nA menudo venían bandidos a intentar robar...\nNo paraba ni un momento. Qué tiempos...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06カゲツ\nYa lo entiendo.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08ジェーデ\nProtegí esa mina durante años...\nTodos me llamaban "Muro de Hierro".\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ジェーデ\nUn guardia real oyó hablar de mí y me sugirió\nque participara en el torneo de Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06カゲツ\nY ganaste sin problemas, me imagino.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ジェーデ\nMe alcé con la victoria, conocí al príncipe\nDiamant y me convertí en su vasalla.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ジェーデ\nUy, quería hacerte más preguntas\ny he terminado hablando de mi pasado.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ジェーデ\nEs como dijiste, Kagetsu.\nTodos tenemos una historia...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06カゲツ\nAsí es. Y ahora que nuestras historias\nse han entrelazado, tendremos un futuro común.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ジェーデ\nIgual que cuando pasas las páginas\nde una novela.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06カゲツ\n¡Exacto! ¿Cuándo volveremos a enfrentarnos?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ジェーデ\nDi un lugar y una hora y allí estaré.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ジェーデ\nEn la novela de mi vida, puedo asegurarte\nque valdrá la pena leer sobre nuestros duelos.\x0E\x04\x00\x00
