MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x00\x0C\x06フラン\x021
MID_RELIANCE_B_#025	\x0E\x03\x01\x0C\nミスティラ\n\x0E\x03\x02\x08\x06フラン\nPues sí que tenía prisa...\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06フラン\nHay algo que no me cuadra.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x08\x06フラン\nQuizá no le ha gustado lo que he elegido...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\nNo lo entiendo.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06フラン\n¿Por qué desapareció de repente?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\n¡Hop! Ah...\n¡Hop! Ah...
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06フラン\n¿Princesa Timerra?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nTengo que fortalecerme.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06フラン\nVeo que está entrenando.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nミスティラ\n¡Así es! ¡Debo ponerme fuerte\npara proteger mi país!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nミスティラ\nOh. Eh...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nミスティラ\nSiento mucho haberme esfumado de repente\nel otro día.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06フラン\n¡No pasa nada! Entiendo que está ocupada\ncon sus obligaciones de princesa.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nミスティラ\nMe distraje tanto eligiendo ropa para ti\nque se me pasó la hora del entrenamiento.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06フラン\n¿Fue por eso?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06フラン\nPensé que... No sé... Que no le gustó\nel conjunto que le enseñé.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\n¡No, no! ¡De verdad que era lindísimo!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06フラン\nEntonces... ¿por qué parecía\nque algo no le cuadraba?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nミスティラ\nEh... Bueno. No te tomes esto a mal.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nミスティラ\nEn el Reginato de Solm hace mucho calor.\nNo aguantaría ni 15 minutos con un tejido así.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nミスティラ\nAdemás, necesito ropa que me dé libertad\nde movimiento por si necesito luchar.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06フラン\n¡Oooh! Era por eso.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nミスティラ\nPero ¡era lindísimo, de verdad!\nPerdón por haberme mostrado tan desaborida.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06フラン\n¡No pasa nada! Me siento un poco tonta\npor no haber caído en cuenta.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06フラン\n¿Cree que podría... elegirle otro conjunto?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06フラン\nEsta vez prometo que será algo adecuado\npara el clima cálido de Solm.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nミスティラ\n¡Qué buena idea! ¡Claro!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nミスティラ\n¡Otra vez de compras con mi amiga Framme!\n¡Lo estoy deseando!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nミスティラ\nPero antes debo prepararme para la próxima\nbatalla. No puedo probarme ropa si me muero...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06フラン\n¡Claro! La dejo entrenar.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nミスティラ\nDe hecho, iba a preguntarte si querrías\npracticar conmigo. ¿Qué te parece?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06フラン\n¿Entrenar con la princesa Timerra?\n¡Nada me gustaría más!\x0E\x04\x00\x00
