MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0A\x08リュール\n¡Lapis! Quería darte las gracias\npor tu ayuda en las últimas batallas.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08リュール\nTiene que haber un modo de hacer\nque cambie de opinión.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06ラピス\n¿En serio? ¿De verdad quiere entrenar\nconmigo hoy, Divinidad?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\n¡Sí! He pensado que estaría bien\nentrenar \x0E\x0A\x00\x1C\x0Cjuntos\x0Cjuntas de vez en cuando.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\n¡Qué emoción! Gracias por tomarse la molestia.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\n¿Qué tenías pensado, Lapis?\n¿Cuál es tu rutina de entrenamiento?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nPrimero practico con diferentes armas...\ny después hago pesas.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ラピス\nMe coloco una alforja bien cargada y salgo\na correr. A veces hago escalada con ella.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nCaramba... Parece una buena forma\nde trabajar la resistencia.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nSi va a acompañarme, necesitará\nuna alforja igual. ¡La haré enseguida!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\n¿Vas a fabricármela tú?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ラピス\n¡Sí! Es muy fácil. En la campiña,\ntenía que hacérmelo casi todo yo misma.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\n¿"En la campiña"?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ラピス\n¡Ah!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ラピス\nEeeh... ¡Quería decir "con piñas"!\n¡No sé si meterle piñas para que pese más!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nBien, como prefieras. ¡Admiro que tengas\ntanta maña para hacer cosas así!\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ラピス\nPor favor, no tiene nada de especial.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nLo digo en serio. Tus habilidades podrían\nvenirnos de maravilla en el campo de batalla.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\n¿Te importaría enseñarme a fabricar\nalguna cosa? Me encantaría aprender.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ラピス\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ラピス\nResulta extraño recibir halagos\npor una cosa tan insignificante.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ラピス\nPero, claro... Le enseñaré ahora mismo.\n¡Preste atención!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リュール\nMuy bien...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\n¡Guau! ¡Qué rápido mueves las manos!\n¿Podríamos... repetir los últimos pasos?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06ラピス\nHola, Divinidad. ¡Le he traído una cosa!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\n¿Herramientas de artesanía?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\n¡Sí! Dijo que le interesaba aprender\na fabricar cosas. Así podrá practicar.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nMuchas gracias.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ラピス\nEn realidad, yo debería darle las gracias a usted.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ラピス\nSiempre me he considerado muy poca cosa.\nUsted me ha ayudado a ganar confianza.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ラピス\nSus palabras de ánimo sobre mi habilidad\nhan servido para que me sienta más útil.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\n¡Bien! Eres increíble, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nTe vi hacer esa alforja sin despeinarte.\nTodavía tengo mucho que aprender de ti.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ラピス\nPodría enseñarle a hacer un rastrillo.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\n¿Un rastrillo? ¿Para qué?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ラピス\nPara cultivar tubérculos.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nTubérculos.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ラピス\n¡Sí! Podríamos hacer uno para cada variedad:\npapa, camote, batata brodiana...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\n¿Batata brodiana?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ラピス\nAunque se llame así, crece en todos sitios.\n¡Incluso la he encontrado cerca de aquí!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ラピス\nAl hervirlas se ponen tan dulces... Oh...\nAhora se me han antojado. ¡Manos a la obra!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nEs increíble. Como decía, todavía tengo\nmucho que aprender de ti, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0A\x08リュール\nHola, Lapis. ¿Tienes un momento?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x08\x06ラピス\n¡Claro, Divinidad! ¿Qué se le ofrece?\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nBueno, quería hacerte entrega de esto.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x08\x06ラピス\n¡Guau! ¿Qué es? Vaya joya tan bonita.\nParece bastante cara y lujosa... ¡Uy, espera!\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x08\x06ラピス\nNo será... ¡¿el Anillo del Pacto?!\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nExacto. Dale la vuelta.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x08\x06ラピス\n¿Por qué lleva mi nombre?\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nLo he grabado con las herramientas\nque me regalaste.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x08\x06ラピス\n¿Cómo? ¿Con sus propias manos?\n¡¿Solo con las herramientas que le fabriqué?!\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x08\x06ラピス\nPero, una vez grabado el nombre,\n¡ya no se borra! ¿Por qué lo ha hecho?\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nNo tengo intención de borrarlo. Lo he grabado\ncon la intención de que lo lleves tú.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\n¿Qué me dices, Lapis?\n¿Aceptas el Anillo del Pacto?\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06ラピス\n(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x08\x06ラピス\nEn otro momento, habría salido corriendo\nde la vergüenza...\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x08\x06ラピス\nPero... \x0E\x0A\x00\x0C\x04lo\x04la aprecio mucho, Divinidad,\ny me da igual lo que piense la gente.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08リュール\nEso significa que...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x08\x06ラピス\nPor supuesto que acepto el anillo.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x08\x06ラピス\nCon el esmero que ha puesto en grabarle\nmi nombre... ¿cómo lo iba a rechazar?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nGracias, Lapis. Cuánto me alegro.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x08\x06ラピス\nEste... Tengo algo importante que confesarle,\nDivinidad. Verá, yo...\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nProcedes de una aldea donde se cultivan\ncamotes, ¿no? ¿Del campo de Brodia?\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x08\x06ラピス\n¿Eh? ¿Cómo lo sabe?\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nMe he documentado sobre la batata brodiana.\nSolo la llaman así quienes...\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x08\x06ラピス\nQuienes las cultivan... Ya me había descubierto.\nPues me alegro. Forma parte de lo que soy.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\nSí, y precisamente por lo que eres\nte entrego el Anillo del Pacto, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06ラピス\nGracias, Dragón Divino \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x08\x06ラピス\nVelaré por usted. Como \x0E\x0A\x00D buenos artesanos buenas artesanas\nque somos, ¡forjemos un mundo mejor!\x0E\x04\x00\x00
