MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nTe noto cansada, Nel. Creo que es hora\nde hacer una pausa para comer.\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\n¿Te gusta? Pues mira, creo que a ti te sentaría\nde lujo. Te haría parecer más fuerte incluso.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nグレゴリー\nTu presencia me llena de tranquilidad...\nPero no quisiera confiarme en exceso.\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0A\x08ヘクトル\nBueno, experiencia en batalla me sobra.\nY mejor luchar acompañado que solo.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nグレゴリー\nSi fuera tan duro y osado como tú, no estaría\nbuscando la forma de huir constantemente...\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\nEs inútil compararse con otros. Yo tengo mi\nfuerza y mi armadura, y tú eres el estratega.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nDebemos aunar nuestros talentos para superar\nnuestras debilidades. ¡Es lo más efectivo!\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nAunar nuestros talentos... Tiene sentido, sí.\n¡Pensaré el modo de sacarles el máximo partido!\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\n¿Por qué me miras así, Madeline?\n¿Tengo algo en la cara?\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nNo. Me fijaba en que, a pesar de llevar una\narmadura pesada, te mueves con elegancia.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0A\x08ヘクトル\nEncuentras virtudes en los demás con suma\nfacilidad. Me gustaría aprender eso de ti.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x0C\nマデリーン\n¿El gran Héctor quiere aprender de mí?\nMuy amable, pero... ¡la pupila debería ser yo!\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0E\x08ヘクトル\x022\n\x0E\x03\x02\x0C\nマデリーン\nHéctor, ¿cómo te convertiste en un héroe?\nCuéntame el secreto, por favor.\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x0A\x08ヘクトル\n¿Secreto? No existe ninguno...\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x0A\x08ヘクトル\nLuché por quienes deseaba proteger, pensando:\n"¡No permitiré que me los arrebaten!".\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\nLuchar por aquellos a quienes deseas proteger...\nQuizá ese sea el secreto. ¡Cuánto aprendo de ti!\x0E\x04\x00\x00
