MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nSir Vander, ¿es cierto que usted residía\nen Lythos al servicio de la reina Lumera?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08パンドロ\nUn momento... ¡¿Quiere aprender a bailar?!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nヴァンドレ\nSí.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パンドロ\n¡Pero creía que padecía de la espalda!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nヴァンドレ\nCalla. Intento entender qué diversión\nle ve la juventud a esto.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nヴァンドレ\nPero tanta pirueta me sobrepasa. Me siento\njoven, mas no tengo el cuerpo para estos trotes.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08パンドロ\nLo que ocurre es que no está habituado.\nPracticando, cualquiera puede aprender.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nヴァンドレ\nEn ese caso, será cuestión de perseverar.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08パンドロ\nJe, je.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パンドロ\nTiene una voluntad de hierro.\nLo admiro por ello.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nヴァンドレ\nNo lo dirás con sarcasmo, como tanto\nles gusta a los jóvenes, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パンドロ\n¡Para nada! Pertenecemos a generaciones\ndistintas, pero ambos predicamos la misma fe.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\nCompartir nuestras experiencias solo puede\nredundar en nuestro beneficio mutuo.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08パンドロ\nPor ejemplo, aprecio que contara en la fiesta\naquellas historias que tanta sabiduría encierran.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nヴァンドレ\nPara mí es un placer divulgar\nlo que he aprendido.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nヴァンドレ\nAsí pues, sigamos ilustrándonos mutuamente,\npor el futuro de la iglesia y del mundo.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パンドロ\n¡Que así sea!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nヴァンドレ\n¡Me esforzaré por dominar esta coreografía e iré\na la próxima fiesta a "mover el esqueleto"!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nヴァンドレ\n¡Aaagh! ¡Mi espalda!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パンドロ\n¡Cielos! ¡¿Cómo se ha doblado de esa forma?!\x0E\x04\x00\x00
