MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nHola, Nel. Me gustaría hablar contigo\nun momento, si te parece bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04エル\nNo me siento amenazada, pues no compartimos\nparentesco. Nuestro encuentro ha sido fortuito.\x0E\x04\x02\x00
MID_RELIANCE_B_#022	Somos libres de definir nuestra relación como\nqueramos. Para mí, ser amigas sería lo ideal.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08ヴェイル\nLo comprendo.\nGracias por abrirme tu corazón, Nel.\x0E\x04\x02\x00
MID_RELIANCE_B_#024	Si te parece bien, me gustaría\nque nos volviéramos a ver así.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nNel, ¿podemos hablar un momento?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04エル\nPor el tono, parece algo serio.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ヴェイル\nHe estado pensándolo detenidamente,\ny realmente querría que fuésemos hermanas.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x06\x04エル\nRespeto tus sentimientos, Veyle.\nNo obstante, me dejan perpleja.\x0E\x04\x02\x00
MID_RELIANCE_A_#005	No pareces conformarte con una buena amistad\nentre nosotras. ¿Por qué?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08ヴェイル\nMe alegra que seamos amigas y,\ndurante un tiempo, pensé que eso bastaría.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	Pero, tras contarme lo sucedido con tus demás\nhermanos, empecé a verlo todo de otro modo.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Las hermanas no deberían traicionarse\nni hacerse daño. La familia no ha de ser así.\x0E\x04\x02\x00
MID_RELIANCE_A_#009	¿Por qué no podríamos ser dos hermanas que\ncharlan juntas y comparten platillos picantes?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04エル\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ヴェイル\n¿Tan difícil te resultaría?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04エル\nNo. Pese a las apariencias, la idea de tener\nuna familia así me resulta placentera.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	Y si dos hermanas son capaces de mantener\ntal relación de confianza... quizá lo reconsidere.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ヴェイル\n¿Significa eso...?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04エル\nNo estoy segura. La felicidad de ganar\nuna hermana se acompaña del temor a perderla.\x0E\x04\x02\x00
MID_RELIANCE_A_#016	Me aterraría que se rompieran\nnuestros lazos familiares.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ヴェイル\nJamás en la vida sería tu enemiga, Nel.\nSiempre estaré de tu lado.\x0E\x04\x02\x00
MID_RELIANCE_A_#018	Incluso si la guerra nos separase, el tiempo\nque pasemos juntas perduraría para siempre.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04エル\nComo familia.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nExacto. Atesoraré cada momento vivido\ncon mi hermana, y seguro que tú harás igual.\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Así que, si la idea te produce aunque sea\nun mínimo de felicidad, piénsalo, por favor.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x06\x04エル\n(...)\x0E\x04\x02\x00
MID_RELIANCE_A_#023	De acuerdo.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ヴェイル\n¿De veras? ¡¿Lo dices en serio?!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04エル\nYo también anhelo tener una familia\ny cuidar de mis seres queridos.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	Si sinceramente este es tu deseo, y puesto que\nestá en mis manos concedértelo... que así sea.\x0E\x04\x02\x00
MID_RELIANCE_A_#027	Gracias por dar muestra de tanta amabilidad,\ngenerosidad... y perseverancia, hermana.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ヴェイル\nNo, gracias a ti, Nel. ¡Escuchar esas palabras\nme hace la persona más feliz del mundo!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x06\x04エル\nTambién a mí.\x0E\x04\x02\x00
MID_RELIANCE_A_#030	Aunque me pregunto si debería considerarte\ncomo mi hermana mayor o menor.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08ヴェイル\nComo provenimos de mundos distintos,\nes difícil saber cuál de las dos nació antes.\x0E\x04\x02\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x06\x04エル\nSi nos atenemos a la apariencia,\ndiría que yo soy la mayor.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x0A\x08ヴェイル\n¿Cómo? ¡De eso nada!\n¡Mira qué melena tan larga tengo!\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x06\x04エル\nNo veo qué relación guarda la longitud\ndel cabello con esto.\x0E\x04\x02\x00
MID_RELIANCE_A_#035	Pero poco importa: durante siglos venideros,\nhabrá tiempo de sobra para resolver el asunto.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ヴェイル\nEs verdad. Y esa será solo una de las muchas\ncosas que compartiré con mi nueva hermana.\x0E\x04\x00\x00
