MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nOh, espíritu de la baraja, muéstrame la senda\ncorrecta con tu luz sagrada.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クロエ\nEstá delicioso, tranquilo.\nNo tienes que preocuparte por eso.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08セアダス\nAhora sí que me estoy preocupando...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セアダス\nPero, ya que te has molestado en traerme\ncomida, rechazarla sería muy descortés.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セアダス\nAunque ni el aspecto ni el olor\nme resultan muy apetitosos...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クロエ\nLa comida callejera no es\npara todos los paladares.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\nLo siento, Chloé. No puedo.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06クロエ\nPues es una lástima, porque podrías comer\nalgo sabroso que no afectara a tu danza...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セアダス\n¿En serio?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セアダス\n¿Dices que este platillo, a pesar de ser sabroso,\nno perjudicará mi rendimiento?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セアダス\nMe retracto de lo dicho.\n¡Voy a comérmelo todo!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06クロエ\n¡Estupendo! Adelante, come.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セアダス\nVamos allá...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06クロエ\n¿No te ha gustado?\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セアダス\nNo, la verdad es... que está bastante bueno.\nAmargo y dulce a la vez... pero eso me gusta.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06クロエ\nMenos mal, el sabor es tan fuerte\nque temía que no pudieras soportarlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08セアダス\nSi yo te contara lo que comía cuando viajaba\nen la caravana... Mi estómago puede con todo.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08セアダス\n¿Te importaría mostrarme más platillos\nde este tipo otro día?\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x08\x06クロエ\n¡Será un placer!\nY gracias por atreverte a probar el platillo.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nUno, dos, tres, cuatro...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0C\x06クロエ\x021\n\x0E\x03\x02\x08\x06クロエ\nNunca me canso de verte bailar.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セアダス\n¿Me observabas, Chloé? Te habría reservado\nun sitio en primera fila de haberlo sabido.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クロエ\nEs que no quería interrumpirte.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06クロエ\nTe he traído otro platillo callejero:\nlagarto glaseado a la miel. ¡Es sanísimo!\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セアダス\nY con un aspecto tan... apetitoso\ncomo siempre. Gracias.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セアダス\nEl sabor es un tanto inusual,\npero está bueno y me gusta el toque dulzón.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06クロエ\n¡Sabía que te gustaría!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クロエ\nAl traerte tantos platillos ya conozco\ntus gustos: ¡te encanta todo lo dulce!\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セアダス\nYo no diría tanto...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06クロエ\nTe considero un gran bailarín, Seadall.\nEres grácil, pero fuerte.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クロエ\n¿Alguien te enseñó?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08セアダス\nSí, tengo un maestro.\nEl profesor de la caravana me enseñó a bailar.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nAunque lo apropiado sería decir que lo tuve.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クロエ\n¿Quieres decir...?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セアダス\nMurió protegiéndome durante un asalto\na la caravana.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クロエ\nAy, no...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セアダス\nNunca podré devolverle el favor.\nEs el único destino que no he podido predecir.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クロエ\nPero el estilo de baile de tu maestro\nsigue vivo en ti.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08セアダス\nEso espero, aunque aún me queda\nmucho por mejorar para alcanzar su nivel.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08セアダス\nAun así, intento deleitar a mi público\ncon el sublime arte de la danza.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06クロエ\nLo has hecho con creces.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08セアダス\nGracias, Chloé.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セアダス\nCon el estómago lleno, ya puedo bailar\nde nuevo.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08セアダス\nIba a actuar para ti para darte las gracias,\npero ¿qué te parecería bailar los dos juntos?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06クロエ\nNada me gustaría más.\x0E\x04\x00\x00
