MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x06\x04エル\nTú, que has servido a un Dragón Divino, ahora\nluchas junto a un Dragón Caído. Curioso, ¿no?\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06セリカ\nCaray, gracias, Zelestia. Hacía tiempo\nque no profesaban tales halagos...\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nEras una sacerdotisa de Mila, la Madre Tierra,\n¿no? Tendrás tantas anécdotas que contar...\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x08\x06セリカ\nSí, guardo muchos recuerdos del priorato\nde Novis. ¡Puedo entretenerte largo y tendido!\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nGracias por contarme tus historias... ¿No\nextrañas a la persona de quien me hablaste?\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x08\x06セリカ\nMentiría si dijera que no, pero sé que estará ahí,\ncumpliendo con su deber, como siempre.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06セリカ\nAdemás, teniéndolos a ti y a los demás, no hay\nmomento para aburrirse ni ponerse melancólica.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\n¡Ay, Celica! Cuánto admiro tu valor... No temas,\n¡siempre nos tendrás a tu lado!\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\n¿Has visto esos muñecos de peluche, Gregory?\n¡Son preciosos! Me pregunto de quién serán...\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nAh, pues... míos. Es que me gusta coleccionar\ncosas adorables y blanditas...\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nMe han hablado de una tienda de accesorios\ndel pueblo muy bonita. ¿Nos acercamos a verla?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nCelica... Me sorprende que supieras que me\ngustaría ir a un sitio así. Acepto encantado.\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nグレゴリー\n¿Por qué se empeña la gente en pelearse?\nCon lo bien que viviríamos todos en paz...\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06セリカ\nSiempre hay motivos... En el fondo, todos\ntenemos algo que deseamos proteger.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x08\x06セリカ\nSeríamos capaces de cualquier cosa con tal\nde no perderlo... ¿No te ha pasado nunca?\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x0C\nグレゴリー\nSí... creo que sí. Solo espero que, dado que\ndebo luchar, cause el menor daño posible.\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x08\x06セリカ\nQué preciosidad de armadura...\nY he de decir que te sienta de maravilla.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\n¿D-de verdad? Lo cierto es que el color\nme encanta. Este... Gracias por el cumplido.\x0E\x04\x00\x00
MID_GR_Madeline_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nマデリーン\nDicen que detestas luchar... Si es cierto,\nlamento tener que recurrir a tu poder.\x0E\x04\x00\x00
MID_GR_Madeline_B_#002	\x0E\x03\x02\x08\x06セリカ\nNo te preocupes. Sé que no queda más remedio,\nasí que estoy más que dispuesta a ayudarte.\x0E\x04\x00\x00
MID_GR_Madeline_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06セリカ\x022\n\x0E\x03\x02\x0C\nマデリーン\nMmm... ¿Qué debo hacer para mantener\nla compostura en todo momento, como tú?\x0E\x04\x00\x00
MID_GR_Madeline_A_#002	\x0E\x03\x02\x08\x06セリカ\n¿Esa impresión te doy? Todo el mundo suele\naconsejarme que piense más antes de actuar...\x0E\x04\x00\x00
MID_GR_Madeline_A_#003	\x0E\x03\x02\x08\x06セリカ\nSi tú me ves tan comedida, supongo\nque habré aprendido de mis errores.\x0E\x04\x00\x00
MID_GR_Madeline_A_#004	\x0E\x03\x02\x0C\nマデリーン\n¡Claro, yo también intento aprender de los míos!\nTienes que contarme alguna de tus historias...\x0E\x04\x00\x00
