MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nSe acabó... Rayos, ¿qué voy a hacer ahora?\n¿A qué dedicaré mi *vida*?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nHa abandonado el nido para buscar\nel hogar que le *corresponde*, entre las nubes.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nシトリニカ\nPerdona, pero... ¿no son buenas noticias?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nAsí es. Desde un principio fue mi *intención*.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nDe hecho, como profesor me siento *orgulloso*\nde verla volar y valerse por sí misma.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nPero, como padre, la *pérdida*\nme parece irreparable.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Entiendes ahora mi dilema, Citrinne?\n¿Se te ocurre alguna *solución* que ofrecerme?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nシトリニカ\nMmm... Podría contratar rastreadores para\nbuscarla. O comprarte una nueva mascota.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nNo, *nada* de eso me convence...\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0C\nシトリニカ\nEn tal caso, no veo qué puedo hacer.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x0A\x08ゼルコバ\nLo entiendo. No te haré perder más el tiempo:\nesta *carga* me corresponde soportarla a mí.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0C\nシトリニカ\nCuánto lo siento, Zelkov.\nOjalá pudiera ayudarte de algún modo...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0C\nシトリニカ\n¿Qué tal estás, Zelkov?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nHe tratado de centrarme en otras ocupaciones,\npero la pérdida sigue *consumiéndome*.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nシトリニカ\nVaya, qué lástima...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nシトリニカ\nLamento importunarte en tales circunstancias,\npero ¿te importaría ayudarme con un asunto?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Qué *requieres* de mí?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nシトリニカ\nEsto. Léelo, por favor.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ゼルコバ\n"Mi hijo es un vago. ¿Qué hago\npara que se ponga a trabajar de una vez?"\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ゼルコバ\n"Dicen que me anime... No entienden nada:\nmi amor me ha dejado. ¿Cómo superarlo?"\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Qué es todo esto, si se *puede* saber?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nシトリニカ\nUn informe de jóvenes brodianos que necesitan\nayuda: cartas enviadas por ellos o sus padres.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Para qué me lo muestras a *mí*?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nシトリニカ\nComo asistente de la familia real, asesoro\na quienes atraviesan situaciones difíciles.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nシトリニカ\nPero en esta época el trabajo me desborda...\nMe vendría bien un poco de ayuda.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nCitrinne... Tu *compasión*\nresulta extraordinaria.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nシトリニカ\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\n*Asesorar* a la gente que tiene problemas\nme ayudaría a superar mi pérdida.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nEse *era* tu propósito, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nSobrevaloras mi perspicacia.\nNo tengo tanta capacidad de planificación.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nシトリニカ\nEn todo caso, ¿qué tal si eliges a alguien\na quien puedas ayudar y le escribes una carta?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nSeguro que la ayuda de un adulto\nle vendrá bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ゼルコバ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nSí, faltaba más. *Comenzaré* de inmediato.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0C\nシトリニカ\n¡Zelkov! ¡No me lo puedo creer!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nシトリニカ\n¿De verdad les has enviado una carta\na todas las personas de la lista?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ゼルコバ\n*Correcto*. No ha supuesto ningún problema.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nExcelente trabajo.\nTe están todos muy agradecidos.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nMe alegra saberlo... aunque no haya servido\npara hacerme olvidar mis *pesares*.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nシトリニカ\nAy, vaya... Lo lamento.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nReconozco, eso sí, que últimamente\nme siento más *optimista*.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\n¿De veras?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nSí. Algo me *ocurrió* a medida que iba\nescribiendo consejos para todas esas personas.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nMe di cuenta de que, a su modo, todos eran\ncomo *crías* tratando de aprender a volar.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nMe centré en ayudarles a valerse por sí mismos.\nEn enseñarles a *abandonar* el nido.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nIgual que hice con mi *pequeña*.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nVerlo de *ese* modo me facilitó la tarea.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nシトリニカ\nComprendo.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nQuiero darte las *gracias*, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nシトリニカ\n¿Por qué? Pero ¡si has sido tú\nel que me ha hecho un favor!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nMe pediste ayuda *a sabiendas*\nde que era lo que necesitaba.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nシトリニカ\nNo sé de qué me hablas, de verdad.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nEstá claro que eres una persona maravillosa...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nBien, es hora de que te abandone.\nDebo *buscar* mi próxima ocupación.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nシトリニカ\nSeguro que será apasionante, elijas la que elijas.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nMuchas gracias.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ゼルコバ\nUna última cosa *antes* de marcharme.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nシトリニカ\n¿Sí? Dime.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08ゼルコバ\nMe gustaría profundizar en nuestra amistad.\nSe ha convertido en algo *importante* para mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nシトリニカ\nNo te preocupes, Zelkov. No pienso abandonarte\ny salir volando.\x0E\x04\x00\x00
