MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\n♪Hum, hum, hummm...♪\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\n¿Seadall? ¿Qué tratas de adivinar\ntan... desesperadamente?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セアダス\nDime, te lo ruego... ¿esta comida ayudará\na que mi danza fluya?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セアダス\nNo ansío cualquier alimento, sino algo sabroso...\n¡Por favor, espíritu de la baraja!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セアダス\n¡Esa no es la respuesta que quería!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nEh... No parece la misma persona de antes.\nPero ni de lejos, vamos.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\nCálmate, Seadall. Te lo ruego.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セアダス\n¡Divinidad!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nNo sé qué te ocurre, pero tú no eres así...\n¿Ansiar... lo sabroso?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セアダス\n¿Me está diciendo que comer esto\nno impediría que mi arte fluyese?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セアダス\nEs masa frita en mantequilla... y rehogada\nen aceite de oliva. Una auténtica delicia.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08リュール\nAh, sí, el otro día me comí una. Ciertamente\nricas... y creo que le vendrá bien a tu baile.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\n¿Lo dice en serio?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nEh... Pues...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セアダス\n¡¿O lo dice por decir?!\n¡Tendré que consultar las cartas para saberlo!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08リュール\n¡Creo que sí lo sé!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nBailas muchísimo, así que tiene que ser bueno.\n¡Y además es sabroso!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セアダス\nNo lo entiende. Un bailarín de mi calibre\nsiempre tiene que mantener la disciplina.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セアダス\nSoy la inspiración de mis compañeros\nen el campo de batalla. Debo comer lo mejor.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\nSi me descuido... Si mis habilidades se resienten\ny alguien muere por ello... No puedo permitirlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\nSeadall, de verdad que lo siento...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セアダス\nHe decidido recluirme por hoy en mi gabinete,\ny evitar toda comida frita.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08リュール\nSeadall, escucha...\nOpino que tu baile es perfecto.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nQue te permitas algún capricho de vez\nen cuando no va a cambiar nada.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セアダス\n¿A qué viene todo esto?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\nEntiendo que tus coreografías son tan\nbonitas por la disciplina a la que te sometes.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nPero, si solo te preocupas por nutrir el cuerpo,\ndejarás de lado el alimento del alma.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08セアダス\n¿El alimento del alma?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nLa felicidad del alma debería reflejarse\nen tu baile, ¿no crees?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nCuando bailaste bajo la luz de la luna en honor\nde los caídos... Fue un momento precioso.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nEn cambio, danzar mientras piensas\nen comida sabrosa debe de distraer mucho.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08セアダス\n¿¡Quiere decir que mi baile es menos\nperfecto por ese motivo!?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nAlimenta tu baile con lo que te haga feliz.\nLos espectadores notarán también tu dicha.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nSé que deseas bailar a la perfección\npara proteger a tus amigos en batalla.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nEse es otro motivo para comer\nalimentos sabrosos.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nDivinidad... No lo entiende.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セアダス\nComer lo que quiero es como jugar con fuego.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セアダス\nEn mi carrera como bailarín siempre he puesto\nel arte por delante del sabor.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セアダス\nPero... creo que entiendo sus motivos.\nEs necesario alimentar el alma.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セアダス\nMe complace que se preocupe por mí.\nMuchas gracias.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nDe nada.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08セアダス\nComo es el Dragón Divino, es mi deber\nseguir su consejo.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セアダス\nAdemás, resulta que no consigo olvidarme\nde la deliciosa rosquilla del otro día...\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08リュール\n¡Pues vamos a pedir una!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08セアダス\nLa pregunta es... ¿Cuánta comida sabrosa\npuedo ingerir de un solo golpe?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08リュール\n¿Y si lo consultas con el espíritu de la baraja?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08セアダス\nAh, me vio leer el futuro el otro día...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08セアダス\nMe temo que últimamente solo le muestro\nmi lado menos digno, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08リュール\nConozco de sobra tu faceta más encantadora.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08セアダス\nBueno, a partir de ahora prometo\nque me verá mejor.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08セアダス\nAhora sé que la danza es un arte que se realiza\ncon el cuerpo y el alma. ¡Va a ser perfecto!\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08リュール\nSi tú estás feliz, yo también, Seadall.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セアダス\x022
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08セアダス\nDivinidad, \x0E\x0A\x00\x0C\x04lo\x04la estaba esperando. Me gustaría\ndedicarle una danza especial esta noche.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\n¿Una danza especial?\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08セアダス\nEn efecto, una coreografía pensada\npara un único espectador: usted.\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08セアダス\nComencemos.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x04\x03\x04
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\nHa sido increíble, Seadall. Me has conmovido.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08セアダス\nHe seguido su consejo: alimentar mi alma\ncon comida sabrosa y dejar que me mueva.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\nPues me parece estupendo, pero ¿a cuento\nde qué me dedicas una danza especial?\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08セアダス\nAnte todo, permita que le desvele\nsu significado.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nAdelante.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08セアダス\nLa coreografía representa una promesa...\nque solo le puedo hacer a una persona.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08セアダス\nUsted es muy especial para mí, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08セアダス\nNo me andaré con rodeos: siento algo por usted\ndesde que nos conocimos en aquella fortaleza.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0A\x08セアダス\nSé que muchos \x0E\x0A\x00\x0C\x04lo\x04la aprecian, y con razón,\npero nadie con el mismo fervor que yo.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08セアダス\nDe modo que me preguntaba...\nsi el sentimiento es mutuo.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\nSeadall, deja que te explique...\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08セアダス\nLamento la insolencia. Ha estado fuera de lugar.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nNo. Tu declaración me llena de júbilo...\nporque yo siento lo mismo por ti.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08セアダス\n¿Sí?\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nAsí es. De hecho, siempre he pensado\nque este anillo... te sentaría como un guante.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08セアダス\n¿El Anillo del Pacto?\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nExacto.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08セアダス\nMe siento como si la luna y las estrellas\nse me iluminaran en el pecho.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08セアダス\nPrometo esforzarme y lograr que sienta\norgullo de tenerme a su lado.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nTe veo tan radiante que me conformo con que\nmi presencia sirva para realzar tu esplendor.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nSeadall, estoy muy feliz de poder recorrer\ncontigo el camino que se abre ante nosotros.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08セアダス\n\x0E\x06\x03\x00...\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x0A\x08セアダス\nNada en este hermoso y enigmático mundo\npodrá separarme de usted.\x0E\x04\x00\x00
