MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\nGracias por invitarme a entrenar contigo hoy,\nDiamant. Significa mucho para mí.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nDe ahí la importancia de practicar\ncon estos magos.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nスタルーク\nSiempre había pensado que no tenías defectos...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nNadie es perfecto. Tengo que entrenar\nese aspecto cada dichoso día.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nAlcryst. No debes hablarle de esto a nadie.\n¿Entendido?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nSeré una tumba.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nDebería volver. No quiero hacer\nesperar más a los magos.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nスタルーク\nDiamant, no tienes por qué exigirte tanto...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nSomos los protectores de Brodia. Nuestro deber\nes fortalecernos todo cuanto podamos.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nスタルーク\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nEsta charla me ha ayudado a recomponerme.\nNo te preocupes. Todo irá bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x02\x0C\nスタルーク\nPero, Diamant...\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0C\nスタルーク\nTeme a algo. Mi hermano tiene\nuna debilidad. No puedo creerlo...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x022\n\x0E\x03\x02\x0C\nスタルーク\n¡Ja!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nスタルーク\n¡Ah! Justo en el blanco. Bien.\nLo haré otras 50 veces más...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\nSe te da muy bien el arco, ¿sabes?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\n¿Diamant? ¿Cuánto tiempo llevas mirando?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0E\x0Cディアマンド\nEl suficiente como para constatar que el arco\nes, sin duda, uno de tus puntos fuertes.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nスタルーク\nGracias... pero aún me queda mucho\npor mejorar.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nスタルーク\nNecesito entrenar más. Quiero ser más fuerte...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0E\x0Cディアマンド\n¡Muy bien! Así se habla.\n¡Ese es mi hermanito!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nDiamant, ¿tendrías tiempo para... enfrentarte\na mí en un concurso de tiro con arco?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nSí, podría ser divertido.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Cómo lo hacemos? ¿Gana el que más veces\nacierte el blanco en 10 intentos?\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nスタルーク\nMe parece perfecto. ¡Empecemos!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x04\x03\x04
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nAlcryst... No puedo creerlo.\nSabía que eras un arquero consumado, pero...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nスタルーク\n¿De qué hablas? Si has ganado nueve a ocho.\nHe perdido...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nスタルーク\nElogiar a tu hermano después de ganarle\nen su especialidad... No te ensañes conmigo...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nNo pienso dejarme perder, mocoso.\nSi quieres ganarme, te lo tendrás que ganar.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nスタルーク\nNo esperaba menos del príncipe heredero\nde Brodia.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\nQuiero que sepas que me siento afortunado\nde tener un hermano mayor como tú, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nSoy yo quien tiene suerte de poder contar\ncon un hermano como tú, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nNinguno de mis adversarios ha sido tan ducho\ny cordial como tú... con arco u otra arma.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nスタルーク\nTendré que entrenar para seguir mejorando.\nCuando esté listo, te pediré la revancha.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nEntendido. Pero te advierto que yo también\nseguiré entrenando. No pienso quedarme atrás.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nスタルーク\nNo me cabe ninguna duda, Diamant.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nスタルーク\nPor ahora me llevas ventaja, pero pienso\nponerme a tu nivel. Qué digo... ¡Te superaré!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nスタルーク\nY, pase lo que pase, siempre estaré\na tu lado para protegerte.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0E\x0Cディアマンド\n¿Mmm? ¿Decías algo, Alcryst?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nスタルーク\nSolo hablaba conmigo mismo. No era nada.\x0E\x04\x00\x00
