MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0A\x08リュール\nAh, ahí estás, Rafal. Te estaba buscando.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nラファール\nEl tiempo carecía de sentido para mí. Los días\nanteriores a su despertar eran una nebulosa.\x0E\x04\x02\x00
MID_RELIANCE_B_#018	Pero jamás olvidaré la sonrisa que me regaló\ncuando por fin abrió los ojos.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Poco más puedo añadir: despertó,\nvinimos aquí y el resto ya lo conoces.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08リュール\nLo dices como si esperar mil años fuese normal,\npero muy pocos hubieran tenido tu paciencia.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nラファール\nTus elogios están fuera de lugar. Mis motivos\nfueron puramente egoístas, te lo aseguro.\x0E\x04\x02\x00
MID_RELIANCE_B_#022	Aunque no lo habría logrado si no hubieras\npronunciado aquellas palabras antes de irte.\x0E\x04\x02\x00
MID_RELIANCE_B_#023	En cierto modo, el regreso de Nel\ntambién es obra tuya. Te lo agradezco.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08リュール\nJa, ja. Me parece estar oyéndola a ella.\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Son como dos gotas de agua,\ny no solo en el aspecto físico.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nラファール\n¡¿Ahora te burlas de mí?!\nEsta conversación ha sido un craso error.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08リュール\nNo, Rafal... No pretendía...\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0C\nラファール\n¡Basta de charla! ¡Adiós!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0C\nラファール\nTú... Toma esto.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\n¿Eh? Pero ¿qué es...? ¡Oh, un surtido de dulces!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nラファール\nEl personal de cocina me tuvo secuestrado\ny me obligó a prepararlos, cosa que hice.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\n¿Los has hecho tú? ¿Para mí?\n¡Qué buena pinta tienen, Rafal! ¡Muchas gracias!\x0E\x04\x02\x00
MID_RELIANCE_A_#005	¿Te importa si pruebo alguno?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nラファール\nHaz lo que quieras, pero hay algo que\ndeberías saber.\x0E\x04\x02\x00
MID_RELIANCE_A_#007	He preparado dos tipos: unos son ordinarios;\nlos otros tienen un sabor particular.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nMe mata la curiosidad, pero guardaré\nlos especiales para luego. A ver los ordinarios...\x0E\x04\x02\x00
MID_RELIANCE_A_#009	¡Cof, cof! ¡Qué dulzón! ¡Arg, me quemo!\n¡¿Es normal que queme?!\x0E\x04\x02\x00
MID_RELIANCE_A_#010	¡¿Y a esto lo llamas sabor ordinario?!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nラファール\nJa, ja. Tanta molestia ha valido la pena\nsolo por ver la cara que has puesto.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Debí ser más claro: es ordinario... para mí.\nCualquier cosa menos azucarada ni la noto.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nTiemblo solo de pensar en cómo serán\nlos especiales. No sé si me atreveré.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nラファール\nSi te asusta probarlos, regálaselos a alguien.\nO tíralos y punto.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nSabes que jamás haría algo así.\nMuy bien, me has convencido. ¡Aquí voy!\x0E\x04\x02\x00
MID_RELIANCE_A_#016	Vaya, este es asombroso. Combina\ntodos mis sabores favoritos a la perfección...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nラファール\nTu sentido del gusto es muy delicado,\npor eso usé una cantidad ínfima de cada sabor.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nAh, a eso te referías con "especiales".\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nラファール\nTe recomiendo que saborees bien esos dulces,\nporque jamás volveré a prepararlos.\x0E\x04\x02\x00
MID_RELIANCE_A_#020	El trabajo ha dado sus frutos. Como dicen aquí:\n"las acciones hablan más alto que las palabras".\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nMuchas gracias. Jamás olvidaré su sabor.\nSe nota que les has puesto todo tu corazón.\x0E\x04\x02\x00
MID_RELIANCE_A_#022	Pero hay un pequeño problema, Rafal.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nラファール\n¿Cuál?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08リュール\n¡Me he quedado sin apetito para la cena!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nラファール\nJe. Pues da un paseo para bajar\nlos dulces, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0A\x08リュール\nGracias por ayudarme con las provisiones.\nNo sé qué hubiese hecho sin ti.\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0C\nラファール\nNo tiene importancia.\nNo tenía nada mejor que hacer.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\nClaro que la tiene.\nTú has cargado con todo el peso.\x0E\x04\x02\x00
MID_RELIANCE_S_#004	¿Cómo te lo podría agradecer? ¡Ah, ya sé!\n¿Y si luego te preparo una deliciosa taza de té?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0C\nラファール\nTu gentileza me deja atónito. ¿Cómo puedes\nobrar así en mitad de una cruenta guerra?\x0E\x04\x02\x00
MID_RELIANCE_S_#006	Cuando supe que en este mundo eres\nun Dragón Caído, no me lo podía creer.\x0E\x04\x02\x00
MID_RELIANCE_S_#007	De haber sido uno de mis hermanos, tu bondad\nte habría conducido a una muerte rápida.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nExplícame mejor por qué crees eso.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nラファール\nNo es algo que simplemente crea:\nes la verdad pura y dura.\x0E\x04\x02\x00
MID_RELIANCE_S_#010	Eres muy altruista, impasible ante la carga que\nllevas y demasiado \x0E\x0A\x00 \x0Ecurioso\x0Ecuriosa. \x0E\x0A\x00&\x10Un iluso\x12Una ilusa, vamos.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0A\x08リュール\nPues sé de alguien a quien últimamente\nle gusta pasar tiempo con ilusos...\x0E\x04\x02\x00
MID_RELIANCE_S_#012	Has venido de otro mundo para arriesgar la vida\npor \x0E\x0A\x00&\x10un iluso\x12una ilusa... que te está muy \x0E\x0A\x00,\x14agradecido\x14agradecida.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0C\nラファール\nDi lo que quieras.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\nEso haré, porque, por mucho que te cueste\nadmitirlo, me escuchas y te preocupas por mí.\x0E\x04\x02\x00
MID_RELIANCE_S_#015	Ahora lo veo claro.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nラファール\nCof, cof...\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nDijiste que las acciones hablan más alto\nque las palabras, Rafal. Y estabas en lo cierto.\x0E\x04\x02\x00
MID_RELIANCE_S_#018	Llevaba un tiempo reflexionando sobre ello,\ny he decidido entregarte esto.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0C\nラファール\n¡Oh! ¿Es lo que creo que es?\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nSí: el Anillo del Pacto, el símbolo\nde un vínculo especial e irrompible.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0C\nラファール\nSoy consciente de mi encanto superficial,\npero darme esto sería estúpido incluso para ti.\x0E\x04\x02\x00
MID_RELIANCE_S_#022	Por no decir desmedido: no he hecho nada\npara merecer tal honor.\x0E\x04\x02\x00
MID_RELIANCE_S_#023	Cualquier otro aliado al que elijas será más...\npuro que yo.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nYo también soy un Dragón Caído, ¿recuerdas?\nTú mismo lo dijiste.\x0E\x04\x02\x00
MID_RELIANCE_S_#025	E igualmente luché del lado de Sombron.\nEn cuestión de "impureza", estamos a la par.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0C\nラファール\nAun así...\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nEste anillo te pertenece a ti y solo a ti, Rafal.\x0E\x04\x02\x00
MID_RELIANCE_S_#028	Ya formas parte indispensable de mi vida.\nSimplemente te pido que lo sigas siendo.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0C\nラファール\nUf...\x0E\x04\x02\x00
MID_RELIANCE_S_#030	Dicho con esas palabras, no me dejas elección.\n¿Quién más sino yo podría velar por ti?\x0E\x04\x02\x00
MID_RELIANCE_S_#031	Muy bien, tienes mi palabra: permaneceré\na tu lado y lucharé por tu causa hasta el final.\x0E\x04\x02\x00
MID_RELIANCE_S_#032	Aunque el mundo entero se vuelva en tu contra,\njamás te abandonaré. Lo juro.\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x0A\x08リュール\nGracias. Tus palabras significan mucho para mí.\x0E\x04\x00\x00
MID_RELIANCE_S_#034	\x0E\x03\x02\x0C\nラファール\nSolo te diré esto una vez,\nasí que escucha atentamente.\x0E\x04\x02\x00
MID_RELIANCE_S_#035	Dijiste que querías que fuera feliz.\x0E\x04\x02\x00
MID_RELIANCE_S_#036	Cuando llegué aquí, me contenté con emprender\nuna nueva vida, con ser otra persona.\x0E\x04\x02\x00
MID_RELIANCE_S_#037	Pero, cuanto más tiempo paso a tu lado...\nmás te extraño cuando te ausentas.\x0E\x04\x02\x00
MID_RELIANCE_S_#038	Así que es tu turno de prestar juramento,\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#039	\x0E\x03\x02\x0C\nラファール\nProméteme que jamás te apartarás de mi lado,\nque afrontaremos juntos lo que depare el futuro.\x0E\x04\x00\x00
