MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\n¿Cómo va todo, Gregory?\n¿Te estás habituando a este mundo?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	Rezaba por que alguien viniera a socorrerme,\npero fue en vano. Tras sufrir tanto dolor...\x0E\x04\x02\x00
MID_RELIANCE_B_#016	Pues no podía hacer otra cosa salvo ayudarte.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cセレスティア\nMe sentí muy aliviada. Fuiste como\nun rayo de luz entre las sombras de mi angustia.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nグレゴリー\n¿Realmente actué tan bien? No es que me\ndisguste oírte decir eso ni mucho menos...\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Pero, pese a mi ayuda, sabía que no podríamos\nganar, así que la única solución era huir.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cセレスティア\nY gracias a eso viví para luchar otro día.\x0E\x04\x02\x00
MID_RELIANCE_B_#021	Y lo que es más importante: conocí a un amigo\nque me cubriría las espaldas.\x0E\x04\x02\x00
MID_RELIANCE_B_#022	Por eso te ofrecí luchar junto a nosotros\nen Lythos en aquel momento.\x0E\x04\x02\x00
MID_RELIANCE_B_#023	Je... Y estabas tan asustado que rechazaste\nmi invitación repetidas veces.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0C\nグレゴリー\nJa, ja. Pero tú no cejaste en tu empeño\nhasta que di mi brazo a torcer.\x0E\x04\x02\x00
MID_RELIANCE_B_#025	Me sorprendió que quisieras hablar con alguien\ncomo yo. Ni siquiera sabías quién era.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0E\x0Cセレスティア\nTe metiste en la boca del lobo para ayudarme.\n¿Cómo no iba a confiar en ti?\x0E\x04\x02\x00
MID_RELIANCE_B_#027	Ver que arriesgabas la vida por una completa\ndesconocida me infundió esperanza.\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0C\nグレゴリー\nMmm... Supongo que el único día que brillé\ncon valentía fue el inicio de algo grande, ¿eh?\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0E\x0Cセレスティア\nExacto. ¿Ves ahora por qué digo\nque no huyes de nada?\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nZelestia... Dices que los Cuatro Vientos\nson tu familia. ¿Y eso por qué?\x0E\x04\x02\x00
MID_RELIANCE_A_#002	La palabra "familia" siempre me resulta agria.\nPensé que sería lo mismo para los demás.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nY quizá tengas razón. Todos hemos sufrido\npérdidas antes de conocernos.\x0E\x04\x02\x00
MID_RELIANCE_A_#004	Yo perdí a los dragones magos; tú, tu hogar;\nMadeline, a sus padres; y Mauvier... a su señora.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nグレゴリー\nSe lo oí decir a Mauvier una vez.\nLamentaba no haber podido salvarla.\x0E\x04\x02\x00
MID_RELIANCE_A_#006	Comentó que murió demasiado pronto\npor su culpa, en una batalla sin sentido.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nTodos cargamos con nuestros propios pesares.\nTener un lugar al que regresar es un alivio.\x0E\x04\x02\x00
MID_RELIANCE_A_#008	Ninguno teníamos nada parecido.\nQuizá por eso Mauvier creó los Cuatro Vientos.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nグレゴリー\nDicho así, tiene todo el sentido del mundo...\nPero ¿no es distinto a una familia?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0E\x0Cセレスティア\nAl principio pensaba eso: los Cuatro Vientos\néramos amigos y aliados, no una familia.\x0E\x04\x02\x00
MID_RELIANCE_A_#011	Tras pasar tiempo juntos hablando y riendo,\nme di cuenta de que nos completábamos.\x0E\x04\x02\x00
MID_RELIANCE_A_#012	Nos hemos apoyado mutuamente de maneras\nimpensables para otros.\x0E\x04\x02\x00
MID_RELIANCE_A_#013	Eso solo es posible con quienes se comparten\nun vínculo muy estrecho y una confianza plena.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nグレゴリー\nVisto así, sí que suena a familia...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0E\x0Cセレスティア\nEso creo yo, y por eso mismo debemos\ncuidarnos mutuamente.\x0E\x04\x02\x00
MID_RELIANCE_A_#016	Los Cuatro Vientos somos familia. Si falta uno,\nel resto ha de proteger a los que quedan.\x0E\x04\x02\x00
MID_RELIANCE_A_#017	Hasta el último de nosotros.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nグレゴリー\nY, siendo una dragona maga, es muy probable\nque seas tú la que nos sobreviva...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0E\x0Cセレスティア\n¿Cómo?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nグレゴリー\n¡Oh, nada!\x0E\x04\x02\x00
MID_RELIANCE_A_#021	Por mera curiosidad: si somos una familia,\n¿qué papel tiene cada uno?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0E\x0Cセレスティア\nYo soy la madre; Mauvier, el hermano mayor;\ntú, el mediano; y Madeline, la pequeña.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nグレゴリー\nJa, ja. Suena perfecto. Pero ¿por qué soy yo\nel mediano? Y a todo esto, ¿y nuestro padre?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0E\x0Cセレスティア\nOh, ¿acaso prefieres el rol de padre?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nグレゴリー\nJa, va a ser que no.\x0E\x04\x02\x00
MID_RELIANCE_A_#026	¿Y tú no deberías ser la hermana mayor en vez\nde la madre? Con esa apariencia tan joven...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0E\x0Cセレスティア\nQué zalamero eres... Pero no, los quiero a todos\ncomo lo haría una madre.\x0E\x04\x02\x00
MID_RELIANCE_A_#028	Por eso a veces te portas un poco como\nun niño consentido. Vamos, no lo niegues.\x0E\x04\x02\x00
MID_RELIANCE_A_#029	¿Ves? Si hasta nos tomamos el pelo\ncomo lo haría una familia de verdad...\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nグレゴリー\nTienes razón, y me alivia oírtelo decir\nabiertamente.\x0E\x04\x02\x00
MID_RELIANCE_A_#031	Los Cuatro Vientos seremos una familia,\nun lugar al que regresar, por siempre jamás.\x0E\x04\x00\x00
