MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x08\x06フラン\nHa llegado el momento, presidente Clanne.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06フラン\n¡Es nuestra oportunidad de dar a conocer\nlo genial que es el Dragón Divino!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クラン\nYa, pero...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06フラン\nVamos, hemos trabajado mucho en los folletos.\n¡La gente tiene que verlos!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06クラン\nTambién podríamos dejarlos simplemente\nahí y...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06フラン\n¡Que empiece el espectáculo!\nPrimero hablaré yo.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06フラン\n¡Escuchen todos! ¡Mi hermano quiere\ndecirles una cosa muy importante!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クラン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06フラン\n¡Clanne! Ahora te toca hablar a ti.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06フラン\nTú eres quien dijo que debíamos presentarnos\npara parecer accesibles y no ser ignorados...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06クラン\nEs que... me he puesto nervioso...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06フラン\n¡Todo el mundo nos mira! Qué vergüenza...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06フラン\nDe acuerdo. Yo haré las presentaciones, ¿sí?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06クラン\nB-bien...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06フラン\n¡Empezamos! Somos Clanne y Framme,\ntrigésimos terceros siervos del Dragón Divino.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06フラン\nEste folleto contiene todo lo que siempre\nhan querido saber sobre el Dragón Divino y...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06クラン\n¡Para! ¡Para, por favor! ¡Esto es una mala idea!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06フラン\n¡¿Qué?!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06クラン\nNo puedo hacerlo. Hay demasiada gente...\nQué vergüenza...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06クラン\nTodos van a pensar que somos raros...\n¿A quién le importa qué talla calza la Divinidad?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06フラン\nA nosotros.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06クラン\nSiento que no soy más que un flojo.\nQué siervo de pacotilla estoy hecho...\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06クラン\nNi siquiera soy digno de pertenecer al club\nde fans. Lo siento, Framme.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06フラン\n¡Clanne, espera!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06フラン\x022\n\x0E\x03\x02\x08\x06クラン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06フラン\nVamos, Clanne, suéltalo ya.\n¿Por qué estás de mal humor?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06クラン\n¿No es evidente? Por el folleto.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クラン\nNi siquiera tuve el valor de repartirlo.\nNo puedo considerarme un verdadero fan.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06フラン\nClanne, ¿acaso no sientes verdadera pasión\npor el Dragón Divino?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06クラン\nClaro que sí. Lo sabes.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06フラン\n¡Pues eso es todo lo que necesitas!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06フラン\nEres un fan. Es así de sencillo.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06クラン\nPero... Pero...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06フラン\nPara ser un fan, no importa lo que hagas,\nsino lo que sientas.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06フラン\n¡Si sientes verdadera pasión dragontina,\neso te convierte en fan del Dragón Divino!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クラン\nEh...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06クラン\nSí... Eso es... ¡Tienes razón!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06クラン\n¿Sabes qué? Voy a volver a intentarlo.\n¡A repartir copias del folleto se ha dicho!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06フラン\n¡Así se habla!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06クラン\nPero antes tenemos que hacer algunos cambios.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06フラン\n¿Cómo? ¿Ahora?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06クラン\nSí, ahora. Has dicho que ser un fan significa\ntener pasión. ¿Dónde está la pasión?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06クラン\nDebemos escribir sobre nuestras experiencias\ncon la Divinidad para transmitir nuestra pasión.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クラン\n¡Y faltan imágenes! Vamos a pedirle ayuda\na alguien que sepa dibujar.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クラン\nY a la entrevista le falta algo... ¡Ni siquiera\nle preguntamos si prefiere el rojo o el azul!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06フラン\nVaya, mírate... ¡Eso sí que es motivación!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06フラン\n¡Ese es el hermano apasionado\nal que conozco y admiro!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06フラン\nVamos a hacer el mejor folleto de la historia.\n¡Manos a la obra, presidente Clanne!\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06クラン\n¡Será todo un honor, presidenta Framme!\x0E\x04\x00\x00
