MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nDragón Divino... me gustaría discutir cierto\ntema con usted, si no es demasiada molestia.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06メリン\nAsí sabrán que es alguien especial\ny que deben \x0E\x0A\x00,\x14protegerlo\x14protegerla a toda costa.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06メリン\nNo pretendía \x0E\x0A\x00 \x0Ehacerlo\x0Ehacerla sentir como\nel sujeto de un experimento alquímico.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\nNo pasa nada; sé que no era tu intención.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06メリン\n¡No, sí que pasa! Me las he arreglado\npara que se sintiera así, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06メリン\nSe acabó lo del libro: no pienso seguir\nescribiéndolo. Discúlpeme, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08リュール\n¡Merrin, por favor!\n¡Que no hay ningún problema!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x0A\x08リュール\nMerrin, escúchame. Lamento mucho\nhaber sacado las cosas de quicio el otro día.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06メリン\nTanto como "sacar las cosas de quicio"...\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nNo fui capaz de entender que lo de observarme\nnace de tu preocupación por mí.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06メリン\nNo... La que se equivocó fui yo, no usted.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06メリン\nDebí suponer que mis acciones \x0E\x0A\x00\x0C\x04lo\x04la afectaban,\ny lo obvié por completo.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nMira... Ahora que todo ha quedado claro,\nme gustaría ayudarte a completar el libro.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nNo hay muchos sobre Dragones Divinos...\ny nadie me ha podido preguntar antes...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nEntiendo que quieras llenar ese vacío\nde conocimiento. No es una tarea trivial.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nAsí que... por favor, observa cuanto desees.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06メリン\n¿De verdad ¿¡Lo dice en serio!?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08リュール\nTotalmente.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06メリン\n¡Un millón de gracias, Divinidad!\nNo sabe lo contenta que estoy de oírlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06メリン\nCuando \x0E\x0A\x00\x0C\x04lo\x04la observo, olvido mis problemas.\n¡Es como si desapareciera todo lo malo!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06メリン\nY me siento... ¡feliz! Lo único que quiero es\ncompartir esa felicidad con los demás, ¿sabe?\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nEres todo un descubrimiento, Merrin.\nQuizá sea yo quien escriba un libro sobre ti...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06メリン\nMe adula en exceso, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nSolo te pido que dejes de pensar en mí\ncomo "más que un ser humano", ¿entendido?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nYo seré el Dragón Divino, sí...\npero tú también eres especial.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06メリン\n¡Bien dicho! Supongo que \x0E\x0A\x00\x18\nambos\nambas\nrompemos el molde, ¿no le parece?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nSin duda.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08リュール\nAh, y otra cosa... Quiero ser \x0E\x0A\x00,\x14el primero\x14la primera\nen leer tu libro.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06メリン\n¡Delo por hecho! ¿Quién mejor que usted\npara corroborar mi relato?\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nDivinidad, he terminado un borrador de mi libro.\n¿Le importaría leerlo?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x0A\x08リュール\nCon mucho gusto. A ver...\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x0A\x08リュール\n"El Dragón Divino \x0E\x06\x03\x00, que despertó\nen un castillo flotante de su letargo milenario..."\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\n"Ejemplo de recato y gentileza, el Dragón Divino\nluchó con valentía para proteger al pueblo..."\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0A\x08リュール\nMe voy a sonrojar.\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x08\x06メリン\nEs la verdad.\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x0A\x08リュール\n"El Dragón Divino puede vivir miles de años\ny posee poderes sobrehumanos."\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\n"Sin embargo, ni su hábitat ni su modo\nde proceder difieren de los de la raza humana."\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0A\x08リュール\n"Cabe destacar que el Dragón Divino ocupa\nun lugar especial en el corazón de la autora."\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nPero, Merrin...\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x08\x06メリン\nLo siento, tenía que ponerlo. No se preocupe;\nlo eliminaré de la versión final. Es solo que...\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x08\x06メリン\nDivinidad, quería que supiera lo importante\nque es para mí.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x08\x06メリン\nY que los lectores recordaran que existió\nuna persona que \x0E\x0A\x00\x0C\x04lo\x04la admiraba profundamente.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nPues déjalo tal cual está.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06メリン\n¿Eh?\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nY, por favor, añade esto: "El Dragón Divino\nsiente idéntica devoción por la autora".\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x0A\x08リュール\n"Tanta, que le ha otorgado el Anillo del Pacto\ny ha jurado permanecer a su lado por siempre."\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x08\x06メリン\n¡Divinidad! ¡No puede entregarme\nun objeto de semejante valor!\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\nSi tanto te importo, debes aceptarlo.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\nTu libro debe contar la verdad: que el Dragón\nDivino veneraba a una humana llamada Merrin.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x08\x06メリン\nSi así lo desea... Gracias, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x0A\x08リュール\nCuando acabes la obra, espero que la gente\nse dé cuenta de que no soy tan diferente.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x08\x06メリン\nYa, pero hay un problemita:\naún no puedo terminarla.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0A\x08リュール\n¿Por qué?\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06メリン\nHe de contar nuestra vida en común, el aprecio\nmutuo entre una humana y un dragón.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nMuy buena idea, Merrin. Estoy deseando\nescribir contigo ese episodio de la historia.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x08\x06メリン\n¡Sí!\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x08\x06メリン\n\x0E\x0A\x00\x0C\x04Lo\x04La adoro, Divinidad. El relato de nuestras\nvivencias perdurará por los siglos de los siglos.\x0E\x04\x00\x00
