MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nHola, Jean. Eres un aspirante a *médico*, ¿no?\n¿Te importaría venir aquí un momento?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08ゼルコバ\n*Aprendí* de mi madre,\nque era doctora de profesión.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nEn cualquier caso, si te parecen *aceptables*,\nmás vale que te los ceda a ti.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06ジャン\nMuchas gracias por los medicamentos, Zelkov.\nSe nota que en el fondo eres un buen tipo.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nGracias de nuevo por las medicinas.\n¡Has ayudado a mucha gente! Están encantados.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nMe alegro, pero quien merece su *gratitud*\nes mi madre. Las recetas eran suyas.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ジャン\n¿Y dónde está? Quiero mostrarle\nmi reconocimiento personalmente.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nMe temo que no será posible.\nLleva *difunta* más de una década.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ジャン\nVaya, no lo sabía. Lamento haberlo mencionado.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nNo te preocupes.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nPara cuidar de un desdichado como yo,\nse requiere una amabilidad fuera de lo común.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nCon su bondad era capaz de iluminar\nmis días más oscuros.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ジャン\nMmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Qué ocurre?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ジャン\nEso que dices me recuerda a mi propia madre.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ジャン\nSe parecía mucho a la tuya. Me mimaba siempre\npara que supiera lo mucho que me quería.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Tú también has *perdido* a tu madre?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ジャン\nAh, no, sigue viva. Aunque las caderas\nla tienen frita últimamente.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ジャン\nHace tiempo que no la veo...\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nDebe ser duro estar *apartado* de ella.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ジャン\nSí. Su cumpleaños va a ser pronto,\ny no sé qué voy a hacer...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ジャン\nSiempre lo celebramos juntos, pero esta vez\nparece que va a resultar imposible.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Por qué no le escribes una *carta*?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ジャン\nMmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06ジャン\n¡Qué gran idea! ¿Por qué no se me habrá\nocurrido a mí? Gracias, Zelkov.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nNo hay de qué. Ver a un muchacho feliz\nes toda la *recompensa* que necesito.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\n¿Sabes?... Decidí escribirle una carta\na mi madre después de hablar contigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ジャン\nMi idea es enviarla hoy, pero primero\nquería que me dieses tu opinión.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nClaro, no hay *problema*.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ジャン\nBien, te la leo...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ジャン\n"Querida mamá:\n¡Feliz cumpleaños! Espero que estés bien."\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ジャン\n"Por aquí todo bien. Hace poco he conocido\na un tipo muy misterioso."\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08ゼルコバ\n¿Cómo? ¿Quién es ese tipo *misterioso*?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ジャン\n"La primera vez que hablamos, me dijo que me\nacercara y noté que las rodillas me temblaban."\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ジャン\n"Sonrió levemente mientras se acercaba\ny decía que no quería asustarme."\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06ジャン\n"'Pensé que había llegado mi hora.'"\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nAjá. Conque te refieres a *mí*.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ジャン\n"Pero tardé poco en ver que, en realidad,\nes una persona muy amable."\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08ゼルコバ\nAh...\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ジャン\n"De hecho, él es la razón\npor la que te escribo esta carta."\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ジャン\n"Siempre me has aconsejado que no juzgue\na la gente antes de conocerla, y tenías razón."\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ジャン\n"Ahora que vivimos apartados, me doy cuenta\nde cuánto sabías sobre muchas cosas."\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ジャン\n"Me alegro de que seas mi madre y espero\nque la salud te acompañe muchísimo tiempo."\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ジャン\n"El año que viene estaré allí para tu cumple,\nlo prometo. Un abrazo de mi parte a papá."\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ジャン\n"Firmado:\nTu hijo, Jean."\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06ジャン\nEso es todo. No suena demasiado raro\npara una felicitación de cumpleaños, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nNo, claro que no. Me parece una carta\nmuy *adecuada*.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nMe sorprende que *trate* de mí, aunque\nme alegra haberte causado buena impresión.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nEnvía esto junto con la carta, por favor.\nLo llamo... *aceite de obsidiana*.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ジャン\n¿De obsidiana?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08ゼルコバ\nSí. Se aplica sobre la piel. Creo que mitigará\nlos *problemas* de cadera de tu madre.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ジャン\nGracias, Zelkov. Por esto y por todo lo demás\nque me has dado.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ゼルコバ\nQue cuides bien de tu madre\nes suficiente agradecimiento.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08ゼルコバ\nYo nunca pude mostrarles gratitud a mis padres,\ny es algo que lamento a diario.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08ゼルコバ\nNo cometas el mismo error: hazles saber\ncuánto los quieres mientras sigan con vida.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06ジャン\nSeguiré tu consejo, Zelkov. Seré un buen hijo.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0A\x08ゼルコバ\nTe lo agradezco.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06ジャン\nY también pienso ser un buen amigo contigo.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x08\x06ジャン\n¡Espero que vengas a verme la próxima vez\nque elabores medicamentos!\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x0A\x08ゼルコバ\nEh... Una oferta generosa, sin duda.\x0E\x04\x00\x00
MID_RELIANCE_A_#035	\x0E\x03\x02\x0A\x08ゼルコバ\nQuiero decir que la aceptaré\ncon *sumo gusto*.\x0E\x04\x00\x00
MID_RELIANCE_A_#036	\x0E\x03\x02\x0A\x08ゼルコバ\nGracias, Jean.\x0E\x04\x00\x00
