MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0A\x08リュール\nOh, no. Qué he hecho...\x0E\x04\x02\x00
MID_RELIANCE_S_#003	Le parecerá extraño, pero... me preocupaba\nque pudiera morir.\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\nOh... Es porque siempre me pongo en peligro,\n¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x0C\nグレゴリー\nNo exactamente. Quizá sea una obviedad,\npero trataré de explicarme.\x0E\x04\x02\x00
MID_RELIANCE_S_#006	Cuando me enteré de que por sus venas\ncorre sangre de Dragón Caído, al fin lo entendí.\x0E\x04\x02\x00
MID_RELIANCE_S_#007	La primera vez que \x0E\x0A\x00\x0C\x04lo\x04la vi, sentí miedo\ninstintivamente. Y creo que ese era el motivo.\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\n¿Me temías porque sospechabas que yo\ntambién soy vástago del Dragón Caído?\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x0C\nグレゴリー\nEn absoluto. Si acaso, sentí alivio.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\n¿Alivio? ¿Por qué?\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x0C\nグレゴリー\nSupongo que me sentí mejor al saber\nque no es nuestro Dragón Divino.\x0E\x04\x02\x00
MID_RELIANCE_S_#012	Por un lado, si fuese la misma persona,\npodría otorgarle mi confianza, pero...\x0E\x04\x02\x00
MID_RELIANCE_S_#013	por el otro lado, me preocuparía sin cesar\nla idea de su muerte.\x0E\x04\x02\x00
MID_RELIANCE_S_#014	Aunque... me preocupo por eso incluso sabiendo\nque son personas diferentes. ¿Por qué será?\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nVeo que te inquietas mucho por mi seguridad...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x0C\nグレゴリー\nMe avergüenza reconocer que no entiendo\nla noción de "amor" de la que todos hablan.\x0E\x04\x02\x00
MID_RELIANCE_S_#017	Pero si el amor significa encontrar a alguien\ntan importante que te angustie perderlo...\x0E\x04\x02\x00
MID_RELIANCE_S_#018	Entonces quiero estar a su lado\ny proteger\x0E\x0A\x00\x0C\x04lo\x04la para siempre.\x0E\x04\x02\x00
MID_RELIANCE_S_#019	Por eso... me preguntaba si el Dragón Divino\nme aceptaría en calidad de compañero.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x0A\x08リュール\n¡Oh!\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0C\nグレゴリー\nSi la idea le parece terrible, dígalo sin rodeos.\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x02\x00
MID_RELIANCE_S_#023	De terrible no tiene nada. Al contrario,\nme hace muy feliz que pienses así.\x0E\x04\x02\x00
MID_RELIANCE_S_#024	Por eso, me gustaría que aceptaras\nel Anillo del Pacto.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x0C\nグレゴリー\nDivinidad...\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x0A\x08リュール\nJa, ja. Quería decirte lo importante que eres\npara mí, pero te me has adelantado.\x0E\x04\x02\x00
MID_RELIANCE_S_#027	Quiero ser lo bastante fuerte para que, juntos,\neliminemos los temores de tu corazón.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0C\nグレゴリー\nEn adelante, nos fortaleceremos mutuamente.\nTemía que pudiera rechazarme, pero...\x0E\x04\x02\x00
MID_RELIANCE_S_#029	Me alegro de haber tenido el valor de\npreguntarle. Y eso que no va con mi carácter...\x0E\x04\x02\x00
MID_RELIANCE_S_#030	Guardaré este anillo con mucho cuidado,\npues es la prueba del lazo que nos une.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x0C\nグレゴリー\nEsta sensación... es tan intensa que hasta duele.\nPero da igual. Con usted, ya no le temeré al\ndolor.\x0E\x04\x00\x00
