MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x0A\x08リュール\n¿Qué haces aquí, Louis?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nEntiendo... creo.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08リュール\n¿Y tus hermanos también lo hacen?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x06\x04ルイ\nNo.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リュール\nEso contradice tu teoría, entonces.\nMe parece que es solo cosa tuya, Louis.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ルイ\nEl misterio sigue creciendo...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x06\x04ルイ\nGracias por ayudarme, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x06\x04ルイ\nSiempre me cuesta decidir qué cosas\ncomprarles a mis hermanos.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08リュール\nNo hay de qué. Seguro que les hará mucha\nilusión un regalo de su hermano mayor.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08リュール\n¿Cómo vas con la carta, por cierto? Decías que\nles ibas a enviar una junto con los regalos.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ルイ\nEsa era mi intención al principio,\npero lo he pensado mejor.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\n¿Por qué?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x06\x04ルイ\nPues... pensé en lo de los regalos y la carta\nporque no tengo claro cuándo volveré a casa.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\nPero, al ponerme a redactarla,\nme quedé en blanco mirando al papel.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08リュール\nNo te preocupes por lo que vayas a decir.\nEscribe lo que se te ocurra y ya está.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x06\x04ルイ\nSe refiere a que deje hablar a mi corazón, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x06\x04ルイ\n"¿Qué tal están? Yo, muy bien." Buf, así es\ncomo empezaría la carta un niño pequeño.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08リュール\nDa igual; es como lo del regalo. Escribas\nlo que escribas, les va a hacer ilusión leerlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nLo importante es que seas claro. Aprovecha\nla oportunidad para explicarles lo que sientes.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ルイ\nSabias palabras...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ルイ\nTiene toda la razón, para variar.\nGracias, me ha convencido.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x06\x04ルイ\nY, ya que les escribo, les hablaré de usted.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\n¿De mí?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x06\x04ルイ\nQuiero contarles a mis hermanos que usted\nes una persona maravillosa.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x06\x04ルイ\nTienen derecho a conocer a una\nde mis mejores amistades, ¿no le parece?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08リュール\nVas a conseguir que me sonroje, Louis.\nPero sí, me parece perfecto.\x0E\x04\x00\x00
MID_RELIANCE_S_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x0A\x08リュール\nPerdón por haberte hecho esperar.\n¿De qué querías hablar?\x0E\x04\x00\x00
MID_RELIANCE_S_#002	\x0E\x03\x02\x06\x04ルイ\nGracias por tomarse la molestia de acudir\na mi encuentro, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_S_#003	\x0E\x03\x02\x06\x04ルイ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#004	\x0E\x03\x02\x0A\x08リュール\n¿Louis?\x0E\x04\x00\x00
MID_RELIANCE_S_#005	\x0E\x03\x02\x06\x04ルイ\n¿Le gustaría una infusión?\x0E\x04\x00\x00
MID_RELIANCE_S_#006	\x0E\x03\x02\x0A\x08リュール\nNo, gracias. A ver, ¿qué querías contarme?\x0E\x04\x00\x00
MID_RELIANCE_S_#007	\x0E\x03\x02\x06\x04ルイ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x0A\x08リュール\nHoy te veo bastante nervioso. ¿Qué sucede?\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x06\x04ルイ\nLo lamento. Esperaba que mi ansiedad\nno resultara tan palpable.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x06\x04ルイ\nLe he pedido que venga porque quisiera\nhacerle una pregunta muy directa.\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x06\x04ルイ\nY ahora me tiemblan las manos, tengo el rostro\nempapado de sudor y me pesan las piernas.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nSi te preocupa alguna cosa, pregunta y ya está.\nYo te ayudaré como buenamente pueda.\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x06\x04ルイ\nSe trata de mis hermanos: se mueren\npor conocerl\x0E\x0A\x00\x08\x02o\x02a cuando acabe la guerra.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x0A\x08リュール\n¿Eso era? Con mucho gusto.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x06\x04ルイ\nNo era solo eso. Mis nervios se deben al motivo\npor el que desean conocerl\x0E\x0A\x00\x08\x02o\x02a. Cómo explicarlo...\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x06\x04ルイ\nDigamos que mis hermanos se han dado cuenta\nde lo que significa para mí, Divinidad.\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\n¿Qué?\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x06\x04ルイ\nEn la carta que les envié, les hablaba\nde usted con cierta... efusividad.\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x06\x04ルイ\nEn su respuesta, expresan un deseo irrefrenable\nde conocer a quien tantos elogios dedico.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x06\x04ルイ\nDe hecho, su misiva incluye el anillo heredado\nde mi madre para que le haga entrega de él.\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nYa veo...\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x06\x04ルイ\nLamento haberl\x0E\x0A\x00\x08\x02o\x02a puesto en esta tesitura.\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\nQué anillo tan hermoso.\n¿Y dices que es para mí?\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x06\x04ルイ\n¿Perdón?...\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x06\x04ルイ\nSí, me complacería que lo aceptase.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x0A\x08リュール\nGracias, Louis.\x0E\x04\x00\x00
MID_RELIANCE_S_#028	\x0E\x03\x02\x0A\x08リュール\nCon la experiencia que ya tienes al cuidado\nde tu familia, sé que estoy en buenas manos.\x0E\x04\x00\x00
MID_RELIANCE_S_#029	\x0E\x03\x02\x0A\x08リュール\nPor eso, yo también quiero regalarte una cosa,\nsi me lo permites: el Anillo del Pacto.\x0E\x04\x00\x00
MID_RELIANCE_S_#030	\x0E\x03\x02\x06\x04ルイ\nQué gentil es, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#031	\x0E\x03\x02\x06\x04ルイ\nCuando acabe la guerra, tenemos que ir\na mi tierra y probar sus famosas uvas.\x0E\x04\x00\x00
MID_RELIANCE_S_#032	\x0E\x03\x02\x0A\x08リュール\nSerá un placer, igual que conocer a tu familia.\x0E\x04\x00\x00
MID_RELIANCE_S_#033	\x0E\x03\x02\x06\x04ルイ\nNi en sueños imaginé que ambos llegaríamos\na estar tan unidos. ¡Siento una dicha inmensa!\x0E\x04\x00\x00
