MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06アンナ\n¡Felicidades, grandulón! No se celebran\naniversarios todos los días.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06アンナ\nEs lady Anna, no Anna.\n¡Dirígete a mí como es debido o esfúmate!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nLady Anna, ¿sería posible\ncomprar otra pieza de fruta?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06アンナ\n¡Claro! Pero dame un minuto;\nprimero tengo que rezar.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06モーヴ\n¿Rezar? No sabía que eras religiosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06アンナ\nAh, no, para nada, aunque a veces recito\nuna plegaria.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06モーヴ\nNo lo comprendo.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06アンナ\n¿Cómo te lo explico?... Bueno, en realidad\nvoy a ponerme a rezar ya. Obsérvame y listo.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06モーヴ\nEstá bien, adelante.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06アンナ\nEjem.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06アンナ\nPor favor, que mis productos\nhoy también se vendan bien.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06アンナ\nQue mis clientes estén satisfechos\ny felices... por lo menos un tiempo.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06アンナ\nY que se acuerden de mí la próxima vez\nque necesiten comprar algo.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06アンナ\n¡Ya está! Esas son las típicas\ncosas por las que suelo rezar.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06モーヴ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06アンナ\n¿Qué pasa?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06モーヴ\nDebo admitir que te tenía\npor una pequeña estafadora.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06モーヴ\nNunca imaginé que rezaras\ncon tanta pasión.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06モーヴ\nMe avergüenza haberte juzgado mal,\nlady Anna. Te debo una disculpa.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06アンナ\nNo es necesario. Bueno,\ndeja que te muestre mi fruta de hoy.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06アンナ\n¡Ahí estás, Mauvier!\n¿Vas a comprar algo?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06モーヴ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06アンナ\n¿Qué ocurre?\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06モーヴ\nEstaba rezando.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06アンナ\n¿Rezando? ¿A quién?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06モーヴ\nNo lo sé. ¿A nadie?\nSimplemente estoy rezando sin más.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06モーヴ\nMe intrigó tu manera de rezar el otro día\ny pensé en probarlo yo mismo.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06アンナ\n¿En serio?\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06モーヴ\nJamás imaginé que una plegaria\ndespertaría en mí estas emociones.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06アンナ\nTú no rezas mucho, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06モーヴ\nEra seguidor del Dragón Caído.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06モーヴ\nRezaba todos los días\ny, aun así, no sentía nada.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06アンナ\nAh, el caso es que sí rezabas,\npero solo para seguir al rebaño.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06モーヴ\nExacto. Mis padres eran fieles devotos\ndel Dragón Divino.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06モーヴ\nPero una epidemia destrozó mi familia.\nSus oraciones no sirvieron de nada.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06モーヴ\nPor mucho que yo rezaba, nunca supe\nen qué creía realmente.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06モーヴ\nTú me mostraste que rezar también\nsirve para desear el bien a los demás.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06アンナ\nSí, así lo veo yo.\nMe alegra que alguien lo entienda.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06モーヴ\nGracias por abrirme los ojos.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06アンナ\nAy, no te pongas tan serio.\nDime, ¿para qué has rezado?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06モーヴ\nHay una persona a quien protegería con mi vida.\nEstaba rezando por ella.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06アンナ\nOh, qué bonito. Ojalá hicieran eso por mí\nalguna vez.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06モーヴ\nTambién he rezado por ti, lady Anna.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06アンナ\n¿Qué? ¿De verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06モーヴ\nHe rezado para desearte buena salud y que\npuedas vender tus productos con una sonrisa.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06アンナ\n¡Qué bien!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06アンナ\n¡Justo tengo aquí algo para agradecértelo!\nTe gustó aquella fruta, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06モーヴ\nAsí es... pero ¿acaso no he de pagártela?\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06アンナ\nPara nada, hoy es gratis. Es mi forma de celebrar\nlo conmovida que me siento.\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06アンナ\n¡Acepta el regalo y lárgate, grandulón!\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06モーヴ\nBien, gracias.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x08\x06モーヴ\nYa que es un día especial,\ndeberíamos compartir esta fruta.\x0E\x04\x00\x00
MID_RELIANCE_A_#033	\x0E\x03\x02\x08\x06アンナ\n¡Bueno! Como es tan cara, no me puedo permitir\nel lujo de probarla a menudo.\x0E\x04\x00\x00
MID_RELIANCE_A_#034	\x0E\x03\x02\x08\x06モーヴ\nLo suponía. Comamos, pues, y hablemos\nsobre qué otros motivos nos mueven a rezar.\x0E\x04\x00\x00
