MID_WU_C_1_IN_#001	Es de día, Divinidad.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	Llevo tanto tiempo deseando esto.\x0E\x04\x00\x00
MID_WU_B_1_IN_#002	Venir al Somniel...\x0E\x04\x00\x00
MID_WU_B_1_IN_#003	a rezar ante el altar más sagrado.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	 \x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	Siento haberl\x0E\x0A\x00\x08\x02o\x02a despertado.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	Solo he venido aquí a rezar.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#004	Pero ya he terminado.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#005	Permítame desearle una agradable mañana\na mi divinidad.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	Padre me habló...\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	sobre la reina Lumera.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	Me dijo que invitó a la familia real de Elusia,\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#004	pero ellos nunca aceptaron.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#005	Hasta ahora, supongo...\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	He venido a rezar, si no es molestia.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	Me gustaría decirle algo a la reina Lumera.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#004	Que acepto la invitación,\naunque sea un poco tarde.\x0E\x04\x00\x00
MID_WU_B_2_IN_#001	Espero que se me permita estar\nen este lugar sagrado...\x0E\x04\x00\x00
MID_WU_B_2_SOON_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#002	Gracias por permitirme estar aquí\nen su presencia.\x0E\x04\x00\x00
MID_WU_B_2_SOON_#003	Su amabilidad sigue asombrándome.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#001	Puede que a Elusia no le guste...\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#002	Pero venero al Dragón Divino.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#003	Como princesa heredera,\nme he visto obligada a ocultarlo.\x0E\x04\x00\x00
MID_WU_B_2_WAKEUP_#004	Al menos hasta ahora.\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#001	Me pregunto...\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#002	¿Cómo fue para usted levantarse...\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#003	tras mil años?\x0E\x04\x00\x00
MID_WU_B_2_HELLO_#004	Ojalá hubiera estado aquí para presenciarlo.\x0E\x04\x00\x00
MID_WU_A_1_IN_#001	En este lugar...\x0E\x04\x00\x00
MID_WU_A_1_IN_#002	Me siento aceptada. Perdonada.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#001	Buenos días.\x0E\x04\x00\x00
MID_WU_A_1_SOON_#002	Parece tan pur\x0E\x0A\x00\x08\x02o\x02a mientras duerme.\nTan confiad\x0E\x0A\x00\x08\x02o\x02a...\x0E\x04\x00\x00
MID_WU_A_1_SOON_#003	Si eso significa que confía en mí...\x0E\x04\x00\x00
MID_WU_A_1_SOON_#004	Me hace feliz.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#001	Muchas cosas en el mundo son tediosas...\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#002	pero nunca me canso de estar aquí.\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#003	Cuando estoy cerca de usted...\x0E\x04\x00\x00
MID_WU_A_1_WAKEUP_#004	siento que puedo relajarme y ser yo misma.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#001	Oh, ha despertado.\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#002	¿Por qué cree que me ha ocurrido\nalgo gracioso?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#003	¿Porque estoy sonriendo, dice?\x0E\x04\x00\x00
MID_WU_A_1_HELLO_#004	Ahora que lo menciona, parece que sí.\x0E\x04\x00\x00
MID_WU_A_2_IN_#001	Es un alivio verl\x0E\x0A\x00\x08\x02o\x02a, Divinidad.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#001	Siento despertarl\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#002	He tenido una pesadilla.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#003	Supongo que he venido buscando consuelo.\x0E\x04\x00\x00
MID_WU_A_2_SOON_#004	He sido infantil, lo sé.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#001	He soñado con...\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#002	una Elusia en ruinas.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#003	Cuando desperté, lo primero en lo que pensé\nfue en venir aquí inmediatamente.\x0E\x04\x00\x00
MID_WU_A_2_WAKEUP_#004	Sabía que, al verl\x0E\x0A\x00\x08\x02o\x02a, no habría nada que temer.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#001	¿Ha oído todo eso?\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#002	Mi debilidad debe de horrorizarl\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#003	Y aun así me mira con tal afecto...\x0E\x04\x00\x00
MID_WU_A_2_HELLO_#004	Siempre me salva.\x0E\x04\x00\x00
MID_WU_S_1_IN_#001	He venido a verl\x0E\x0A\x00\x08\x02o\x02a, Divinidad.\x0E\x04\x00\x00
MID_WU_S_1_IN_#002	Este apelativo parece estar más lleno\nde significado ahora mismo.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#001	Ah, está despiert\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#002	Siento haber venido tan temprano.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#003	No podía esperar ni un instante más para verl\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_S_1_SOON_#004	El tiempo que pasamos junt\x0E\x0A\x00\x08\x02o\x02as\nlo es todo para mí.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#001	Tengo algo que confesar.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#002	Me siento un poco celosa...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#003	Me dio el Anillo del Pacto...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#004	pero también les dio anillos Emblema\na otros compañeros.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#005	Me siento ridícula diciendo esto\nen voz alta, pero...\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#006	Desearía ser la única entregada a usted.\x0E\x04\x00\x00
MID_WU_S_1_WAKEUP_#007	Sé que es horriblemente egoísta.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#001	Está despiert\x0E\x0A\x00\x08\x02o\x02a. Buenos días.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#002	¿Puedo acercarme?\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#003	Gracias.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#004	Aprecio cada momento que paso a su lado.\x0E\x04\x00\x00
MID_WU_S_1_HELLO_#005	Cada segundo que estamos a solas...\x0E\x04\x00\x00
MID_WU_S_2_IN_#001	Divinidad...\x0E\x04\x00\x00
MID_WU_S_2_IN_#002	Durmió así durante un milenio...\x0E\x04\x00\x00
MID_WU_S_2_SOON_#001	Me alegra que esté despiert\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#002	No podemos permitir que duerma\notros mil años.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#003	A veces pienso en ese momento.\x0E\x04\x00\x00
MID_WU_S_2_SOON_#004	Cuando despertó después de tanto tiempo...\nOjalá hubiera estado allí.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#001	Sabe...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#002	Le debo tanto.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#003	Ahora tengo fuerzas suficientes\npara superar las más duras batallas.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#004	Y las peores pesadillas.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#005	Es todo gracias a usted.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#006	L\x0E\x0A\x00\x08\x02o\x02a amo, y jamás me cansaré de decirlo.\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#007	Una frase tan simple no parece suficiente...\x0E\x04\x00\x00
MID_WU_S_2_WAKEUP_#008	pero no hay palabras que basten\npara expresar mis sentimientos.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#001	Buenos días. ¿Ha escuchado todo eso?\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#002	Bien. Quiero que sepa cómo me siento.\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#003	Y, si alguna vez lo olvida,\nestaré encantada de recordarle...\x0E\x04\x00\x00
MID_WU_S_2_HELLO_#004	cuánto l\x0E\x0A\x00\x08\x02o\x02a adoro.\x0E\x04\x00\x00
