MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06フラン\n¡Lapis! ¡Eh, Lapis! ¡He oído que eres\nel terror de los osos! ¡¿Es eso cierto?!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06フラン\n¿Dónde estoy?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ラピス\n¿Framme? Menos mal que has despertado.\nTe has desmayado al ver al oso.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06フラン\n¡Ah! ¡El oso! Es verdad.\n¿Dónde está? ¡¿Estamos a salvo?!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06ラピス\nNo pasa nada. He logrado ahuyentarlo.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x08\x06フラン\n¡Nooo! ¡Quería hacerlo yo!\n¡Lo siento, Lapis! Me ha tomado desprevenida...\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x08\x06ラピス\nEstá bien. Volvamos a casa.\nAmbas necesitamos descansar.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x08\x06フラン\n(...)\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x08\x06フラン\nSupongo que debo esforzarme más...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ラピス\x022
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ラピス\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ラピス\n¡Aaah!\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ラピス\nBueno, asunto solucionado.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06フラン\nHa sido espectacular...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ラピス\n¡Framme! ¿Qué haces aquí?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06フラン\nMe he dado cuenta de que te adentrabas\nen el bosque sola y he decidido seguirte.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06フラン\nHe visto cómo has derrotado\na ese oso enorme tú solita...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ラピス\nEh...\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06フラン\nSupongo que no me has avisado adrede, ¿no?\n¿Es porque siempre meto la pata?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ラピス\nFramme, lo siento. Ese oso era muy fiero.\nNo quería que te hicieras daño.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06フラン\nSí, lo entiendo...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ラピス\nLo digo en serio, Framme. Por si te sirve\nde algo, has estado impecable ahora mismo.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06フラン\n¿A qué te refieres? Si no he hecho nada.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ラピス\nHas mantenido la calma mientras luchaba\ncontra el oso, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06フラン\nYa, pero tampoco es...\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ラピス\nLo has hecho mejor que la última vez.\nY, la próxima vez, mejor todavía. Así se aprende.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06フラン\n¡Oooh, Laaapiiis!\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ラピス\n¡No llores! Vamos, almorcemos algo, ¿sí?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06フラン\n¿Almorzar? Pero si no hemos traído comida...\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x04\x03\x04
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ラピス\n¡Ya está! ¡Sopa de oso recién hecha!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06フラン\n¡Qué buena pinta tiene!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x08\x06ラピス\nMmm... ¡Y huele de maravilla! Qué recuerdos...\nEn mi aldea comíamos esto a menudo.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06フラン\nAunque no quieras que la gente sepa que vienes\ndel campo, te gustaba vivir allí, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06ラピス\nSupongo que tienes razón.\nTengo muy buenos recuerdos...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x08\x06ラピス\nVamos a comer. Pero cuidado,\nque está muy caliente.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x08\x06フラン\n¡Aaah! ¡Quema, quema!\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x08\x06フラン\nMe he quemado la lengua...\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x08\x06ラピス\nOh, no. ¡Mira que te lo dije!\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x08\x06フラン\nPero huele de maravilla...\x0E\x04\x00\x00
