MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カゲツ\x022\n\x0E\x03\x02\x08\x06カゲツ\n¡Dragón Divino! ¡Dragón Divino!\x0E\x04\x00\x00
MID_RELIANCE_S_#008	\x0E\x03\x02\x08\x06カゲツ\nEl vínculo con esa persona siempre\nserá más fuerte que cualquier amistad.\x0E\x04\x00\x00
MID_RELIANCE_S_#009	\x0E\x03\x02\x08\x06カゲツ\nNo podría alegrarme sinceramente por ti,\nporque solo deseo que me escojas a mí.\x0E\x04\x00\x00
MID_RELIANCE_S_#010	\x0E\x03\x02\x0A\x08リュール\nKagetsu...\x0E\x04\x00\x00
MID_RELIANCE_S_#011	\x0E\x03\x02\x08\x06カゲツ\nPor eso digo que nuestro vínculo es más débil.\nEl egoísmo y la envidia no traen nada bueno.\x0E\x04\x00\x00
MID_RELIANCE_S_#012	\x0E\x03\x02\x0A\x08リュール\nKagetsu...\x0E\x04\x00\x00
MID_RELIANCE_S_#013	\x0E\x03\x02\x0A\x08リュール\nQué tonterías dices.\x0E\x04\x00\x00
MID_RELIANCE_S_#014	\x0E\x03\x02\x08\x06カゲツ\nNo, hablo en serio.\x0E\x04\x00\x00
MID_RELIANCE_S_#015	\x0E\x03\x02\x0A\x08リュール\nLo decía porque te preocupas sin motivo.\nYa tenía pensado entregarte el anillo a ti.\x0E\x04\x00\x00
MID_RELIANCE_S_#016	\x0E\x03\x02\x08\x06カゲツ\n¿El Anillo del Pacto? ¿Por qué?\x0E\x04\x00\x00
MID_RELIANCE_S_#017	\x0E\x03\x02\x0A\x08リュール\nPorque me siento más unid\x0E\x0A\x00\x08\x02o\x02a a ti que a nadie.\x0E\x04\x00\x00
MID_RELIANCE_S_#018	\x0E\x03\x02\x08\x06カゲツ\n¿De veras?\x0E\x04\x00\x00
MID_RELIANCE_S_#019	\x0E\x03\x02\x0A\x08リュール\nNuestro vínculo es más fuerte que cualquier\namistad. Jamás te mentiría.\x0E\x04\x00\x00
MID_RELIANCE_S_#020	\x0E\x03\x02\x08\x06カゲツ\nEntonces, ¿sentimos lo mismo?\n¡No lo creo! ¡Qué alegría!\x0E\x04\x00\x00
MID_RELIANCE_S_#021	\x0E\x03\x02\x08\x06カゲツ\nJamás en la vida me había puesto tan feliz.\n¡Gracias y más gracias!\x0E\x04\x00\x00
MID_RELIANCE_S_#022	\x0E\x03\x02\x0A\x08リュール\nGracias a ti, Kagetsu.\x0E\x04\x00\x00
MID_RELIANCE_S_#023	\x0E\x03\x02\x08\x06カゲツ\nPrimero, amigos; ahora, compañeros...\nEstaba escrito. ¿Qué nos deparará el futuro?\x0E\x04\x00\x00
MID_RELIANCE_S_#024	\x0E\x03\x02\x0A\x08リュール\n¿Una familia, quizá? Como mínimo,\nme encantaría conocer a la tuya.\x0E\x04\x00\x00
MID_RELIANCE_S_#025	\x0E\x03\x02\x08\x06カゲツ\nMuy bien. Cuando reúna el coraje suficiente\ncomo para volver a casa, te llevaré conmigo.\x0E\x04\x00\x00
MID_RELIANCE_S_#026	\x0E\x03\x02\x08\x06カゲツ\nHasta ese momento, prometo esforzarme\npara que estés orgullos\x0E\x0A\x00\x08\x02o\x02a de mí, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_RELIANCE_S_#027	\x0E\x03\x02\x08\x06カゲツ\nDedicaré toda mi energía a hacerte feliz,\n¡porque te quiero!\x0E\x04\x00\x00
