MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0C\nフォガート\n¡Eh, Yunaka! Justo ahora iba a una fiesta.\n¿Vienes conmigo?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nフォガート\n¡Bueno, vámonos de fiesta!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nフォガート\nSi nos vamos de fiesta, la idea es\ndarlo todo, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ユナカ\n¡Así se habla! Je, je...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0C\nフォガート\nOye, siento haberte llevado a esa fiesta.\nNo me di cuenta que no era tu onda.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ユナカ\nNo, la culpa es mía por salir corriendo\nen mitad de la diversión.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ユナカ\nLo cierto es que... no me siento\ncómoda en grandes multitudes.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ユナカ\nCon tanta gente que te rodea,\nnunca sabes si alguien tiene sed de sangre...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nフォガート\n¿Cómo? ¿Qué has dicho?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ユナカ\n¿Qué? Olvídelo, no he dicho nada.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ユナカ\nEs solo que las multitudes me ponen nerviosa.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nフォガート\nYo diría que hay algo más...\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nフォガート\nEn fin, prometo no volver a arrastrarte\na un sitio así. Siento que la pasaras mal.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ユナカ\nNo se preocupe. Gracias de todos modos.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nフォガート\nJe.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nフォガート\nDime una cosa. ¿Qué piensas de mí?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ユナカ\n¿De usted? Pues...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ユナカ\nPienso que es una persona que\nintenta disfrutar cada día al máximo.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ユナカ\nEs algo que envidio de usted.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nフォガート\nSi quieres que tu vida sea más alegre,\nintenta confiar más en la gente.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\n¿Que confíe?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nフォガート\nEn el mundo hay personas\nmuy desagradables, no lo niego.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nフォガート\nPero, si te aíslas de la gente,\nnunca conseguirás hacer nuevos amigos.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ユナカ\n¿Quiere decir que ese es su truco\npara vivir la vida al máximo?\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nフォガート\nExactamente.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ユナカ\nGracias por la charla, príncipe Fogado.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x08\x06ユナカ\nLe haré caso e intentaré confiar\nun poco más en la gente.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\n¡Príncipe Fogadooo! ¡Hola!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nフォガート\n¡Hola, Yunaka!\nHoy tienes un aspecto exultante.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ユナカ\n¡Así es! Y todo gracias a su consejo.\nEmpecé a confiar más en los demás.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ユナカ\n¡Es increíble lo agradable que es la gente!\nMe estoy divirtiendo mucho. ¡Qué cambio!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nフォガート\nAsí que se trata de eso.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nフォガート\nHablas como si la gente se comportase\nde forma diferente, pero no han cambiado.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06ユナカ\n¿Quéee? No puede ser.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nフォガート\nSí, la mayoría de la gente es amable.\nNo les dabas la oportunidad de demostrarlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ユナカ\nEntonces... ¿soy yo la que ha cambiado?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nフォガート\nSí, has hecho grandes progresos.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ユナカ\n¿Sabe qué significa esto, príncipe Fogado?\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06ユナカ\n¡Ya sé cómo divertirme! A partir de hoy,\ntodos los días serán una aventura.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nフォガート\nEstupendo. ¿A la nueva y mejorada Yunaka\nle gustaría venir a una fiesta conmigo?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x08\x06ユナカ\nAaah, sobre eso... Me sigo sintiendo\nincómoda en una multitud.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06ユナカ\nPuedo aprender a confiar en la gente,\npero reprimir los instintos es más complicado.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x08\x06ユナカ\n¡Aunque creo que ir a una fiesta\npodría ser divertido!\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ユナカ\n¿Qué le parece si nos lo proponemos\ncomo objetivo de cara al futuro?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06ユナカ\nQuiero superar mi miedo a las multitudes\ny disfrutar de la vida como lo hace usted.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nフォガート\nAl paso que vas, te veo yendo de fiesta\nhasta la madrugada.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nフォガート\nBien, iremos paso a paso.\n¿Qué tal si hoy vamos tú y yo solos a comer?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nフォガート\nSerá un sitio tranquilo con poca gente,\npara no agobiarte.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x08\x06ユナカ\n¡Eso sería perfecto!\nMe gusta la idea.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06ユナカ\nAlgún día, cuando estemos en un fiestón,\nnos acordaremos de esto y nos reiremos.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nフォガート\n¡Oh! ¿De dónde sale ese espíritu fiestero?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ユナカ\n¡Es culpa suya!\x0E\x04\x00\x00
