MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\n¡Louis! ¿Ya estás otra vez espiando?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nUf, estoy molido...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ルイ\nDiría que la "fiestita" de anoche\nse nos fue un poco de las manos, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08パンドロ\nY sí. Después de semejante parranda que\nnos pegamos, me duele todo el cuerpo.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ルイ\nAun así, yo me divertí.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x06\x04ルイ\nResulta ameno "salir con los amigos"\nde vez en cuando, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パンドロ\nMe alegra oírlo. Al menos puedo decir que\neste dolor en todo el cuerpo sirvió para algo.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ルイ\nOpino que tanta fiesta despierta el apetito\nde cualquiera. ¿Te gustan las uvas, Pandreo?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パンドロ\nClaro que me gustan.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ルイ\nEn tal caso, voy a traer unos dulces. Llevan\nun relleno elaborado con uvas de mi tierra.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08パンドロ\nVaya, ¿una especialidad regional?\n¡Entonces trae todos los que tengas!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ルイ\n¡¿Todos?! Como gustes, pero me veo en la\nobligación de pedirte que vigiles los excesos.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パンドロ\nBueno, yo solo no me los voy a comer todos.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パンドロ\nQuisiera endulzar un poco la vida a mi rebaño.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ルイ\nAh, ¿que también eres ganadero?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パンドロ\nMe refiero a mis feligreses. Les gusta juntarse\na orar y disfrutar en un ambiente distendido.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08パンドロ\nSi pongo una bandeja de dulces en la puerta,\nseguro que acude todavía más gente.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08パンドロ\nAdemás, en mi parroquia hay un mercader\nal que quizá le interesa importar esas uvas.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x06\x04ルイ\nQué considerado por tu parte.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x06\x04ルイ\nSiempre estás imaginando formas de ayudar\na la congregación, ¿verdad?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08パンドロ\n¡Es que para eso estoy!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08パンドロ\nAunque en ocasiones no lo parezca,\nsoy clérigo.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x06\x04ルイ\nMis dudas están más que disipadas.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08パンドロ\nBueno, pero por eso no me dejan de gustar\nlas fiestas... Otro día repetimos, ¿no?\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x06\x04ルイ\nNaturalmente, Pandreo. Quedo a tu disposición.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x022\n\x0E\x03\x02\x0A\x08パンドロ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x02\x06\x04ルイ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08パンドロ\nPerdona, Louis. No te había visto.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08パンドロ\nQuedo tan absorto cuando me pongo a rezar...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ルイ\nTranquilo. No pretendía importunarte.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08パンドロ\n¿Querías preguntarme algo?\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08パンドロ\nYa te he indicado los mejores lugares\nque se me ocurren para "observar" a la gente.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x06\x04ルイ\nNo vengo por eso. Se trata de otro asunto.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x06\x04ルイ\nQuerría pedirte una oración por mi madre.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08パンドロ\nPerdóname si me falla la memoria, pero...\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08パンドロ\ncreía que tu madre había pasado a mejor vida.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x06\x04ルイ\nAsí es.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x06\x04ルイ\nYo era muy joven y quedé abatido.\nA duras penas podía seguir adelante cada día.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x06\x04ルイ\nMe avergüenza lo mucho que he tardado\nen tomar conciencia de ello, pero...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x06\x04ルイ\ncreo que, con tanto alboroto, nunca llegué\na brindarle una despedida digna a mi madre.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08パンドロ\nEntiendo.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x06\x04ルイ\nEn mi familia nunca hemos sido muy religiosos,\nsin ánimo de ofender.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08パンドロ\nNo te preocupes. Creencias aparte,\ndeseas que descanse en paz. Es normal.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08パンドロ\nEstoy convencido de que te escucha\ncon gozo desde los cielos.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x06\x04ルイ\nGracias, Pandreo.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08パンドロ\nAhora bien, ¿seguro que me consideras\ndigno de transmitirle el mensaje?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08パンドロ\nNo soy el sacerdote más convencional,\nque digamos.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08パンドロ\n¿No se te ocurre otra persona más indicada?\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x06\x04ルイ\nNo. Es una decisión meditada.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x06\x04ルイ\nPrefiero que sea un buen amigo\nquien se encargue de honrar su memoria.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08パンドロ\nListo. En tal caso, será un placer, Louis.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08パンドロ\n¿Oramos? Oh, espíritu que nos guías,\nmorador de los cielos...\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x06\x04ルイ\n(...)\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x06\x04ルイ\nQue tu alma repose en paz, madre.\x0E\x04\x00\x00
