MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\n¿Estás ya listo, Boucheron?\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nブシュロン\nPiensa en todas las veces que me he perdido\nen batalla y tú me has ayudado.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nブシュロン\nYo tengo mis puntos fuertes\ny tú tienes los tuyos.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nブシュロン\nLa verdadera fuerza está en la unión\nde nuestras habilidades.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nエーティエ\nOh...\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nエーティエ\nNunca lo había visto así; tienes razón.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nエーティエ\nEstaba tan obsesionada con la musculatura\nque nunca me había parado a pensarlo.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nブシュロン\nNo se trata de una competición.\nDebemos complementarnos para fortalecernos.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nブシュロン\nEsa es la primera ley de la musculación\nde Boucheron.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nエーティエ\nNo sé a qué te refieres exactamente...\npero me gusta cómo suena.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nブシュロン\nEstaba intentando calmar los aires,\npero la broma no ha funcionado...\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nブシュロン\nEscúchame, Etie.\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nブシュロン\nPor nuestro príncipe y por el Reino de Firene,\nes un honor tenerte a mi lado.\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0C\nエーティエ\nGracias. El honor es mío. Unamos fuerzas\nsegún la primera ley de la musculación.\x0E\x04\x00\x00
